"Afstemningsområde","Opstillingskreds","Storkreds","Landsdel","Filnavn","Stemmeberettigede","IAltGyldigeStemmer","BlankeStemmer","AndreUgyldigeStemmer","IAltAfgivneStemmer","A","B","C","F","I","K","O","V","Ø","Å","UdenForParti","adrstring","lat","lon","zip","muninum","area","hp_1yr","hp_2yr","incsupport","hp_1yrposchange","hp_1yrnegchange","hp_2yrposchange","hp_2yrnegchange"
"1. Østerbro","1. Østerbro","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494635.xml",13452,11747,62,38,11847,2538,1420,390,747,1430,50,775,1427,1636,1324,10,"Østerbro, Østerbro, Denmark",55.7092,12.5775,2100,101,"2100 København Ø",14.8399,24.8178,33.6937,14.8399,0,24.8178,0
"1. Nord","1. Østerbro","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494636.xml",5695,4846,33,11,4890,1077,520,234,240,591,12,505,669,551,443,4,"Nord, Østerbro, Denmark",55.7092,12.5775,2100,101,"2100 København Ø",14.8399,24.8178,32.955,14.8399,0,24.8178,0
"1. Syd","1. Østerbro","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494637.xml",14173,12567,78,32,12677,2720,1519,416,817,1446,50,790,1448,1797,1545,19,"Syd, Østerbro, Denmark",55.7092,12.5775,2100,101,"2100 København Ø",14.8399,24.8178,33.7312,14.8399,0,24.8178,0
"1. Vest","1. Østerbro","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494638.xml",10805,9015,76,35,9126,2186,866,279,622,829,50,933,937,1347,952,14,"Vest, Østerbro, Denmark",55.7092,12.5775,2100,101,"2100 København Ø",14.8399,24.8178,33.8547,14.8399,0,24.8178,0
"1. Nordvest","1. Østerbro","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494639.xml",9509,8119,63,26,8208,2113,757,222,495,819,23,847,858,1112,860,13,"Nordvest, Østerbro, Denmark",55.7092,12.5775,2100,101,"2100 København Ø",14.8399,24.8178,35.3492,14.8399,0,24.8178,0
"2. Sundbyvester","2. Sundbyvester","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494640.xml",12822,10003,99,71,10173,2623,640,220,645,578,45,1789,932,1693,813,25,"Sundbyvester, Sundbyvester, Denmark",55.646,12.6018,2300,101,"2300 København S",11.5009,20.4471,32.6202,11.5009,0,20.4471,0
"2. Nord","2. Sundbyvester","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494641.xml",12499,9951,86,42,10079,2241,868,185,738,759,47,1146,880,1847,1212,28,"Nord, Sundbyvester, Denmark",55.6433,12.6029,2300,101,"2300 København S",11.5009,20.4471,31.2431,11.5009,0,20.4471,0
"2. Syd","2. Sundbyvester","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494642.xml",9229,7764,68,22,7854,1626,777,195,453,1016,33,776,934,1001,937,16,"Syd, Sundbyvester, Denmark",55.6433,12.6029,2300,101,"2300 København S",11.5009,20.4471,30.9505,11.5009,0,20.4471,0
"2. Vest","2. Sundbyvester","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494643.xml",9926,8780,74,20,8874,1733,1055,286,482,1187,13,689,1084,1185,1048,18,"Vest, Sundbyvester, Denmark",55.6433,12.6029,2300,101,"2300 København S",11.5009,20.4471,31.754,11.5009,0,20.4471,0
"3. Indre By","3. Indre By","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494644.xml",14012,10722,86,40,10848,1948,1372,367,653,1309,31,531,1090,1802,1596,23,"Indre By, Indre By, Denmark",55.6837,12.5641,1359,101,NA,NA,NA,30.9644,NA,NA,NA,NA
"3. Nord","3. Indre By","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494645.xml",6234,5620,37,15,5672,1154,732,240,381,666,8,339,704,748,644,4,"Nord, Indre By, Denmark",55.6801,12.58,1113,101,NA,NA,NA,33.5587,NA,NA,NA,NA
"3. Syd","3. Indre By","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494646.xml",9107,7966,46,24,8036,1572,858,165,538,673,14,456,671,1752,1252,15,"Syd, Indre By, Denmark",55.6801,12.58,1113,101,NA,NA,NA,30.5046,NA,NA,NA,NA
"3. Øst","3. Indre By","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494647.xml",11352,9711,52,46,9809,1888,1082,488,513,1492,18,618,1387,1193,1018,14,"Øst, Indre By, Denmark",55.6801,12.58,1113,101,NA,NA,NA,30.5839,NA,NA,NA,NA
"4. Sundbyøster","4. Sundbyøster","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494648.xml",8491,6737,73,42,6852,1548,547,143,461,533,21,983,625,1144,715,17,"Sundbyøster, Sundbyøster, Denmark",55.6521,12.613,2300,101,"2300 København S",11.5009,20.4471,31.0969,11.5009,0,20.4471,0
"4. Nord","4. Sundbyøster","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494649.xml",14371,11663,117,47,11827,2424,1004,249,754,938,56,1389,1108,2192,1510,39,"Nord, Sundbyøster, Denmark",55.654,12.6172,2300,101,"2300 København S",11.5009,20.4471,29.3921,11.5009,0,20.4471,0
"4. Syd","4. Sundbyøster","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494650.xml",8164,6727,68,24,6819,1613,475,161,442,515,31,1086,686,1051,645,22,"Syd, Sundbyøster, Denmark",55.654,12.6172,2300,101,"2300 København S",11.5009,20.4471,31.0391,11.5009,0,20.4471,0
"4. Øst","4. Sundbyøster","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494651.xml",8720,7386,69,23,7478,1754,665,202,499,697,36,974,856,999,692,12,"Øst, Sundbyøster, Denmark",55.654,12.6172,2300,101,"2300 København S",11.5009,20.4471,32.7512,11.5009,0,20.4471,0
"5. Nørrebro","5. Nørrebro","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494652.xml",10225,8543,70,40,8653,1553,933,147,669,492,31,503,448,2227,1513,27,"Nørrebro, Nørrebro, Denmark",55.6938,12.5496,2200,101,"2200 København N",19.0223,31.2387,29.0998,19.0223,0,31.2387,0
"5. Nord","5. Nørrebro","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494653.xml",13678,11012,94,34,11140,1871,1165,145,822,725,36,578,705,2968,1957,40,"Nord, Nørrebro, Denmark",55.6991,12.5542,2200,101,"2200 København N",19.0223,31.2387,27.5699,19.0223,0,31.2387,0
"5. Syd","5. Nørrebro","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494654.xml",5857,4842,26,12,4880,809,490,87,366,277,20,260,283,1451,784,15,"Syd, Nørrebro, Denmark",55.6991,12.5542,2200,101,"2200 København N",19.0223,31.2387,26.8278,19.0223,0,31.2387,0
"5. Øst","5. Nørrebro","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494655.xml",5397,4669,31,22,4722,847,643,93,288,385,6,172,315,1045,865,10,"Øst, Nørrebro, Denmark",55.6991,12.5542,2200,101,"2200 København N",19.0223,31.2387,31.9126,19.0223,0,31.2387,0
"5. Vest","5. Nørrebro","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494656.xml",6962,5955,42,21,6018,1057,663,62,494,319,16,368,312,1628,1018,18,"Vest, Nørrebro, Denmark",55.6991,12.5542,2200,101,"2200 København N",19.0223,31.2387,28.8833,19.0223,0,31.2387,0
"5. Nordvest","5. Nørrebro","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494657.xml",10010,8467,75,23,8565,1413,874,118,628,497,21,482,459,2300,1657,18,"Nordvest, Nørrebro, Denmark",55.6991,12.5542,2200,101,"2200 København N",19.0223,31.2387,27.0107,19.0223,0,31.2387,0
"5. Midt","5. Nørrebro","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494658.xml",3267,2690,28,18,2736,511,297,54,204,200,3,139,188,620,468,6,"Midt, Nørrebro, Denmark",55.6991,12.5542,2200,101,"2200 København N",19.0223,31.2387,30.0372,19.0223,0,31.2387,0
"6. Bispebjerg","6. Bispebjerg","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494659.xml",15285,11549,133,38,11720,2415,925,224,773,780,86,1359,857,2686,1408,36,"Bispebjerg, Bispebjerg, Denmark",55.7173,12.5353,2400,101,"2400 København NV",22.3185,38.0497,28.9203,22.3185,0,38.0497,0
"6. Nord","6. Bispebjerg","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494660.xml",7293,5700,52,22,5774,1475,435,150,429,327,43,783,442,1041,564,11,"Nord, Bispebjerg, Denmark",55.7135,12.5351,2400,101,"2400 København NV",22.3185,38.0497,33.5088,22.3185,0,38.0497,0
"6. Øst","6. Bispebjerg","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494661.xml",4040,3203,29,11,3243,908,193,74,201,174,11,499,248,594,289,12,"Øst, Bispebjerg, Denmark",55.7135,12.5351,2400,101,"2400 København NV",22.3185,38.0497,34.374,22.3185,0,38.0497,0
"6. Syd","6. Bispebjerg","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494662.xml",9467,7514,100,36,7650,1453,652,132,506,548,29,722,490,1836,1120,26,"Syd, Bispebjerg, Denmark",55.7135,12.5351,2400,101,"2400 København NV",22.3185,38.0497,28.0144,22.3185,0,38.0497,0
"7. Brønshøj","7. Brønshøj","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494663.xml",3851,3326,27,5,3358,832,245,120,260,219,9,500,370,452,316,3,"Brønshøj, Brønshøj, Denmark",55.7039,12.4992,2700,101,"2700 Brønshøj",13.8144,13.709,32.3812,13.8144,0,13.709,0
