"year","valgstedid","voters","votes","a","b","c","v","vsnavn","komnavn","kredsnavn","kontanthjaelp","arbejd","boligstoer_kvm","ejer","formue","indkomst","indkomst_80pct","zip","muninum","y","zipy","hp_1yr","hp_2yr","incsupport","hp_1yrposchange","hp_1yrnegchange","hp_2yrposchange","hp_2yrnegchange"
2005,101001,13404.1,11190.1,0.19575,0.224203,0.10512,0.178888,"1. Østerbro","København","1. Østerbro",0.04109,0.69742,82.8639,0.156569,307674,431751,647888,2100,101,5,"2100_5",24.994,35.3919,0.284008,24.994,0,35.3919,0
2007,101001,12737,11268,0.228701,0.110135,0.113596,0.147231,"1. Østerbro","København","1. Østerbro",0.04109,0.69742,82.8638,0.156569,307674,431751,647888,2100,101,7,"2100_7",-14.2304,-11.2343,0.260827,0,14.2304,0,11.2343
2011,101001,13115,11855,0.165078,0.202362,0.0634332,0.166259,"1. Østerbro","København","1. Østerbro",0.04109,0.69742,83.7058,0.14402,307674,431751,647888,2100,101,11,"2100_11",1.00949,11.0311,0.229692,1.00949,0,11.0311,0
2015,101001,13452,11847,0.214231,0.119862,0.0329197,0.120452,"1. Østerbro","København","1. Østerbro",0.04109,0.69742,83.7058,0.14402,307674,431751,647888,2100,101,15,"2100_15",14.8399,24.8178,0.334093,14.8399,0,24.8178,0
2005,101002,5657,4696,0.168654,0.176533,0.140971,0.23701,"1. Nord","København","1. Østerbro",0.039204,0.634933,87.756,0.237473,930278,462670,6.47330e+06,2100,101,5,"2100_5",24.994,35.3919,0.377981,24.994,0,35.3919,0
2007,101002,5493,4718,0.217041,0.104493,0.142433,0.176346,"1. Nord","København","1. Østerbro",0.039204,0.634933,87.756,0.237473,930278,462670,6.47330e+06,2100,101,7,"2100_7",-14.2304,-11.2343,0.318779,0,14.2304,0,11.2343
2011,101002,5509,4848,0.169761,0.184818,0.0790017,0.203589,"1. Nord","København","1. Østerbro",0.039204,0.634933,88.9856,0.236269,930278,462670,6.47330e+06,2100,101,11,"2100_11",1.00949,11.0311,0.282591,1.00949,0,11.0311,0
2015,101002,5695,4890,0.220245,0.106339,0.0478528,0.13681,"1. Nord","København","1. Østerbro",0.039204,0.634933,88.9856,0.236269,930278,462670,6.47330e+06,2100,101,15,"2100_15",14.8399,24.8178,0.326585,14.8399,0,24.8178,0
2005,101003,14821.8,12640.1,0.19407,0.214561,0.112557,0.181968,"1. Syd","København","1. Østerbro",0.0383983,0.708713,89.0943,0.136287,423563,462382,1.39175e+06,2100,101,5,"2100_5",24.994,35.3919,0.294525,24.994,0,35.3919,0
2007,101003,13107,11713,0.216938,0.113549,0.120123,0.140528,"1. Syd","København","1. Østerbro",0.0383983,0.708713,89.0122,0.136108,423563,462382,1.39175e+06,2100,101,7,"2100_7",-14.2304,-11.2343,0.260651,0,14.2304,0,11.2343
2011,101003,13737,12465,0.152347,0.215002,0.0669073,0.165343,"1. Syd","København","1. Østerbro",0.0383983,0.708713,91.0141,0.157251,423563,462382,1.39175e+06,2100,101,11,"2100_11",1.00949,11.0311,0.23225,1.00949,0,11.0311,0
2015,101003,14173,12677,0.214562,0.119823,0.0328153,0.114223,"1. Syd","København","1. Østerbro",0.0383983,0.708713,91.0141,0.157251,423563,462382,1.39175e+06,2100,101,15,"2100_15",14.8399,24.8178,0.334385,14.8399,0,24.8178,0
2005,101005,12536.3,9948.34,0.227871,0.179542,0.0862315,0.173225,"1. Vest","København","1. Østerbro",0.0421227,0.637457,71.1932,0.107513,241681,376665,572478,2100,101,5,"2100_5",24.994,35.3919,0.259456,24.994,0,35.3919,0
2007,101005,10637,8922,0.258686,0.095046,0.106927,0.132257,"1. Vest","København","1. Østerbro",0.0421227,0.637457,71.1931,0.107513,241681,376665,572478,2100,101,7,"2100_7",-14.2304,-11.2343,0.239184,0,14.2304,0,11.2343
2011,101005,10405,9025,0.202881,0.168864,0.0488643,0.153352,"1. Vest","København","1. Østerbro",0.0421227,0.637457,75.5979,0.135817,241681,376665,572478,2100,101,11,"2100_11",1.00949,11.0311,0.202216,1.00949,0,11.0311,0
2015,101005,10805,9126,0.239535,0.0948937,0.030572,0.102674,"1. Vest","København","1. Østerbro",0.0421227,0.637457,75.5979,0.135817,241681,376665,572478,2100,101,15,"2100_15",14.8399,24.8178,0.334429,14.8399,0,24.8178,0
2005,101006,9231,7544,0.216198,0.188892,0.10167,0.181071,"1. Nordvest","København","1. Østerbro",0.0487865,0.637207,73.4269,0.176222,402645,393325,5.92212e+06,2100,101,5,"2100_5",24.994,35.3919,0.282741,24.994,0,35.3919,0
2007,101006,8835,7593,0.257869,0.0965363,0.105492,0.144739,"1. Nordvest","København","1. Østerbro",0.0487865,0.637207,73.4269,0.176222,402645,393325,5.92212e+06,2100,101,7,"2100_7",-14.2304,-11.2343,0.25023,0,14.2304,0,11.2343
2011,101006,9027,7901,0.207948,0.175041,0.0589799,0.157195,"1. Nordvest","København","1. Østerbro",0.0487865,0.637207,75.1139,0.174502,402645,393325,5.92212e+06,2100,101,11,"2100_11",1.00949,11.0311,0.216175,1.00949,0,11.0311,0
