"","zipy","pricevol"
"1","1000_5",2139.12358138294
"2","1500_5",2126.24093178548
"3","1800_5",2250.54580284745
"4","2000_5",2774.56961022138
"5","2100_5",2243.07748360481
"6","2200_5",2061.87104695849
"7","2300_5",1596.29012154034
"8","2400_5",1412.3924085402
"9","2450_5",1614.82599128911
"10","2500_5",1833.75384799822
"11","2600_5",835.468496365676
"12","2605_5",1064.52193726023
"13","2610_5",912.322336644581
"14","2620_5",882.835515166562
"15","2625_5",739.185285808681
"16","2630_5",532.401743741735
"17","2633_5",NA
"18","2635_5",623.979496466177
"19","2640_5",822.698788352523
"20","2650_5",939.798328231454
"21","2660_5",1737.07570358922
"22","2665_5",1070.03871319916
"23","2670_5",985.770603979965
"24","2680_5",1214.75321025825
"25","2690_5",874.194231033029
"26","2700_5",1561.97326061418
"27","2720_5",1455.21873785949
"28","2730_5",1245.45782158009
"29","2740_5",1520.81836522315
"30","2750_5",1349.5456289582
"31","2760_5",1927.31447133792
"32","2765_5",856.922184151293
"33","2770_5",1176.80344659259
"34","2791_5",1451.13547175717
"35","2800_5",1608.70964147363
"36","2820_5",1906.95770756086
"37","2830_5",1693.85888407162
"38","2840_5",1694.77415399192
"39","2850_5",1462.80441314112
"40","2860_5",1329.35011924885
"41","2870_5",1534.90338176113
"42","2880_5",1122.84464779246
"43","2900_5",3121.36021336422
"44","2920_5",2831.13025665183
"45","2930_5",3949.04328488842
"46","2942_5",3371.58419053105
"47","2950_5",2615.46280731127
"48","2960_5",2488.0456329072
"49","2970_5",1295.94356289725
"50","2980_5",822.191440679146
"51","2990_5",677.319169322423
"52","3000_5",1192.39391924683
"53","3050_5",1743.04363772042
"54","3060_5",1796.88947658718
"55","3070_5",1624.30149506156
"56","3080_5",3782.31417256684
"57","3100_5",1435.67937501977
"58","3120_5",978.273479145786
"59","3140_5",1485.74175197826
"60","3150_5",NA
"61","3200_5",769.595840137552
"62","3210_5",1428.54651406846
"63","3220_5",NA
"64","3230_5",598.844944753767
"65","3250_5",1801.66384886155
"66","3300_5",1127.51637857829
"67","3310_5",836.646022321667
"68","3320_5",1140.27207749479
"69","3330_5",545.758646289731
"70","3360_5",3144.77095085371
"71","3370_5",510.531096016687
"72","3390_5",652.570507958445
"73","3400_5",926.603185517565
"74","3450_5",869.389637090047
"75","3460_5",1624.16605388928
"76","3480_5",1217.27345720046
"77","3490_5",NA
"78","3500_5",1208.61890249093
"79","3520_5",1089.41038693662
"80","3540_5",1232.99597380874
"81","3550_5",1136.88421322741
"82","3600_5",1306.67557106565
"83","3630_5",661.44137792292
"84","3650_5",792.509366041957
"85","3660_5",976.148719595227
"86","3670_5",623.329928689454
"87","3700_5",294.225253844737
"88","3720_5",388.035137400137
"89","3730_5",407.261389387349
"90","3740_5",861.129065737037
"91","3751_5",135.922772190682
"92","3760_5",474.924906344852
"93","3770_5",473.134211554034
"94","3782_5",587.868239205578
"95","3790_5",1032.80836799476
"96","4000_5",985.653642320189
"97","4030_5",367.412355924123
"98","4040_5",1289.87340879417
"99","4050_5",903.132168780248
"100","4060_5",954.766538404621
"101","4070_5",555.078356759527
"102","4100_5",569.933466860483
"103","4105_5",NA
"104","4130_5",1035.56491656901
"105","4140_5",1009.05599448197
"106","4160_5",495.014123175145
"107","4171_5",1180.2400683961
"108","4173_5",686.543419360106
"109","4174_5",NA
"110","4180_5",623.303177530709
"111","4190_5",NA
"112","4200_5",870.581527837749
"113","4220_5",812.829901723221
"114","4230_5",674.817951641139
"115","4241_5",1376.91196938242
"116","4242_5",406.314328240259
"117","4243_5",NA
"118","4250_5",563.02778414061
"119","4261_5",936.013034097282
"120","4262_5",702.42145807336
"121","4270_5",438.394038888913
"122","4281_5",588.904309471654
"123","4291_5",692.475425041
"124","4293_5",561.232556203627
"125","4295_5",859.385827204522
"126","4296_5",NA
"127","4300_5",1553.15215071603
"128","4320_5",1104.88906198121
"129","4330_5",601.712066286098
"130","4340_5",800.703875617304
"131","4350_5",255.391692634406
"132","4360_5",207.182286887658
"133","4370_5",1130.57626898852
"134","4390_5",1664.88699208942
"135","4400_5",470.722050807665
"136","4420_5",1520.69074217388
"137","4440_5",888.989946512333
"138","4450_5",818.2505292216
"139","4460_5",1228.32364084824
"140","4470_5",1001.2324904836
"141","4480_5",NA
"142","4490_5",422.247874899499
"143","4500_5",310.809082419233
"144","4520_5",1085.03245507746
"145","4532_5",1046.49781015856
"146","4534_5",750.396359551785
"147","4540_5",954.56451364708
"148","4550_5",2034.18986594523
"149","4560_5",863.198030167883
"150","4571_5",1013.50443417641
"151","4572_5",NA
"152","4573_5",1282.09261235945
"153","4581_5",1303.08825487762
"154","4583_5",1085.4209782384
"155","4591_5",944.807463379255
"156","4592_5",NA
"157","4593_5",1255.04355834104
"158","4600_5",909.830901967676
"159","4621_5",1174.4389744733
"160","4622_5",978.083804472515
"161","4623_5",1089.15375625387
"162","4632_5",716.230958360699
"163","4640_5",414.5192568334
"164","4652_5",905.217258846895
"165","4653_5",968.141629249416
"166","4654_5",1176.6441915768
"167","4660_5",724.006856715756
"168","4671_5",3589.8784101972
"169","4672_5",1249.88099433506
"170","4673_5",688.047866551933
"171","4681_5",900.076822118138
"172","4682_5",733.595983267811
"173","4683_5",325.294957728843
"174","4684_5",516.99569976106
"175","4690_5",551.399468325196
"176","4700_5",458.462971537165
"177","4720_5",1134.08561023721
"178","4733_5",476.011329396986
"179","4735_5",895.16590641065
"180","4736_5",1977.09776777309
"181","4750_5",783.039396472854
