zipy,pricevol,ntm4,ntm3,ntm2,ntm1,nt0
1000_5,2139.123581382939,98.0,98.0,57.0,83.0,130.0
1500_5,2126.240931785483,104.0,68.0,50.0,66.0,83.0
1800_5,2250.5458028474527,99.0,87.0,58.0,67.0,79.0
2000_5,2774.5696102213838,205.0,188.0,125.0,144.0,188.0
2100_5,2243.077483604807,213.0,229.0,169.0,190.0,236.0
2200_5,2061.8710469584935,143.0,172.0,112.0,105.0,157.0
2300_5,1596.2901215403435,311.0,342.0,203.0,256.0,302.0
2400_5,1412.3924085401989,93.0,117.0,70.0,83.0,125.0
2450_5,1614.82599128911,40.0,50.0,40.0,41.0,38.0
2500_5,1833.753847998219,128.0,175.0,94.0,128.0,119.0
2600_5,835.4684963656758,50.0,52.0,36.0,56.0,56.0
2605_5,1064.5219372602276,31.0,30.0,21.0,20.0,27.0
2610_5,912.3223366445809,114.0,144.0,77.0,101.0,106.0
2620_5,882.8355151665621,45.0,40.0,31.0,29.0,33.0
2625_5,739.1852858086808,21.0,14.0,7.0,15.0,12.0
2630_5,532.4017437417355,128.0,103.0,88.0,126.0,161.0
2633_5,NaN,0.0,0.0,0.0,0.0,0.0
2635_5,623.979496466177,61.0,57.0,31.0,58.0,66.0
2640_5,822.698788352523,29.0,41.0,31.0,35.0,57.0
2650_5,939.7983282314542,109.0,148.0,81.0,89.0,97.0
2660_5,1737.0757035892248,13.0,19.0,13.0,10.0,20.0
2665_5,1070.0387131991574,33.0,28.0,18.0,22.0,24.0
2670_5,985.7706039799652,110.0,124.0,99.0,95.0,128.0
2680_5,1214.7532102582459,72.0,60.0,41.0,43.0,56.0
2690_5,874.1942310330288,16.0,15.0,33.0,27.0,24.0
2700_5,1561.973260614179,84.0,117.0,70.0,66.0,105.0
2720_5,1455.2187378594924,118.0,109.0,70.0,88.0,120.0
2730_5,1245.4578215800907,53.0,72.0,44.0,41.0,61.0
2740_5,1520.8183652231453,25.0,11.0,20.0,22.0,20.0
2750_5,1349.5456289582014,39.0,46.0,27.0,24.0,36.0
2760_5,1927.3144713379215,9.0,13.0,8.0,6.0,12.0
2765_5,856.9221841512934,32.0,34.0,35.0,34.0,30.0
2770_5,1176.8034465925946,85.0,111.0,69.0,85.0,86.0
2791_5,1451.135471757174,25.0,42.0,25.0,33.0,45.0
2800_5,1608.7096414736316,100.0,114.0,70.0,67.0,112.0
2820_5,1906.957707560864,72.0,80.0,51.0,61.0,86.0
2830_5,1693.8588840716225,62.0,83.0,51.0,60.0,78.0
2840_5,1694.7741539919155,66.0,76.0,56.0,46.0,77.0
2850_5,1462.8044131411189,18.0,18.0,15.0,28.0,20.0
2860_5,1329.3501192488525,74.0,77.0,55.0,59.0,74.0
2870_5,1534.9033817611348,17.0,34.0,15.0,17.0,27.0
2880_5,1122.844647792458,37.0,51.0,33.0,27.0,47.0
2900_5,3121.360213364221,95.0,102.0,58.0,92.0,96.0
2920_5,2831.13025665183,117.0,116.0,79.0,78.0,116.0
2930_5,3949.0432848884193,14.0,18.0,16.0,16.0,8.0
2942_5,3371.5841905310504,6.0,11.0,10.0,7.0,13.0
2950_5,2615.4628073112744,17.0,31.0,16.0,15.0,26.0
2960_5,2488.0456329071963,26.0,22.0,22.0,20.0,29.0
2970_5,1295.9435628972515,57.0,65.0,74.0,46.0,85.0
2980_5,822.1914406791456,25.0,50.0,39.0,43.0,51.0
2990_5,677.3191693224229,15.0,24.0,13.0,15.0,20.0
3000_5,1192.3939192468326,87.0,84.0,60.0,97.0,78.0
3050_5,1743.043637720421,33.0,37.0,29.0,25.0,24.0
3060_5,1796.8894765871767,34.0,44.0,31.0,38.0,22.0
3070_5,1624.301495061558,20.0,24.0,17.0,9.0,13.0
3080_5,3782.314172566843,3.0,7.0,3.0,1.0,2.0
3100_5,1435.679375019765,21.0,22.0,14.0,17.0,13.0
3120_5,978.2734791457857,7.0,8.0,2.0,3.0,5.0
3140_5,1485.7417519782598,23.0,13.0,17.0,17.0,15.0
3150_5,NaN,4.0,3.0,1.0,1.0,1.0
3200_5,769.5958401375516,49.0,57.0,38.0,34.0,53.0
3210_5,1428.546514068458,9.0,8.0,6.0,12.0,7.0
3220_5,NaN,4.0,4.0,3.0,1.0,6.0
3230_5,598.8449447537674,29.0,23.0,23.0,29.0,24.0
3250_5,1801.6638488615502,29.0,31.0,16.0,21.0,27.0
3300_5,1127.5163785782943,35.0,41.0,39.0,45.0,40.0
3310_5,836.6460223216666,2.0,6.0,6.0,7.0,3.0
3320_5,1140.2720774947907,12.0,9.0,22.0,9.0,22.0
3330_5,545.7586462897312,7.0,5.0,5.0,4.0,3.0
3360_5,3144.7709508537077,5.0,5.0,6.0,6.0,3.0
3370_5,510.5310960166873,0.0,4.0,6.0,2.0,8.0
3390_5,652.570507958445,34.0,32.0,33.0,25.0,33.0
3400_5,926.6031855175651,106.0,105.0,53.0,90.0,99.0
3450_5,869.3896370900468,56.0,74.0,41.0,37.0,37.0
3460_5,1624.1660538892788,90.0,73.0,55.0,64.0,55.0
3480_5,1217.2734572004624,42.0,35.0,25.0,35.0,34.0
3490_5,NaN,2.0,2.0,0.0,2.0,3.0
