year;valgstedId;voters;votes;a;b;c;v;inc_support
2001;101001;13481,31;11538,3;2708,43;1687,86;931,27;2714,32;0,381017134
2001;101002;5708;4866;1036;567;521;1392;0,329428689
2001;101003;14211,97;11872,2;2613,92;1790,72;1062,25;2645,06;0,371004532
2001;101005;12467,76;9911,31;2660;1158,79;752,87;2124,82;0,385296192
2001;101006;9385;7909;2137;886;663;1765;0,382222784
2001;101007;13145,65;10101,43;3471,76;617,98;576,2;1825,76;0,40486743
2001;101008;10379,46;8166,84;2554,76;711,78;496,82;1530,42;0,399976001
2001;101009;4724,89;3846,73;1238,48;299,24;221,98;700,82;0,399747318
2001;101010;5608;4585;1400;475;289;825;0,408942203
2001;101011;13435,08;9866,4;2060,28;1582,87;912,57;2171,44;0,369248155
2001;101012;5714,82;5027,18;1017,02;887,82;482,96;1145,99;0,378908255
2001;101013;7305;6267;1613;823;365;954;0,388702729
2001;101014;10205,81;8855,91;1718,36;1218,74;1002,95;2425,19;0,331654229
2001;101016;6752,09;5396,61;1703,26;407,41;297,52;1080,91;0,391110345
2001;101017;14007,81;11123,07;3229,66;1007,57;650,01;2206,54;0,380940694
2001;101018;8588,45;6825,33;2200,71;439,55;448,37;1380,34;0,386832578
2001;101019;7752,65;6413,98;2012,38;419,47;397,11;1367,21;0,37914836
2001;101020;10143,1;8169,52;2178,53;1238,36;490,65;1329,43;0,418248563
2001;101021;10223,15;8065,17;2051,47;1090,85;553,48;1447,75;0,38961609
2001;101022;5877,98;4742,85;1198,64;586,16;244,08;692,33;0,37631382
2001;101023;4990;4200;1114;680;278;663;0,427142857
2001;101024;6162,67;5135,3;1418,3;665,67;287,5;787,66;0,405812708
2001;101025;9893,35;8020,84;2132,06;1161,17;426,41;1248,01;0,410584178
2001;101026;3156;2421;598;406;137;355;0,414704667
2001;101027;14090,99;10648,72;3387,93;890,98;660,66;1993,57;0,401823881
2001;101028;6673,3;5291,9;1622,81;487,6;392,82;975,88;0,398800053
2001;101029;4062;3349;1168;259;180;543;0,426097342
2001;101030;9622;7532,96;2278,34;704,63;482,82;1444,64;0,395989093
2001;101031;4175,03;3644,93;977,74;349,47;282,72;754,9;0,364124963
2001;101032;2965;2263;963;109;89;241;0,473707468
2001;101033;5843;4965,04;1469,66;477,37;345,18;1022,36;0,392147898
2001;101034;8590,71;7277,38;2181,26;596,42;483,52;1371,55;0,381686816
2001;101035;6417;5050;1731;368;337;839;0,415643564
2001;101036;8178;6879;2234;468;442;1198;0,39278965
2001;101039;4618,67;3825,48;1076,04;372,86;310,55;884,17;0,378749856
2001;101040;4613,97;3979,07;1070,26;369,53;329,28;853,1;0,361840832
2001;101041;9872,4;8321,68;2402,94;781,79;680,21;1798,15;0,382702772
2001;101042;7825,93;6634,84;2012,02;525,35;528,24;1262,67;0,382431227
2001;101043;7663;6425;1798;494;546;1465;0,356731518
2001;101044;4901;3932;1430;200;230;730;0,414547304
2001;101046;5091;3912;1385;222;211;648;0,410787321
2001;101047;3971;3255;1048;224;184;583;0,39078341
2001;101048;4974;4018;1402;251;279;728;0,411398706
2001;101049;6757,34;5498,63;1505,97;768,82;291,79;815,02;0,413701231
2001;101050;7494,86;6277,46;1639,49;997,53;332,06;884,35;0,420077547
2001;101051;8460,95;6556,73;2283,72;373,77;324,06;1013,29;0,405307219
2001;101052;6787,8;5606,91;1375,54;955,65;353,15;841,64;0,415770897
2001;101053;5054,04;4184,17;1214,89;539,51;181,79;477,94;0,419294627
2001;101054;3047,64;2346,31;802,22;201,65;144,58;339,77;0,42785054
2001;101055;435,37;339,79;116,17;22,07;16,57;51;0,406839519
2001;147001;8031;7043;1570;927;1149;1568;0,354536419
2001;147002;8215;7186;1542;868;1349;1722;0,335374339
2001;147003;10851;9377;2212;1034;1432;2182;0,346166151
2001;147004;9876;8642;1976;935;1432;2010;0,336843323
2001;147005;9227;7796;2122;669;1241;1604;0,358004105
2001;147006;8752;7440;1792;569;1543;1742;0,31733871
2001;147007;9318;7822;1858;800;1272;1800;0,33981079
2001;147008;8002;7088;1716;772;957;1653;0,351015801
2001;151001;4394,88;3825,09;1604,64;108,01;161,38;784,91;0,447741099
2001;151002;6684;5654;2287;189;274;1172;0,437920057
2001;151003;2573;2347;757;116;185;670;0,37196421
2001;151004;2877;2468;1048;59;109;493;0,448541329
2001;151005;3686,12;3440,91;1024,36;176,99;297,62;1048,09;0,349137292
2001;151006;4175;3600;1653;75;142;584;0,48
2001;151007;1544;1415;432;59;131;389;0,346996466
2001;151008;3018;2705;837;147;208;784;0,363770795
2001;151009;3253;2997;832;208;295;915;0,34701368
2001;151010;1822;1682;470;102;108;412;0,340071344
2001;153001;3325;3017;1046;97;218;823;0,378853165
2001;153002;3486;2899;1156;80;173;600;0,426353915
2001;153003;3141;2720;1036;97;158;611;0,416544118
2001;153004;5792;5028;2020;175;287;980;0,43655529
2001;153005;8040;6678;2270;312;340;1504;0,386642707
2001;155001;3399,51;3131,51;719,72;214,98;368,61;1146,49;0,298482202
2001;155004;6224,49;5729,49;1388,28;248,02;618,39;2101,51;0,285592609
2001;157001;5259;4757;593;394;1035;1859;0,207483708
2001;157002;4410;3951;844;325;541;1158;0,295874462
2001;157003;5106;4413;613;453;844;1658;0,24155903
2001;157004;5363;4433;917;303;629;1373;0,275208662
2001;157005;4904;4442;654;405;779;1649;0,238406123
2001;157006;5637;5130;593;519;1048;2025;0,216764133
2001;157007;5512;4867;734;496;813;1746;0,252722416
2001;157008;4375;3888;490;352;714;1536;0,216563786
2001;157009;5080;4587;562;373;896;1921;0,20383693
2001;157010;4836;4208;465;319;902;1787;0,186311787
2001;159001;4934;4265;1076;325;453;1234;0,328487691
2001;159002;6178;5390;1632;312;410;1368;0,360667904
2001;159003;5843;5066;1651;220;369;1205;0,369324911
2001;159004;6516;5754;1814;377;342;1182;0,380778589
