"","valgstedid","vsnavn","kredsnavn","adrstring","lon","lat","zip","muninum"
"1",101001,"1. Østerbro","1. Østerbro"," �sterbro,  �sterbro, Denmark",12.5774983,55.7091548,2100,101
"2",101002,"1. Nord","1. Østerbro"," Nord,  �sterbro, Denmark",12.5774983,55.7091548,2100,101
"3",101003,"1. Syd","1. Østerbro"," Syd,  �sterbro, Denmark",12.5774983,55.7091548,2100,101
"4",101005,"1. Vest","1. Østerbro"," Vest,  �sterbro, Denmark",12.5774983,55.7091548,2100,101
"5",101006,"1. Nordvest","1. Østerbro"," Nordvest,  �sterbro, Denmark",12.5774983,55.7091548,2100,101
"6",101007,"2. Sundbyvester","2. Sundbyvester"," Sundbyvester,  Sundbyvester, Denmark",12.6018202,55.6460064,2300,101
"7",101008,"2. Nord","2. Sundbyvester"," Nord,  Sundbyvester, Denmark",12.6028559,55.6433,2300,101
"8",101009,"2. Syd","2. Sundbyvester"," Syd,  Sundbyvester, Denmark",12.6028559,55.6433,2300,101
"9",101010,"2. Vest","2. Sundbyvester"," Vest,  Sundbyvester, Denmark",12.6028559,55.6433,2300,101
"10",101011,"3. Indre By","3. Indre By"," Indre By,  Indre By, Denmark",12.564123,55.6836565,1359,101
"11",101012,"3. Nord","3. Indre By"," Nord,  Indre By, Denmark",12.5800086,55.6800939,1113,101
"12",101013,"3. Syd","3. Indre By"," Syd,  Indre By, Denmark",12.5800086,55.6800939,1113,101
"13",101014,"3. Øst","3. Indre By"," �st,  Indre By, Denmark",12.5800086,55.6800939,1113,101
"14",101016,"4. Sundbyøster","4. Sundbyøster"," Sundby�ster,  Sundby�ster, Denmark",12.613007,55.652139,2300,101
"15",101017,"4. Nord","4. Sundbyøster"," Nord,  Sundby�ster, Denmark",12.617226,55.653955,2300,101
"16",101018,"4. Syd","4. Sundbyøster"," Syd,  Sundby�ster, Denmark",12.617226,55.653955,2300,101
"17",101019,"4. Øst","4. Sundbyøster"," �st,  Sundby�ster, Denmark",12.617226,55.653955,2300,101
"18",101020,"5. Nørrebro","5. Nørrebro"," N�rrebro,  N�rrebro, Denmark",12.5496268,55.6938193,2200,101
"19",101021,"5. Nord","5. Nørrebro"," Nord,  N�rrebro, Denmark",12.5542484,55.6991166,2200,101
"20",101022,"5. Syd","5. Nørrebro"," Syd,  N�rrebro, Denmark",12.5542484,55.6991166,2200,101
"21",101023,"5. Øst","5. Nørrebro"," �st,  N�rrebro, Denmark",12.5542484,55.6991166,2200,101
