muninum;muninam
492;aeroe
169;hoeje-taastrup
173;lyngby-taarbaek
190;furesoe
210;fredensborg
230;rudersdal
240;egedal
250;frederikssund
260;halsnaes
270;gribskov
306;odsherred
316;holbaek
320;faxe
326;kalundborg
330;slagelse
336;stevns
340;soroe
350;lejre
360;lolland
370;naestved
376;guldborgsund
390;vordingborg
400;bornholm
410;middelfart
420;assens
430;faaborg-midtfyn
440;kerteminde
450;nyborg
480;nordfyns
482;langeland
510;haderslev
530;billund
540;soenderborg
550;toender
580;aabenraa
630;vejle
706;syddjurs
707;norddjurs
710;favrskov
730;randers
740;silkeborg
746;skanderborg
756;ikast-brande
760;ringkoebing-skjern
766;hedensted
810;broenderslev
820;vesthimmerlands
840;rebild
846;mariagerfjord
849;jammerbugt
851;aalborg
860;hjoerring
751;aarhus
10;soemandsskattekontoret
101;koebenhavn
11;told og skattestyrelsen
12;atp
147;frederiksberg
151;ballerup
153;broendby
155;dragoer
157;gentofte
159;gladsaxe
161;glostrup
163;herlev
165;albertslund
167;hvidovre
175;roedovre
183;ishoej
185;taarnby
187;vallensbaek
19;administrativ (sygehusene)
201;alleroed
217;helsingoer
219;hilleroed
223;hoersholm
253;greve
259;koege
265;roskilde
269;solroed
329;ringsted
411;christiansoe
461;odense
479;svendborg
561;esbjerg
563;fanoe
573;varde
575;vejen
607;fredericia
615;horsens
621;kolding
657;herning
661;holstebro
665;lemvig
671;struer
727;odder
741;samsoe
773;morsoe
779;skive
787;thisted
791;viborg
813;frederikshavn
825;laesoe
901;christianshaab
903;egedesminde
905;frederikshaab
907;godhavn
909;godthaab
911;holsteinsborg
913;ivigtut
915;jakobshavn
917;julianehaab
919;kangatsiaq
921;nanortalik
923;narssaq
925;sukkertoppen
927;umanak
929;upernavik
941;thule
951;angmagssalik
953;scoresbysund
961;udenfor kommunal inddeling
999;uoplyst kommune
