"ValgId";"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"Boligstørrelse_Antal boliger_000-039";"Boligstørrelse_Antal boliger_040-079";"Boligstørrelse_Antal boliger_080-119";"Boligstørrelse_Antal boliger_120-159";"Boligstørrelse_Antal boliger_160-199";"Boligstørrelse_Antal boliger_200-";"Boligstørrelse_Antal boliger_Ingen BBR";"Boligstørrelse_Antal personer_000-039";"Boligstørrelse_Antal personer_040-079";"Boligstørrelse_Antal personer_080-119";"Boligstørrelse_Antal personer_120-159";"Boligstørrelse_Antal personer_160-199";"Boligstørrelse_Antal personer_200-";"Boligstørrelse_Antal personer_Ingen BBR";"Boligtype_Antal boliger_01. Stuehuse og parcelhuse";"Boligtype_Antal boliger_02. Række- og kædehuse";"Boligtype_Antal boliger_03. Flerfamiliehuse";"Boligtype_Antal boliger_04. Kollegier";"Boligtype_Antal boliger_05. Sommerhuse";"Boligtype_Antal boliger_06. Øvrige boliger";"Boligtype_Antal boliger_07. Ingen BBR-oplysninger";"Boligtype_Antal personer_01. Stuehuse og parcelhuse";"Boligtype_Antal personer_02. Række- og kædehuse";"Boligtype_Antal personer_03. Flerfamiliehuse";"Boligtype_Antal personer_04. Kollegier";"Boligtype_Antal personer_05. Sommerhuse";"Boligtype_Antal personer_06. Øvrige boliger";"Boligtype_Antal personer_07. Ingen BBR-oplysninger";"Ejerforhold_Antal boliger_01. Ejerbolig";"Ejerforhold_Antal boliger_02. Andelsbolig";"Ejerforhold_Antal boliger_03. Almennyttig bolig";"Ejerforhold_Antal boliger_04. Lejer i offentligt ejet";"Ejerforhold_Antal boliger_05. Privat lejerbolig";"Ejerforhold_Antal boliger_06. Øvrige beboede boliger";"Ejerforhold_Antal boliger_07. Ingen BBR-oplysninger";"Ejerforhold_Antal personer_01. Ejerbolig";"Ejerforhold_Antal personer_02. Andelsbolig";"Ejerforhold_Antal personer_03. Almennyttig bolig";"Ejerforhold_Antal personer_04. Lejer i offentligt ejet";"Ejerforhold_Antal personer_05. Privat lejerbolig";"Ejerforhold_Antal personer_06. Øvrige beboede boliger";"Ejerforhold_Antal personer_07. Ingen BBR-oplysninger"
"30";"101001";"101001";"1";"1";"1";"226,66";"5057,15";"2970,12";"940,98";"352,25";"154,05";"16,68";"250,21";"7157,92";"6113,91";"2270,52";"978,27";"482,75";"35,32";"2,94";"44,15";"9637,44";"0,98";"0,98";"14,72";"16,68";"7,85";"106,95";"17111,31";"2,94";"0,98";"23,55";"35,32";"1518,91";"3541,18";"1068,54";"9,81";"2083,11";"1479,66";"16,68";"2861,21";"6362,16";"1705,34";"19,62";"3679,53";"2625,72";"35,32"
"30";"101002";"101002";"1";"1";"1";"169";"2042";"1097";"362";"230";"231";"2";"278";"2853";"2113";"811";"528";"774";"3";"207";"78";"3821";"5";"-";"20";"2";"665";"220";"6351";"5";"-";"116";"3";"981";"1501";"525";"140";"703";"281";"2";"1972";"2518";"906";"275";"1216";"470";"3"
"30";"101003";"101003";"1";"1";"1";"294,03";"1990,94";"1150,43";"364,78";"158,49";"77,19";"1,32";"333,63";"2740,82";"2399,41";"937,88";"402,83";"245,03";"1,68";"2,35";"1,79";"3868,34";"154,66";"0,02";"8,71";"1,32";"8,64";"3,94";"6859,00";"161,96";"0,02";"26,03";"1,68";"315,18";"1544,77";"314,59";"3,46";"1573,10";"284,77";"1,32";"629,62";"2929,03";"506,98";"16,45";"2414,64";"562,85";"1,68"
"30";"101004";"101004";"1";"1";"1";"322,95";"2294,68";"2354,05";"874,03";"415,22";"259,23";"0,67";"481,97";"3240,81";"4527,07";"2073,67";"1087,32";"810,81";"1,57";"13,04";"15,96";"6383,65";"88,81";"-";"18,72";"0,67";"47,10";"36,41";"11938,37";"90,96";"-";"108,81";"1,57";"1121,57";"2466,08";"485,26";"164,45";"1759,84";"522,98";"0,67";"2352,96";"4638,49";"836,79";"295,06";"3119,31";"979,04";"1,57"
"30";"101005";"101005";"1";"1";"1";"738,59";"5351,89";"3130,81";"250,25";"128,55";"28,90";"70,74";"790,31";"7717,49";"7655,88";"667,85";"426,72";"94,32";"70,74";"5,32";"82,91";"9362,00";"173,43";"-";"5,32";"70,74";"16,73";"297,41";"16839,13";"184,08";"-";"15,21";"70,74";"1035,24";"3521,78";"2337,46";"1,52";"2156,43";"576,57";"70,74";"1948,77";"6218,26";"5170,86";"3,80";"3051,70";"959,17";"70,74"
"30";"101006";"101006";"1";"1";"1";"370";"3991";"1911";"534";"55";"11";"2";"408";"5904";"4046";"1558";"165";"54";"3";"14";"355";"6412";"79";"-";"12";"2";"36";"1106";"10866";"85";"-";"42";"3";"1211";"2358";"1299";"7";"1457";"540";"2";"2572";"4018";"2163";"28";"2527";"827";"3"
"30";"101007";"101007";"2";"1";"1";"751,93";"4435,51";"3220,33";"619,29";"185,30";"77,05";"3,90";"821,17";"6683,49";"7998,15";"1775,96";"587,11";"316,96";"3,90";"1453,15";"459,35";"7192,58";"154,09";"10,73";"19,51";"3,90";"3801,58";"1496,06";"12627,74";"181,40";"17,55";"58,52";"3,90";"2373,80";"1828,62";"3066,23";"172,62";"1272,72";"575,41";"3,90";"5615,58";"3145,23";"6005,68";"205,78";"2037,33";"1173,24";"3,90"
"30";"101008";"101008";"2";"1";"1";"775,16";"4264,56";"2467,10";"354,39";"80,67";"15,68";"5,59";"835,50";"6555,97";"5643,75";"845,07";"217,18";"183,79";"32,14";"40,52";"41,86";"7405,52";"452,43";"1,19";"16,06";"5,59";"106,48";"114,83";"13360,48";"524,52";"1,36";"173,57";"32,14";"738,49";"2842,80";"1763,86";"34,58";"1946,30";"631,55";"5,59";"1303,10";"4766,41";"3744,19";"157,17";"2975,33";"1335,06";"32,14"
"30";"101009";"101009";"2";"1";"1";"1228,53";"996,20";"843,83";"252,05";"50,97";"14,25";"6,50";"1411,74";"1749,15";"2106,19";"685,25";"167,53";"228,00";"45,91";"924,24";"250,50";"1281,17";"902,45";"20,06";"7,43";"6,50";"2276,22";"700,28";"2135,68";"1010,93";"36,04";"188,71";"45,91";"1066,52";"258,58";"234,81";"9,78";"1585,30";"230,84";"6,50";"2570,38";"433,36";"499,93";"190,84";"2052,21";"601,12";"45,91"
"30";"101010";"101010";"2";"1";"1";"82,38";"2786,73";"1199,74";"352,26";"30,05";"3,02";"7,01";"120,59";"4144,38";"2491,91";"856,73";"76,18";"8,25";"15,05";"2,10";"0,30";"4370,73";"78,03";"0,02";"3,01";"7,01";"4,72";"0,83";"7567,11";"114,15";"0,04";"11,21";"15,05";"302,20";"2898";"0,09";"78,01";"673,68";"502,21";"7,01";"540,94";"5022";"0,20";"115,21";"1193,13";"826,57";"15,05"
