"ValgId";"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"Boligstørrelse_Antal boliger_000-040";"Boligstørrelse_Antal boliger_040-079";"Boligstørrelse_Antal boliger_080-119";"Boligstørrelse_Antal boliger_120-159";"Boligstørrelse_Antal boliger_160-199";"Boligstørrelse_Antal boliger_200-";"Boligstørrelse_Antal boliger_Ingen BBR";"Boligstørrelse_Antal personer_000-040";"Boligstørrelse_Antal personer_040-079";"Boligstørrelse_Antal personer_080-119";"Boligstørrelse_Antal personer_120-159";"Boligstørrelse_Antal personer_160-199";"Boligstørrelse_Antal personer_200-";"Boligstørrelse_Antal personer_Ingen BBR";"Boligtype_Antal boliger";"Boligtype_Antal boliger_01. Stuehuse og parcelhuse";"Boligtype_Antal boliger_02. Række- og kædehuse";"Boligtype_Antal boliger_03. Flerfamiliehuse";"Boligtype_Antal boliger_04. Kollegier";"Boligtype_Antal boliger_05. Sommerhuse";"Boligtype_Antal boliger_06. Øvrige boliger";"Boligtype_Antal boliger_07. Ingen BBR-oplysninger";"Boligtype_Antal personer";"Boligtype_Antal personer_01. Stuehuse og parcelhuse";"Boligtype_Antal personer_02. Række- og kædehuse";"Boligtype_Antal personer_03. Flerfamiliehuse";"Boligtype_Antal personer_04. Kollegier";"Boligtype_Antal personer_05. Sommerhuse";"Boligtype_Antal personer_06. Øvrige boliger";"Boligtype_Antal personer_07. Ingen BBR-oplysninger";"Ejerforhold_Antal boliger";"Ejerforhold_Antal boliger_01. Ejerbolig";"Ejerforhold_Antal boliger_02. Andelsbolig";"Ejerforhold_Antal boliger_03. Almennyttig bolig";"Ejerforhold_Antal boliger_04. Lejer i offentligt ejet";"Ejerforhold_Antal boliger_05. Privat lejerbolig";"Ejerforhold_Antal boliger_06. Øvrige beboede boliger";"Ejerforhold_Antal boliger_07. Ingen BBR-oplysninger";"Ejerforhold_Antal personer";"Ejerforhold_Antal personer_01. Ejerbolig";"Ejerforhold_Antal personer_02. Andelsbolig";"Ejerforhold_Antal personer_03. Almennyttig bolig";"Ejerforhold_Antal personer_04. Lejer i offentligt ejet";"Ejerforhold_Antal personer_05. Privat lejerbolig";"Ejerforhold_Antal personer_06. Øvrige beboede boliger";"Ejerforhold_Antal personer_07. Ingen BBR-oplysninger";"grossincome_anhus";"grossincome_ma100";"grossincome_mi100";"grossincome_mi150";"grossincome_mi200";"grossincome_mi300";"grossincome_mi400";"grossincome_mi500";"grossincome_smbru";"grossincome_smfor";"transferPayments_afak_1";"transferPayments_afak_2";"transferPayments_afak_3";"transferPayments_cash_1";"transferPayments_cash_2";"transferPayments_cash_3";"transferPayments_eabe_1";"transferPayments_eabe_2";"transferPayments_eabe_3";"transferPayments_earl_1";"transferPayments_earl_2";"transferPayments_earl_3";"transferPayments_komm_1";"transferPayments_komm_2";"transferPayments_komm_3";"transferPayments_mat_1";"transferPayments_mat_2";"transferPayments_mat_3";"transferPayments_old_1";"transferPayments_old_2";"transferPayments_old_3";"transferPayments_orlo_1";"transferPayments_orlo_2";"transferPayments_orlo_3";"transferPayments_reha_1";"transferPayments_reha_2";"transferPayments_reha_3";"transferPayments_sick_1";"transferPayments_sick_2";"transferPayments_sick_3";"transferPayments_unem_1";"transferPayments_unem_2";"transferPayments_unem_3"
"181";"151001";"151001";"22";"4";"2";"116";"435";"1704";"335";"68";"4";"1";"133";"563";"4042";"880";"209";"87";"1";"-";"590";"4";"2053";"-";"1";"14";"1";"-";"1567";"11";"4229";"-";"2";"105";"1";"-";"533";"-";"2084";"5";"17";"23";"1";"-";"1445";"-";"4319";"91";"31";"28";"1";"2659";"227";"299";"295";"541";"334";"373";"590";"924429783";"584567859";"5";"14";"10";"90";"57";"7";"0";"0";"294";"15";"122";"307";"42";"20";"3";"61";"53";"0";"0";"0";"560";"25";"45";"11";"11";"14";"1";"73";"111";"78";"85";"133";"101"
"181";"151002";"151002";"22";"4";"2";"171";"2139";"1758";"259";"67";"20";"5";"195";"3240";"3856";"702";"179";"159";"71";"-";"574";"119";"3699";"-";"-";"22";"5";"-";"1490";"245";"6461";"-";"-";"135";"71";"-";"860";"96";"3141";"62";"78";"177";"5";"-";"1954";"130";"5666";"195";"126";"260";"71";"4667";"575";"662";"585";"1001";"543";"530";"771";"1429916696";"800749584";"8";"39";"5";"130";"148";"23";"0";"0";"401";"16";"185";"504";"83";"31";"3";"58";"97";"0";"0";"0";"1508";"32";"71";"13";"15";"23";"0";"118";"193";"100";"141";"216";"109"
"181";"151003";"151003";"22";"4";"2";"-";"139";"523";"396";"102";"27";"-";"-";"183";"1414";"1016";"293";"80";"-";"-";"636";"528";"13";"-";"7";"3";"-";"-";"1654";"1273";"29";"-";"14";"16";"-";"-";"648";"-";"516";"1";"21";"1";"-";"-";"1684";"-";"1245";"2";"51";"4";"-";"1633";"111";"138";"101";"237";"175";"192";"676";"745727427";"857413108";"2";"5";"6";"16";"29";"5";"0";"0";"148";"7";"57";"153";"14";"14";"2";"17";"50";"0";"0";"0";"331";"9";"41";"7";"4";"12";"1";"21";"61";"49";"26";"54";"67"
"181";"151004";"151004";"22";"4";"2";"14";"428";"1233";"139";"30";"9";"4";"14";"540";"3386";"421";"90";"31";"6";"-";"204";"511";"1133";"-";"-";"5";"4";"-";"563";"1585";"2327";"-";"-";"7";"6";"-";"205";"1";"1626";"2";"19";"-";"4";"-";"561";"9";"3869";"7";"36";"-";"6";"1802";"218";"239";"183";"356";"266";"249";"291";"561537316";"74931997";"3";"11";"0";"100";"178";"16";"0";"0";"89";"3";"137";"212";"58";"39";"5";"29";"38";"0";"0";"0";"212";"24";"48";"2";"15";"15";"1";"76";"125";"41";"84";"109";"51"
"181";"151005";"151005";"22";"4";"2";"20";"198";"763";"765";"152";"23";"1";"21";"293";"1847";"2152";"454";"108";"1";"-";"1449";"305";"151";"-";"-";"16";"1";"-";"3817";"772";"226";"-";"-";"60";"1";"-";"1745";"113";"-";"9";"52";"2";"1";"-";"4584";"161";"-";"31";"92";"7";"1";"1919";"22";"92";"129";"282";"214";"294";"886";"929758000";"1349860244";"1";"8";"1";"8";"10";"2";"0";"0";"279";"0";"19";"108";"3";"1";"2";"15";"60";"0";"0";"0";"491";"8";"65";"9";"4";"8";"0";"33";"90";"69";"27";"60";"72"
"181";"151006";"151006";"22";"4";"2";"29";"1268";"1514";"10";"-";"-";"-";"32";"2014";"3367";"36";"-";"-";"-";"-";"2";"30";"2789";"-";"-";"-";"-";"-";"4";"34";"5411";"-";"-";"-";"-";"-";"-";"-";"2817";"1";"3";"-";"-";"-";"-";"-";"5441";"2";"6";"-";"-";"2818";"339";"399";"369";"674";"404";"359";"274";"775601805";"181866939";"8";"20";"1";"99";"86";"8";"0";"0";"340";"6";"107";"283";"35";"21";"2";"46";"33";"0";"0";"0";"786";"32";"36";"3";"8";"12";"0";"80";"133";"54";"104";"137";"93"
"181";"151007";"151007";"22";"4";"2";"81";"95";"390";"232";"53";"8";"1";"84";"146";"922";"663";"163";"24";"2";"-";"650";"70";"42";"95";"-";"2";"1";"-";"1691";"133";"65";"108";"-";"5";"2";"-";"667";"21";"122";"-";"18";"31";"1";"-";"1726";"29";"171";"-";"33";"43";"2";"858";"75";"76";"51";"102";"90";"135";"329";"359221869";"487388921";"1";"1";"1";"7";"7";"0";"0";"0";"92";"2";"9";"44";"5";"2";"0";"8";"22";"0";"0";"0";"265";"4";"20";"2";"2";"2";"0";"19";"40";"29";"15";"34";"28"
"181";"151008";"151008";"22";"4";"2";"91";"371";"689";"472";"96";"29";"2";"100";"547";"1759";"1417";"303";"117";"5";"-";"804";"276";"661";"-";"-";"7";"2";"-";"2308";"684";"1227";"-";"-";"24";"5";"-";"1008";"87";"606";"2";"35";"10";"2";"-";"2817";"177";"1145";"9";"80";"15";"5";"1613";"116";"148";"95";"251";"183";"241";"576";"681528217";"500605647";"3";"15";"0";"42";"46";"9";"0";"0";"121";"7";"68";"101";"29";"15";"3";"18";"54";"0";"0";"0";"209";"9";"43";"9";"4";"12";"0";"32";"86";"45";"41";"68";"52"
"181";"151009";"151009";"22";"4";"2";"57";"417";"719";"506";"187";"46";"4";"60";"526";"1708";"1442";"536";"150";"4";"-";"919";"462";"541";"-";"-";"10";"4";"-";"2526";"989";"887";"-";"-";"20";"4";"-";"1072";"107";"614";"3";"76";"60";"4";"-";"2888";"206";"1100";"9";"132";"87";"4";"1447";"100";"123";"91";"210";"156";"171";"599";"660051023";"758905169";"2";"6";"7";"15";"27";"5";"0";"0";"132";"8";"52";"136";"14";"13";"2";"16";"46";"0";"0";"0";"293";"8";"38";"7";"5";"12";"2";"19";"54";"45";"24";"49";"60"
"181";"151010";"151010";"22";"4";"2";"51";"166";"470";"209";"56";"12";"1";"57";"221";"1468";"558";"175";"40";"4";"-";"385";"403";"170";"-";"-";"6";"1";"-";"1058";"1189";"261";"-";"-";"11";"4";"-";"388";"106";"449";"1";"19";"1";"1";"-";"1068";"216";"1201";"3";"29";"2";"4";"988";"72";"92";"59";"154";"112";"149";"353";"417108994";"306380738";"3";"10";"1";"27";"29";"7";"0";"0";"75";"5";"43";"62";"19";"10";"2";"12";"34";"0";"0";"0";"129";"6";"27";"6";"4";"8";"1";"21";"54";"28";"26";"42";"33"
