ValgId;Gruppe;ValgstedId;KredsNr;StorKredsNr;LandsdelsNr;kontanthjaelp;arbejd;boligstoer_kvm;ejer;formue;indkomst;indkomst_80pct;Antal personer opgjort efter forsørgelsestype og afstemningsområde_01. Arbejdsløshedsdagpenge;Antal personer opgjort efter forsørgelsestype og afstemningsområde_02. Sygedagpenge;Antal personer opgjort efter forsørgelsestype og afstemningsområde_03. Barselsdagpenge;Antal personer opgjort efter forsørgelsestype og afstemningsområde_04. Kontanthjælp;Antal personer opgjort efter forsørgelsestype og afstemningsområde_05. Revalidering;Antal personer opgjort efter forsørgelsestype og afstemningsområde_06. Aktivering;Antal personer opgjort efter forsørgelsestype og afstemningsområde_07. Folkepension;Antal personer opgjort efter forsørgelsestype og afstemningsområde_08. Førtidspension;Antal personer opgjort efter forsørgelsestype og afstemningsområde_09. Efterløn;Antal personer opgjort efter forsørgelsestype og afstemningsområde_10. Modtager ikke ydelser;Antal personer opgjort efter forsørgelsestype og afstemningsområde_11. Ledighedsydelse og Fleksjob;Antal personer opgjort efter forsørgelsestype og afstemningsområde_Antal personer i alt;Boligstørrelse_Antal boliger_000-039;Boligstørrelse_Antal boliger_040-079;Boligstørrelse_Antal boliger_080-119;Boligstørrelse_Antal boliger_120-159;Boligstørrelse_Antal boliger_160-199;Boligstørrelse_Antal boliger_200-;Boligstørrelse_Antal boliger_Ingen BBR;Boligstørrelse_Antal personer_000-039;Boligstørrelse_Antal personer_040-079;Boligstørrelse_Antal personer_080-119;Boligstørrelse_Antal personer_120-159;Boligstørrelse_Antal personer_160-199;Boligstørrelse_Antal personer_200-;Boligstørrelse_Antal personer_Ingen BBR;Boligtype_Antal boliger_01. Stuehuse og parcelhuse;Boligtype_Antal boliger_02. Række- og kædehuse;Boligtype_Antal boliger_03. Flerfamiliehuse;Boligtype_Antal boliger_04. Kollegier;Boligtype_Antal boliger_05. Sommerhuse;Boligtype_Antal boliger_06. Øvrige boliger;Boligtype_Antal boliger_07. Ingen BBR-oplysninger;Boligtype_Antal personer_01. Stuehuse og parcelhuse;Boligtype_Antal personer_02. Række- og kædehuse;Boligtype_Antal personer_03. Flerfamiliehuse;Boligtype_Antal personer_04. Kollegier;Boligtype_Antal personer_05. Sommerhuse;Boligtype_Antal personer_06. Øvrige boliger;Boligtype_Antal personer_07. Ingen BBR-oplysninger;Ejerforhold_Antal boliger_01. Ejerbolig;Ejerforhold_Antal boliger_02. Andelsbolig;Ejerforhold_Antal boliger_03. Almennyttig bolig;Ejerforhold_Antal boliger_04. Lejer i offentligt ejet;Ejerforhold_Antal boliger_05. Privat lejerbolig;Ejerforhold_Antal boliger_06. Øvrige beboede boliger;Ejerforhold_Antal boliger_07. Ingen BBR-oplysninger;Ejerforhold_Antal personer_01. Ejerbolig;Ejerforhold_Antal personer_02. Andelsbolig;Ejerforhold_Antal personer_03. Almennyttig bolig;Ejerforhold_Antal personer_04. Lejer i offentligt ejet;Ejerforhold_Antal personer_05. Privat lejerbolig;Ejerforhold_Antal personer_06. Øvrige beboede boliger;Ejerforhold_Antal personer_07. Ingen BBR-oplysninger;Husstandsindkomster fordelt på afstemningsområder_100.000 - 149.999 kr;Husstandsindkomster fordelt på afstemningsområder_150.000 - 199.999 kr.;Husstandsindkomster fordelt på afstemningsområder_200.000 - 299.999 kr.;Husstandsindkomster fordelt på afstemningsområder_300.000 - 399.999 kr.;Husstandsindkomster fordelt på afstemningsområder_400.000 - 499.999 kr.;Husstandsindkomster fordelt på afstemningsområder_50%-percentil for husstandsindkomst;Husstandsindkomster fordelt på afstemningsområder_500.000 - 749.999 kr.;Husstandsindkomster fordelt på afstemningsområder_750.000 kr.-;Husstandsindkomster fordelt på afstemningsområder_80%-percentil for husstandsindkomst;Husstandsindkomster fordelt på afstemningsområder_Antal husstande i alt;Husstandsindkomster fordelt på afstemningsområder_Bruttoindkomst for de 20%, der tjener mest;Husstandsindkomster fordelt på afstemningsområder_Bruttoindkomst for de 50%, der tjener mest;Husstandsindkomster fordelt på afstemningsområder_Husstandenes formuesum;Husstandsindkomster fordelt på afstemningsområder_Husstandenes indkomstbruttosum;Husstandsindkomster fordelt på afstemningsområder_Sum af formue for de 20%, der tjener mest;Husstandsindkomster fordelt på afstemningsområder_Sum af formue for de 50%, der tjener mest;Husstandsindkomster fordelt på afstemningsområder_Under 100.000 kr.
2015;101001;101001;1;1;1;0,041090039;0,697420126;83,70579619;0,144020038;307674,2602;431751,3591;647888;1068;774;672;375;7;279;1511;318;213;12246;96;17559;204;4816;3103;960;344;131;24;230;6838;6550;2435;1012;446;48;3;43;9492;0;0;44;-;11;108;17318;0;0;122;-;1380;3284;1075;1;3603;239;-;2746;6173;1693;5;6536;406;-;993;854;1502;1581;1070;351273;1626;1331;647888;9513;-;-;2926905237;4107250679;-;-;556
2015;101002;101002;1;1;1;0,03920402;0,634933228;88,9856329;0,236269174;930278,3791;462669,8207;6473305;382;265;240;211;3;128;1207;180;106;4802;39;7563;164;1933;1102;371;236;231;5;246;2737;2192;930;594;858;6;208;78;3727;7;0;22;-;716;209;6508;7;0;123;-;955;1430;524;128;901;104;-;2053;2511;905;273;1626;195;-;499;403;686;630;406;328434;599;604;6473305;4060;-;-;3776930219;1878439472;-;-;233
2015;101003;101003;1;1;1;0,038398346;0,708713165;91,01405318;0,157251137;423562,6797;462381,6227;1391748;1099;695;816;350;13;261;1574;312;261;13372;115;18868;484;3755;3537;1321;537;257;4;569;5229;7290;3466;1444;865;5;18;7;9576;261;0;33;-;70;15;18416;276;0;91;-;1556;3946;378;87;3697;231;-;3469;7856;575;158;6421;389;-;1095;812;1412;1467;1032;728901;1668;1683;1391748;9813;-;-;4156420576;4537350864;-;-;644
2015;101005;101005;1;1;1;0,042122696;0,637456797;75,597895;0,135816546;241680,5922;376664,5243;572478;810;627;504;360;11;282;1765;383;203;8853;90;13888;606;3890;2829;343;177;41;7;673;5590;5957;940;579;138;11;6;119;7588;157;1;22;-;14;427;13237;168;4;38;-;1072;3364;1026;0;2258;173;-;2187;6224;1698;0;3516;263;-;1252;825;1350;1308;796;308283;1277;770;572478;8051;-;-;1945770448;3032526085;-;-;473
2015;101006;101006;1;1;1;0,048786548;0,637206991;75,11392405;0,174501636;402645,3381;393325,3429;5922115;783;544;420;395;7;263;1360;373;167;7693;68;12073;293;3815;1977;557;63;10;7;325;5612;4220;1621;208;51;36;13;353;6259;82;1;14;-;38;1054;10830;85;2;64;-;1173;2538;889;3;1955;164;-;2467;4740;1546;21;2995;304;-;1008;705;1120;1035;712;315747;1052;751;5922115;6725;-;-;2707789899;2645112931;-;-;342
2015;101007;101007;2;1;1;0,047604491;0,592152068;79,64253898;0,27326358;515870,0495;399605,5274;618742;952;911;465;761;16;442;2446;850;339;10654;156;17992;684;4009;3284;711;213;79;4;740;5994;8181;2060;680;331;6;1503;622;6667;158;4;30;-;4013;1932;11800;188;4;55;-;2455;1768;2919;168;1494;180;-;6187;2980;5592;198;2737;298;-;1413;1009;1482;1351;835;3152805;1416;1119;618742;8974;-;-;4629417824;3586060003;-;-;349
2015;101008;101008;2;1;1;0,054926848;0,627610354;71,52605882;0,081574767;96263,40007;350907,0763;516947;1030;742;436;727;20;484;1532;663;201;10038;121;15994;789;4764;2691;452;98;13;7;868;7380;6076;1144;274;216;36;4;33;8275;481;0;21;-;11;84;15075;573;0;251;-;719;3117;1873;26;2892;187;-;1342;5451;3893;183;4807;318;-;1313;988;1565;1528;940;296135;1273;600;516947;8811;-;-;848176818;3091842249;-;-;604
2015;101009;101009;2;1;1;0,034234805;0,743216353;76,76646148;0,331655481;415894,994;408621,32;684156;500;397;543;257;6;208;504;289;83;8217;52;11056;1163;1213;2486;423;58;18;3;1385;1916;6134;1187;208;221;5;934;297;2806;1310;7;10;-;2430;819;6054;1581;18;154;-;1779;132;296;98;2809;250;-;4364;309;840;344;4775;424;-;728;371;531;488;454;332120;1026;780;684156;5159;-;-;2145602274;2108077390;-;-;781
2015;101010;101010;2;1;1;0,042408377;0,684816754;84,63854411;0,158485508;208085,4326;487014,6556;733028;732;459;682;240;9;210;858;233;129;7848;60;11460;74;2621;2513;697;52;5;7;121;3827;5442;1859;138;15;58;2;0;5888;70;1;8;-;8;0;11280;110;2;60;-;946;2782;0;2;2072;167;-;1955;5276;0;4;3909;316;-;569;396;785;923;661;3980065;1159;1107;733028;5886;-;-;1224790856;2866568263;-;-;286
2015;101011;101011;3;1;1;0,054484194;0,686728184;95,19419346;0,16509804;657328,9479;469821,5117;1010464,2;940,66;561,82;515,11;1102,19;14,36;493,76;1573,33;417,28;186,65;12874,21;67,8;18747,19;361,78;2742,15;2639,36;1146,91;501,04;318,34;28,62;489,08;4046,63;5040,39;2685,6;1196,02;952,41;4337,06;5,82;5,72;7418,99;203,16;1,91;102,6;-;8,63;9,09;13953,08;273,57;5,72;4497,1;-;1277,56;2347,61;168,02;39,26;3649,02;256,72;-;2361,36;4539,89;268,31;78,8;6795,07;4703,76;-;731,56;608,58;1053,96;1100,79;879,79;538172,98;1310,91;1307,97;1010464,2;7636,03;-;-;5019383566;3587571158;-;-;642,46
2015;101012;101012;3;1;1;0,033441898;0,710247761;112,2196146;0,260064213;1322753,454;568102,8374;838287;447;253;276;128;6;76;1059;104;107;6106;35;8597;100;1041;1202;959;346;400;1;181;1525;2416;2500;915;1059;1;4;418;3615;1;0;11;-;8;1186;7293;61;0;49;-;1053;925;244;2;1731;94;-;2607;1787;508;2;3492;201;-;297;279;540;510;407;428489;714;1021;838287;4041;-;-;5345246707;2295703566;-;-;273
2015;101013;101013;3;1;1;0,044805936;0,652302131;84,32027442;0,194883638;636159,8717;451898,8792;674244;654;394;315;288;5;208;1213;319;194;6857;65;10512;275;2323;2267;394;163;117;90;382;3470;4762;972;376;316;234;158;105;5092;151;10;113;-;294;240;9407;243;16;312;-;1097;1419;666;343;1873;231;-;2034;2747;1438;660;3153;480;-;707;502;778;790;596;351046;924;907;674244;5613;-;-;3570765360;2536508409;-;-;409
2015;101014;101014;3;1;1;0,031800181;0,70721272;91,83275897;0,142313011;767685,6884;486894,1315;1082012,8;678,34;500,18;398,89;208,81;7,64;176,24;1674,67;208,72;187,35;9864,79;43,2;13948,81;754,22;2689,85;2169,64;964,09;518,96;424,66;21,38;1029,92;3909,37;4160,61;2243,4;1280,98;1287,59;36,94;5,18;56,28;7160,01;243,84;3,09;74,4;-;9,37;129,91;13336,92;304,43;5,28;162,9;-;1073,44;1778,39;540,98;554,74;3329,98;265,28;-;2004,64;3405,11;858,69;1014,2;6254,93;411,24;-;735,44;613,42;1074,04;1030,21;815,21;556863,02;1241,09;1333,03;1082012,8;7532,97;-;-;5782953260;3667758886;-;-;690,54
2015;101016;101016;4;1;1;0,053237095;0,611636045;67,37518685;0,148812192;145836,8005;346828,0652;514795;749;539;382;468;7;312;1371;420;112;6991;79;11430;343;4577;1446;268;47;9;3;396;6694;3338;801;163;29;9;40;55;6465;124;0;9;-;128;180;10965;140;0;17;-;996;2298;918;0;2344;137;-;2088;3755;1721;0;3652;214;-;1258;689;1213;1127;626;285172;924;485;514795;6701;-;-;977252400;2324094865;-;-;379
2015;101017;101017;4;1;1;0,053393691;0,665017151;67,05454365;0,134118579;78848,58969;342795,0612;505428;1242;826;569;657;15;469;1343;518;219;11826;99;17783;644;6771;2217;360;80;30;1;745;10809;4921;958;227;122;1;11;18;9027;1024;3;20;-;56;63;16044;1579;9;32;-;1355;4002;1135;92;3297;222;-;2322;6846;2297;201;5775;342;-;1461;1060;1838;1780;1126;296159;1458;619;505428;10129;-;-;798657365;3472171175;-;-;787
2015;101018;101018;4;1;1;0,046767804;0,644506716;71,4684466;0,285441941;431831,6089;394433,4362;583560;632;552;320;336;9;286;1086;224;165;6670;69;10349;111;3972;1201;390;78;16;2;134;5971;2780;1148;269;45;2;588;139;5034;0;0;9;-;1754;377;8207;0;0;11;-;1647;2426;472;1;1096;128;-;3661;3970;723;2;1795;198;-;706;549;1067;1082;635;327316;935;570;583560;5773;-;-;2492963878;2277064227;-;-;229
2015;101019;101019;4;1;1;0,036756453;0,669659559;79,6563214;0,453127971;896554,6058;457325,738;711249;549;511;381;237;8;177;1155;266;180;7160;68;10692;386;2528;1594;548;149;47;7;455;3915;3999;1614;501;186;22;1147;359;3605;113;18;17;-;3329;926;6227;125;43;42;-;2383;1180;467;9;1107;113;-;5830;1957;952;22;1725;206;-;617;442;820;753;561;369648;937;910;711249;5236;-;-;4694359916;2394557564;-;-;196
2015;101020;101020;5;1;1;0,060075651;0,663502188;62,4844358;0,02930118;-20678,83355;299243,6036;4550085;883;563;431;737;14;418;814;520;90;8946;67;13483;1316;4418;1645;288;39;4;3;1460;6969;4054;883;98;13;6;1;2;6465;1237;0;8;-;2;4;12113;1345;0;19;-;226;2931;1402;388;2569;197;-;441;5357;2892;426;4079;288;-;1654;866;1250;1104;683;2351965;891;378;4550085;7720;-;-;-159640595;2310160620;-;-;894
2015;101021;101021;5;1;1;0,062427685;0,673082991;71,38086737;0,091327545;10654,54959;330737,9939;481414;1187;786;570;1187;15;590;1003;697;107;12798;74;19014;317;5783;3148;222;45;8;36;361;8811;9035;594;150;27;36;1;2;9463;45;0;48;-;2;7;18898;52;0;55;-;873;3363;1833;19;3224;247;-;1500;5764;4744;19;6607;380;-;1443;1040;1904;1717;1070;2883685;1263;471;481414;9518;-;-;101410003;3147964226;-;-;610
2015;101022;101022;5;1;1;0,055436465;0,659402167;86,46523798;0,090614887;200248,703;392287,2522;582215;534;362;237;397;7;208;598;359;113;5537;45;8397;112;1762;1463;504;137;35;4;253;2827;3592;1231;373;117;4;1;0;3989;0;1;26;-;1;0;8244;0;2;150;-;364;1282;715;118;1458;80;-;722;2496;1847;123;3090;119;-;511;478;586;648;451;3275765;691;405;582215;4024;-;-;805800781;1578563903;-;-;254
2015;101023;101023;5;1;1;0,049440442;0,660738924;80,64234621;0,076725613;174244,3495;385555,1472;585999;477;241;227;168;4;149;717;163;45;4310;22;6523;211;1671;1186;248;136;43;11;233;2439;2578;695;431;133;14;3;2;3477;0;0;24;-;5;5;6471;0;0;42;-;269;1411;192;363;1194;77;-;575;2762;454;373;2255;104;-;605;319;521;524;372;314189;537;387;585999;3479;-;-;606196092;1341346357;-;-;214
2015;101024;101024;5;1;1;0,061659561;0,663168252;75,00211327;0,032544379;-68765,96151;360916,1286;538159;697;417;374;431;7;253;477;269;107;6066;49;9147;143;2707;1557;276;39;10;0;166;4221;3761;836;121;42;0;2;0;4729;0;0;1;-;10;0;9128;0;0;9;-;154;2868;557;0;1069;84;-;302;5444;1249;0;2014;138;-;645;458;829;919;527;3165505;768;322;538159;4728;-;-;-325125466;1706411456;-;-;260
2015;101025;101025;5;1;1;0,06521215;0,643924783;69,19244962;0,086703562;-40361,84372;324411,3777;474275;988;542;442;635;15;391;841;429;87;8013;61;12444;155;4868;1712;261;42;8;1;181;7320;4040;748;124;30;1;4;0;7035;0;0;8;-;8;0;12416;0;0;20;-;611;3516;996;0;1761;163;-;1103;6237;1908;0;2954;242;-;1247;723;1294;1260;792;282709;904;332;474275;7058;-;-;-284873893;2289695504;-;-;506
2015;101026;101026;5;1;1;0,053364269;0,585717969;66,35037954;0,079105074;159618,0408;292805,1978;425356;304;125;97;110;2;85;740;118;17;2272;9;3879;49;1883;469;92;10;0;0;60;2457;1043;275;44;0;0;0;0;2495;0;0;8;-;0;0;3869;0;0;10;-;198;562;39;446;1189;69;-;321;1000;138;468;1871;81;-;721;294;461;335;191;216438;246;129;425356;2548;-;-;406706768;746067644;-;-;171
