year;valgstedid;voters;votes;a;b;c;v;vsnavn;komnavn;kredsnavn;kontanthjaelp;arbejd;boligstoer_kvm;ejer;formue;indkomst;indkomst_80pct
2005;101001;13404.14;11190.1;.1957498145682344;.2242026434080124;.1051197040240927;.1788884817830046;1. Østerbro;København;1. Østerbro;.0410900376737118;.6974201202392578;82.86388502;.156569093;307674.25;431751.34375;647888
2007;101001;12737;11268;.2287007454739084;.1101348952786652;.1135960241391551;.1472310969116081;1. Østerbro;København;1. Østerbro;.0410900376737118;.6974201202392578;82.86382833;.156569129;307674.25;431751.34375;647888
2011;101001;13115;11855;.1650780261493041;.2023618726275833;.06343315056938;.1662589624630957;1. Østerbro;København;1. Østerbro;.0410900376737118;.6974201202392578;83.70579619;.144020038;307674.25;431751.34375;647888
2015;101001;13452;11847;.2142314510002532;.1198615683295349;.0329197265130413;.1204524352156664;1. Østerbro;København;1. Østerbro;.0410900376737118;.6974201202392578;83.70579619;.144020038;307674.25;431751.34375;647888
2005;101002;5657;4696;.1686541737649063;.1765332197614992;.1409710391822828;.2370102214650767;1. Nord;København;1. Østerbro;.0392040200531483;.6349332332611084;87.75599129;.237472767;930278.375;462669.8125;6473305
2007;101002;5493;4718;.2170411191182705;.1044934294192454;.142433234421365;.1763459092835948;1. Nord;København;1. Østerbro;.0392040200531483;.6349332332611084;87.75599129;.237472767;930278.375;462669.8125;6473305
2011;101002;5509;4848;.1697607260726073;.1848184818481848;.0790016501650165;.2035891089108911;1. Nord;København;1. Østerbro;.0392040200531483;.6349332332611084;88.9856329;.236269174;930278.375;462669.8125;6473305
2015;101002;5695;4890;.2202453987730061;.1063394683026585;.0478527607361963;.1368098159509202;1. Nord;København;1. Østerbro;.0392040200531483;.6349332332611084;88.9856329;.236269174;930278.375;462669.8125;6473305
2005;101003;14821.75;12640.11;.1940695136355617;.214561423911659;.1125567736356725;.1819683531235092;1. Syd;København;1. Østerbro;.0383983477950096;.708713173866272;89.09427682000001;.136287062;423562.6875;462381.625;1391748
2007;101003;13107;11713;.2169384444634167;.1135490480662512;.1201229403227184;.1405276188849996;1. Syd;København;1. Østerbro;.0383983477950096;.708713173866272;89.01220626999999;.13610773;423562.6875;462381.625;1391748
2011;101003;13737;12465;.1523465703971119;.215002005615724;.0669073405535499;.1653429602888087;1. Syd;København;1. Østerbro;.0383983477950096;.708713173866272;91.01405318000001;.157251137;423562.6875;462381.625;1391748
2015;101003;14173;12677;.2145618048434172;.1198233020430701;.032815334858405;.114222607872525;1. Syd;København;1. Østerbro;.0383983477950096;.708713173866272;91.01405318000001;.157251137;423562.6875;462381.625;1391748
2005;101005;12536.32;9948.34;.2278711825289445;.1795415114481411;.0862314717832322;.1732248797286783;1. Vest;København;1. Østerbro;.042122695595026;.6374567747116089;71.19324542;.107512747;241680.59375;376664.53125;572478
