"year","valgstedid","voters","votes","a","b","c","v","vsnavn","komnavn","kredsnavn","kontanthjaelp","arbejd","boligstoer_kvm","ejer","formue","indkomst","indkomst_80pct"
2005,"101001",13404.14,11190.1,0.1957498146,0.2242026434,0.105119704,0.1788884818,"1. Østerbro","København","1. Østerbro",0.0410900377,0.6974201202,82.86388502,0.156569093,307674.25,431751.34375,647888
2007,"101001",12737,11268,0.2287007455,0.1101348953,0.1135960241,0.1472310969,"1. Østerbro","København","1. Østerbro",0.0410900377,0.6974201202,82.86382833,0.156569129,307674.25,431751.34375,647888
2011,"101001",13115,11855,0.1650780261,0.2023618726,0.0634331506,0.1662589625,"1. Østerbro","København","1. Østerbro",0.0410900377,0.6974201202,83.70579619,0.144020038,307674.25,431751.34375,647888
2015,"101001",13452,11847,0.214231451,0.1198615683,0.0329197265,0.1204524352,"1. Østerbro","København","1. Østerbro",0.0410900377,0.6974201202,83.70579619,0.144020038,307674.25,431751.34375,647888
2005,"101002",5657,4696,0.1686541738,0.1765332198,0.1409710392,0.2370102215,"1. Nord","København","1. Østerbro",0.0392040201,0.6349332333,87.75599129,0.237472767,930278.375,462669.8125,6473305
2007,"101002",5493,4718,0.2170411191,0.1044934294,0.1424332344,0.1763459093,"1. Nord","København","1. Østerbro",0.0392040201,0.6349332333,87.75599129,0.237472767,930278.375,462669.8125,6473305
2011,"101002",5509,4848,0.1697607261,0.1848184818,0.0790016502,0.2035891089,"1. Nord","København","1. Østerbro",0.0392040201,0.6349332333,88.9856329,0.236269174,930278.375,462669.8125,6473305
2015,"101002",5695,4890,0.2202453988,0.1063394683,0.0478527607,0.136809816,"1. Nord","København","1. Østerbro",0.0392040201,0.6349332333,88.9856329,0.236269174,930278.375,462669.8125,6473305
2005,"101003",14821.75,12640.11,0.1940695136,0.2145614239,0.1125567736,0.1819683531,"1. Syd","København","1. Østerbro",0.0383983478,0.7087131739,89.09427682,0.136287062,423562.6875,462381.625,1391748
2007,"101003",13107,11713,0.2169384445,0.1135490481,0.1201229403,0.1405276189,"1. Syd","København","1. Østerbro",0.0383983478,0.7087131739,89.01220627,0.13610773,423562.6875,462381.625,1391748
2011,"101003",13737,12465,0.1523465704,0.2150020056,0.0669073406,0.1653429603,"1. Syd","København","1. Østerbro",0.0383983478,0.7087131739,91.01405318,0.157251137,423562.6875,462381.625,1391748
2015,"101003",14173,12677,0.2145618048,0.119823302,0.0328153349,0.1142226079,"1. Syd","København","1. Østerbro",0.0383983478,0.7087131739,91.01405318,0.157251137,423562.6875,462381.625,1391748
2005,"101005",12536.32,9948.34,0.2278711825,0.1795415114,0.0862314718,0.1732248797,"1. Vest","København","1. Østerbro",0.0421226956,0.6374567747,71.19324542,0.107512747,241680.59375,376664.53125,572478
2007,"101005",10637,8922,0.2586863932,0.0950459538,0.106926698,0.1322573414,"1. Vest","København","1. Østerbro",0.0421226956,0.6374567747,71.19313656,0.107512722,241680.59375,376664.53125,572478
2011,"101005",10405,9025,0.2028808864,0.1688642659,0.0488642659,0.1533518006,"1. Vest","København","1. Østerbro",0.0421226956,0.6374567747,75.597895,0.135816546,241680.59375,376664.53125,572478
2015,"101005",10805,9126,0.2395353934,0.0948937103,0.0305719921,0.1026736796,"1. Vest","København","1. Østerbro",0.0421226956,0.6374567747,75.597895,0.135816546,241680.59375,376664.53125,572478
2005,"101006",9231,7544,0.2161983033,0.1888918346,0.1016702015,0.1810710498,"1. Nordvest","København","1. Østerbro",0.048786547,0.6372069716,73.42694994,0.176222352,402645.34375,393325.34375,5922115
2007,"101006",8835,7593,0.25786909,0.0965362834,0.1054919004,0.144738575,"1. Nordvest","København","1. Østerbro",0.048786547,0.6372069716,73.42694994,0.176222352,402645.34375,393325.34375,5922115
2011,"101006",9027,7901,0.207948361,0.175041134,0.058979876,0.1571952917,"1. Nordvest","København","1. Østerbro",0.048786547,0.6372069716,75.11392405,0.174501636,402645.34375,393325.34375,5922115
2015,"101006",9509,8208,0.2574317739,0.0922270955,0.0270467836,0.1045321637,"1. Nordvest","København","1. Østerbro",0.048786547,0.6372069716,75.11392405,0.174501636,402645.34375,393325.34375,5922115
2005,"101007",12989.1,9757.63,0.3100384007,0.109062344,0.0556272374,0.1704717232,"2. Sundbyvester","København","2. Sundbyvester",0.0476044901,0.5921520591,77.029881,0.255538059,515870.0625,399605.53125,618742
2007,"101007",12415,9918,0.2782819117,0.0612018552,0.0697721315,0.1328896955,"2. Sundbyvester","København","2. Sundbyvester",0.0476044901,0.5921520591,77.02994593,0.255538571,515870.0625,399605.53125,618742
2011,"101007",12775,10486,0.2353614343,0.1131985504,0.0378600038,0.1407591074,"2. Sundbyvester","København","2. Sundbyvester",0.0476044901,0.5921520591,79.64253898,0.27326358,515870.0625,399605.53125,618742
2015,"101007",12822,10173,0.2578393787,0.0629116288,0.0216258724,0.0916150595,"2. Sundbyvester","København","2. Sundbyvester",0.0476044901,0.5921520591,79.64253898,0.27326358,515870.0625,399605.53125,618742
2005,"101008",9640.99,7507.16,0.2715687424,0.1554662482,0.0692085955,0.1562574928,"2. Nord","København","2. Sundbyvester",0.0549268462,0.6276103258,70.86769782,0.093797621,96263.3984375,350907.0625,516947
2007,"101008",11475,9294,0.262965354,0.0854314612,0.0740262535,0.1134064988,"2. Nord","København","2. Sundbyvester",0.0549268462,0.6276103258,70.82973298,0.09280334,96263.3984375,350907.0625,516947
2011,"101008",11895,9934,0.1973021945,0.1622709885,0.0364405073,0.1253271593,"2. Nord","København","2. Sundbyvester",0.0549268462,0.6276103258,71.52605882,0.081574767,96263.3984375,350907.0625,516947
2015,"101008",12499,10079,0.2223434865,0.0861196547,0.0183549955,0.087310249,"2. Nord","København","2. Sundbyvester",0.0549268462,0.6276103258,71.52605882,0.081574767,96263.3984375,350907.0625,516947
