"ValgId";"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"Boligstørrelse_Antal boliger_000-039";"Boligstørrelse_Antal boliger_040-079";"Boligstørrelse_Antal boliger_080-119";"Boligstørrelse_Antal boliger_120-159";"Boligstørrelse_Antal boliger_160-199";"Boligstørrelse_Antal boliger_200-";"Boligstørrelse_Antal boliger_Ingen BBR";"Boligstørrelse_Antal personer_000-039";"Boligstørrelse_Antal personer_040-079";"Boligstørrelse_Antal personer_080-119";"Boligstørrelse_Antal personer_120-159";"Boligstørrelse_Antal personer_160-199";"Boligstørrelse_Antal personer_200-";"Boligstørrelse_Antal personer_Ingen BBR";"Boligtype_Antal boliger_01. Stuehuse og parcelhuse";"Boligtype_Antal boliger_02. Række- og kædehuse";"Boligtype_Antal boliger_03. Flerfamiliehuse";"Boligtype_Antal boliger_04. Kollegier";"Boligtype_Antal boliger_05. Sommerhuse";"Boligtype_Antal boliger_06. Øvrige boliger";"Boligtype_Antal boliger_07. Ingen BBR-oplysninger";"Boligtype_Antal personer_01. Stuehuse og parcelhuse";"Boligtype_Antal personer_02. Række- og kædehuse";"Boligtype_Antal personer_03. Flerfamiliehuse";"Boligtype_Antal personer_04. Kollegier";"Boligtype_Antal personer_05. Sommerhuse";"Boligtype_Antal personer_06. Øvrige boliger";"Boligtype_Antal personer_07. Ingen BBR-oplysninger";"Ejerforhold_Antal boliger_01. Ejerbolig";"Ejerforhold_Antal boliger_02. Andelsbolig";"Ejerforhold_Antal boliger_03. Almennyttig bolig";"Ejerforhold_Antal boliger_04. Lejer i offentligt ejet";"Ejerforhold_Antal boliger_05. Privat lejerbolig";"Ejerforhold_Antal boliger_06. Øvrige beboede boliger";"Ejerforhold_Antal boliger_07. Ingen BBR-oplysninger";"Ejerforhold_Antal personer_01. Ejerbolig";"Ejerforhold_Antal personer_02. Andelsbolig";"Ejerforhold_Antal personer_03. Almennyttig bolig";"Ejerforhold_Antal personer_04. Lejer i offentligt ejet";"Ejerforhold_Antal personer_05. Privat lejerbolig";"Ejerforhold_Antal personer_06. Øvrige beboede boliger";"Ejerforhold_Antal personer_07. Ingen BBR-oplysninger"
"195";"101001";"101001";"6";"2";"1";"370";"3991";"1911";"534";"55";"11";"2";"408";"5904";"4046";"1558";"165";"54";"3";"14";"355";"6412";"79";"-";"12";"2";"36";"1106";"10866";"85";"-";"42";"3";"1211";"2358";"1299";"7";"1457";"540";"2";"2572";"4018";"2163";"28";"2527";"827";"3"
"195";"101002";"101002";"6";"2";"1";"102";"2103";"817";"81";"29";"19";"-";"139";"3104";"1818";"208";"90";"53";"-";"129";"392";"2530";"88";"11";"1";"-";"365";"855";"4056";"104";"31";"1";"-";"271";"533";"2102";"4";"201";"40";"-";"631";"849";"3485";"9";"358";"80";"-"
"195";"101003";"101003";"6";"2";"1";"971";"7036";"4116";"329";"169";"38";"93";"1039";"10146";"10065";"878";"561";"124";"93";"7";"109";"12308";"228";"-";"7";"93";"22";"391";"22138";"242";"-";"20";"93";"1361";"4630";"3073";"2";"2835";"758";"93";"2562";"8175";"6798";"5";"4012";"1261";"93"
"195";"101004";"101004";"1";"1";"1";"216";"2289";"2078";"317";"140";"61";"42";"302";"3329";"4347";"728";"331";"982";"116";"7";"33";"4900";"149";"-";"12";"42";"18";"79";"9628";"240";"-";"54";"116";"1097";"1468";"678";"4";"1043";"811";"42";"1962";"2740";"1513";"844";"1745";"1215";"116"
"195";"101005";"101005";"1";"1";"1";"1160";"613";"624";"221";"44";"13";"6";"1338";"1160";"1605";"612";"149";"212";"43";"925";"248";"614";"862";"20";"6";"6";"2278";"694";"931";"964";"36";"173";"43";"1005";"-";"79";"7";"1410";"174";"6";"2466";"-";"168";"177";"1784";"481";"43"
"195";"101006";"101006";"1";"1";"1";"826";"4536";"2606";"370";"83";"15";"6";"890";"6977";"5944";"874";"221";"192";"35";"4";"33";"7891";"490";"1";"17";"6";"11";"84";"14246";"568";"1";"188";"35";"741";"3055";"1842";"33";"2091";"674";"6";"1268";"5120";"3924";"166";"3194";"1426";"35"
"195";"101007";"101007";"1";"1";"1";"81";"2786";"1199";"352";"30";"3";"7";"119";"4143";"2490";"856";"76";"8";"15";"1";"-";"4370";"77";"-";"3";"7";"2";"-";"7566";"113";"-";"11";"15";"301";"2898";"-";"78";"672";"502";"7";"538";"5022";"-";"115";"1191";"826";"15"
"195";"101008";"101008";"2";"1";"1";"272";"2027";"1763";"747";"358";"240";"11";"354";"2985";"3347";"1686";"811";"696";"3600";"3";"3";"5282";"79";"-";"40";"11";"7";"7";"9654";"115";"-";"96";"3600";"794";"1901";"46";"35";"2016";"615";"11";"1395";"3564";"100";"66";"3698";"1056";"3600"
"195";"101009";"101009";"2";"1";"1";"492";"1877";"1274";"572";"339";"317";"3";"732";"2724";"2421";"1252";"780";"828";"7";"2";"48";"4784";"13";"-";"24";"3";"2";"116";"8524";"16";"-";"79";"7";"639";"1176";"397";"726";"1302";"631";"3";"1091";"2162";"637";"1288";"2539";"1020";"7"
"195";"101010";"101010";"2";"1";"1";"389";"1893";"1674";"576";"264";"194";"1";"440";"2643";"2971";"1278";"598";"497";"1";"4";"6";"4639";"311";"1";"29";"1";"7";"13";"8009";"344";"2";"52";"1";"868";"909";"280";"35";"2183";"715";"1";"1582";"1684";"384";"70";"3558";"1149";"1"
