valgstedid;voters;votes;a;b;c;v;year;vsnavn;komnavn;kredsnavn;kontanthjaelp;arbejd;boligstoer_kvm;ejer;formue;indkomst;indkomst_80pct;_merge
151001;4647;3971;2083;96;194;582;2011;Tapeten;Ballerup;3. Ballerup;.032645769;.560500244;93.38020833;.219428178;548393.7434;405182.9385;623523;3
151002;7011;5855;2936;165;319;896;2011;Rugvængets Skole;Ballerup;3. Ballerup;.038936885;.493760499;78.93645485;.189128982;457684.655;365492.9755;545623;3
151003;2662;2422;959;101;271;536;2011;Højagerskolen;Ballerup;3. Ballerup;.017405494;.637748164;110.9223962;.441797141;1222839.532;569163.2023;858559;3
151004;3105;2602;1398;61;124;348;2011;Grantoftehallen;Ballerup;3. Ballerup;.041470311;.587181904;93.90381515;.114868492;230133.0146;402159.7289;626353;3
151005;3800;3544;1323;142;377;866;2011;Rosenlundskolen;Ballerup;3. Ballerup;.017364658;.661082737;120.7447368;.891472868;2087405.886;633521.429;906097;3
151006;4454;3741;2026;83;132;433;2011;Lundebjergskolen;Ballerup;3. Ballerup;.035921766;.451394268;79.77712509;.008632597;199228.8339;329719.2754;485628;3
151007;1601;1443;511;65;159;285;2011;Skovlunde lokalkontor;Ballerup;3. Ballerup;.021748311;.682432432;98.57354393;.68503937;1426613.999;527319.2691;830361;3
151008;3138;2785;1092;137;268;630;2011;Måløvhallen;Ballerup;3. Ballerup;.027985075;.657835821;105.1193694;.552608311;1300229.921;577301.1263;857010;3
151009;3362;3072;956;162;432;756;2011;Egebjerghallen;Ballerup;3. Ballerup;.019815668;.644930876;109.2337263;.579324463;1579352.573;584532.3537;8868875;3
151010;1896;1708;572;96;143;352;2011;Østerhøjhallen;Ballerup;3. Ballerup;.024574366;.692579505;106.0578512;.396366639;1024921.155;577342.4967;834592;3
153001;3392;3054;1302;95;230;643;2011;Brøndbyvester Skole;Brøndby;7. Hvidovre;.023533503;.608856944;106.098546;.722431415;1283233.383;532681.2333;780156;3
153002;3583;2939;1360;71;213;460;2011;Tjørnehøjskolen;Brøndby;7. Hvidovre;.038876147;.537155963;75.97204019;.233289646;437248.9679;392617.2487;606366;3
153003;3274;2786;1222;95;179;474;2011;Lindelundsskolen;Brøndby;7. Hvidovre;.037281258;.546284555;85.54421769;.172048193;466673.7614;405592.6262;604885;3
153004;2437;1918;986;89;95;200;2011;Nygårdsskolen/Kilden;Brøndby;7. Hvidovre;.038769147;.511725634;87.33574754;.186756337;500172.1949;387823.9262;1124901;3
153005;3780;3298;1504;136;252;542;2011;Nørregårdsskolen;Brøndby;7. Hvidovre;.041551949;.590928851;103.5307373;.301261261;553853.97;461001.7368;1388409;3
153006;4678;3652;1582;188;192;506;2011;Langbjergskolen;Brøndby;7. Hvidovre;;;;;;;;1
153007;5177;3981;1715;161;241;650;2011;Søholtskolen;Brøndby;7. Hvidovre;;;;;;;;1
155001;3262;2942;581;235;468;964;2011;Dragør;Dragør;8. Amager;.018320072;.637424986;122.0084553;.74089973;2811957.884;650343.2573000001;1032260.5;3
155002;3646;3275;631;177;631;1120;2011;St. Magleby;Dragør;8. Amager;;;;;;;;1
155003;3091;2842;864;149;370;769;2011;Vierdiget;Dragør;8. Amager;;;;;;;;1
157001;5488;4878;560;443;1605;1418;2011;Jægersborg;Gentofte;1. Gentofte;.018322148;.68590604;120.6780715;.622869538;3029761.628;767149.4203;1124447;3
157002;4552;4044;817;336;932;883;2011;Munkegård;Gentofte;1. Gentofte;.025751786;.6736999500000001;89.90820921;.622452504;1763569.43;537978.4843;825601;3
157003;5023;4336;519;484;1378;1159;2011;Rådhuset;Gentofte;1. Gentofte;.018027497;.7265712680000001;127.6386861;.594545455;2745330.989;810625.9967;1169629;3
157004;5633;4560;953;343;1038;993;2011;Bakkegård;Gentofte;1. Gentofte;.03670783;.632243181;85.42966534;.432952328;1193209.284;485423.3198;769888;3
157005;5204;4290;562;436;1227;1171;2011;Dyssegård;Gentofte;1. Gentofte;.024125452;.752177992;115.800748;.711447811;2738917.125;736054.64;10915475;3
157006;5900;5031;481;571;1554;1520;2011;Maglegård;Gentofte;5. Hellerup;.015122754;.703872437;128.28315;.564991334;3480193.443;829042.9444;1133796;3
157007;5818;4982;637;561;1306;1389;2011;Hellerup;Gentofte;5. Hellerup;.021519757;.699331307;119.1967926;.405237581;2298657.776;727065.8037000001;1032030;3
