ValgId;Gruppe;ValgstedId;KredsNr;StorKredsNr;LandsdelsNr;Stemmeberettigede;Afgivne stemmer;Blanke stemmer;Andre ugyldige stemmer;Gyldige stemmer;A. Socialdemokratiet;B. Det Radikale Venstre;C. Det Konservative Folkeparti;D. Centrum-Demokraterne;F. SF - Socialistisk Folkeparti;K. Kristendemokraterne;I. Liberal Alliance;O. Dansk Folkeparti;V. Venstre, Danmarks Liberale Parti;M. Minoritetspartiet;Y. Ny Alliance;Ø. Enhedslisten - De Rød-Grønne;1. Uden for partierne;Å. Alternativet;2. Uden for partierne;3. Uden for partierne;4. Uden for partierne;5. Uden for partierne;6. Uden for partierne
2015;101001;101001;1;1;1;13452;11847;62;38;11747;2538;1420;390;-;747;50;1430;775;1427;-;-;1636;7;1324;0;2;1;-;-
2015;101002;101002;1;1;1;5695;4890;33;11;4846;1077;520;234;-;240;12;591;505;669;-;-;551;3;443;0;1;0;-;-
2015;101003;101003;1;1;1;14173;12677;78;32;12567;2720;1519;416;-;817;50;1446;790;1448;-;-;1797;15;1545;0;4;0;-;-
2015;101005;101005;1;1;1;10805;9126;76;35;9015;2186;866;279;-;622;50;829;933;937;-;-;1347;10;952;0;3;1;-;-
2015;101006;101006;1;1;1;9509;8208;63;26;8119;2113;757;222;-;495;23;819;847;858;-;-;1112;8;860;0;4;1;-;-
2015;101007;101007;2;1;1;12822;10173;99;71;10003;2623;640;220;-;645;45;578;1789;932;-;-;1693;18;813;1;4;2;-;-
2015;101008;101008;2;1;1;12499;10079;86;42;9951;2241;868;185;-;738;47;759;1146;880;-;-;1847;16;1212;0;3;9;-;-
2015;101009;101009;2;1;1;9229;7854;68;22;7764;1626;777;195;-;453;33;1016;776;934;-;-;1001;15;937;0;0;1;-;-
2015;101010;101010;2;1;1;9926;8874;74;20;8780;1733;1055;286;-;482;13;1187;689;1084;-;-;1185;7;1048;0;10;1;-;-
2015;101011;101011;3;1;1;14012;10848;86;40;10722;1948;1372;367;-;653;31;1309;531;1090;-;-;1802;12;1596;0;8;3;-;-
2015;101012;101012;3;1;1;6234;5672;37;15;5620;1154;732;240;-;381;8;666;339;704;-;-;748;1;644;0;2;1;-;-
2015;101013;101013;3;1;1;9107;8036;46;24;7966;1572;858;165;-;538;14;673;456;671;-;-;1752;11;1252;1;1;2;-;-
2015;101014;101014;3;1;1;11352;9809;52;46;9711;1888;1082;488;-;513;18;1492;618;1387;-;-;1193;8;1018;1;5;0;-;-
2015;101016;101016;4;1;1;8491;6852;73;42;6737;1548;547;143;-;461;21;533;983;625;-;-;1144;7;715;0;4;6;-;-
2015;101017;101017;4;1;1;14371;11827;117;47;11663;2424;1004;249;-;754;56;938;1389;1108;-;-;2192;26;1510;0;6;7;-;-
