"ValgId";"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"Stemmeberettigede";"Afgivne stemmer";"Blanke stemmer";"Andre ugyldige stemmer";"Gyldige stemmer";"A";"B";"C";"F";"D";"E";"J";"K";"Q";"G";"O";"H";"U";"V";"P";"Z";"Ø";"R";"Å";"L";"T";"M"
"181";"151001";"151001";"22";"4";"2";"4647";"3971";"179";"17";"3775";"2083";"96";"194";"237";"29";"4";"-";"7";"24";"-";"433";"-";"-";"582";"2";"10";"65";"-";"-";"2";"4";"3"
"181";"151002";"151002";"22";"4";"2";"7011";"5855";"291";"26";"5538";"2936";"165";"319";"377";"44";"4";"-";"12";"49";"-";"577";"-";"-";"896";"3";"16";"130";"-";"-";"1";"8";"1"
"181";"151003";"151003";"22";"4";"2";"2662";"2422";"89";"5";"2328";"959";"101";"271";"167";"35";"2";"-";"2";"24";"-";"182";"-";"-";"536";"1";"2";"46";"-";"-";"0";"0";"0"
"181";"151004";"151004";"22";"4";"2";"3105";"2602";"108";"15";"2479";"1398";"61";"124";"159";"25";"2";"-";"1";"8";"-";"262";"-";"-";"348";"4";"8";"66";"-";"-";"0";"12";"1"
"181";"151005";"151005";"22";"4";"2";"3800";"3544";"193";"8";"3343";"1323";"142";"377";"229";"35";"1";"-";"1";"49";"-";"244";"-";"-";"866";"1";"6";"68";"-";"-";"0";"1";"0"
"181";"151006";"151006";"22";"4";"2";"4454";"3741";"185";"22";"3534";"2026";"83";"132";"264";"12";"10";"-";"8";"27";"-";"420";"-";"-";"433";"8";"9";"96";"-";"-";"1";"4";"1"
"181";"151007";"151007";"22";"4";"2";"1601";"1443";"88";"5";"1350";"511";"65";"159";"88";"18";"0";"-";"2";"51";"-";"133";"-";"-";"285";"0";"1";"36";"-";"-";"0";"0";"1"
"181";"151008";"151008";"22";"4";"2";"3138";"2785";"113";"5";"2667";"1092";"137";"268";"206";"29";"2";"-";"2";"34";"-";"200";"-";"-";"630";"1";"4";"58";"-";"-";"0";"4";"0"
"181";"151009";"151009";"22";"4";"2";"3362";"3072";"136";"13";"2923";"956";"162";"432";"234";"85";"3";"-";"3";"35";"-";"174";"-";"-";"756";"2";"3";"75";"-";"-";"1";"0";"2"
"181";"151010";"151010";"22";"4";"2";"1896";"1708";"37";"4";"1667";"572";"96";"143";"248";"15";"1";"-";"0";"19";"-";"133";"-";"-";"352";"0";"3";"81";"-";"-";"2";"0";"2"
"181";"153001";"153001";"26";"4";"2";"3392";"3054";"130";"9";"2915";"1302";"95";"230";"214";"31";"4";"-";"8";"21";"-";"304";"-";"-";"643";"5";"11";"47";"-";"-";"0";"0";"0"
"181";"153002";"153002";"26";"4";"2";"3583";"2939";"155";"12";"2772";"1360";"71";"213";"216";"35";"3";"-";"15";"17";"-";"317";"-";"-";"460";"1";"11";"48";"-";"-";"0";"2";"3"
"181";"153003";"153003";"26";"4";"2";"3274";"2786";"128";"6";"2652";"1222";"95";"179";"240";"18";"8";"-";"9";"21";"-";"310";"-";"-";"474";"2";"3";"65";"-";"-";"1";"1";"4"
"181";"153004";"153004";"26";"4";"2";"2437";"1918";"72";"12";"1834";"986";"89";"95";"132";"19";"2";"-";"4";"19";"-";"230";"-";"-";"200";"0";"11";"45";"-";"-";"0";"0";"2"
"181";"153005";"153005";"26";"4";"2";"3780";"3298";"109";"8";"3181";"1504";"136";"252";"198";"24";"5";"-";"9";"29";"-";"362";"-";"-";"542";"1";"11";"103";"-";"-";"2";"1";"2"
"181";"153006";"153006";"26";"4";"2";"4678";"3652";"141";"41";"3470";"1582";"188";"192";"257";"118";"2";"-";"9";"16";"-";"455";"-";"-";"506";"0";"15";"119";"-";"-";"3";"6";"2"
"181";"153007";"153007";"26";"4";"2";"5177";"3981";"172";"26";"3783";"1715";"161";"241";"291";"68";"5";"-";"8";"33";"-";"393";"-";"-";"650";"4";"14";"173";"-";"-";"1";"24";"2"
"181";"155001";"155001";"27";"4";"2";"3262";"2942";"157";"14";"2771";"581";"235";"468";"211";"28";"7";"-";"8";"29";"-";"167";"-";"-";"964";"1";"10";"54";"-";"-";"1";"5";"2"
"181";"155002";"155002";"27";"4";"2";"3646";"3275";"162";"11";"3102";"631";"177";"631";"145";"37";"5";"-";"5";"26";"-";"278";"-";"-";"1120";"6";"13";"24";"-";"-";"2";"1";"1"
"181";"155003";"155003";"27";"4";"2";"3091";"2842";"152";"16";"2674";"864";"149";"370";"194";"32";"6";"-";"8";"23";"-";"199";"-";"-";"769";"4";"4";"43";"-";"-";"1";"4";"4"
"181";"157001";"157001";"20";"4";"2";"5488";"4878";"145";"25";"4708";"560";"443";"1605";"287";"56";"4";"-";"2";"70";"-";"172";"-";"-";"1418";"0";"3";"86";"-";"-";"1";"1";"0"
"181";"157002";"157002";"20";"4";"2";"4552";"4044";"169";"14";"3861";"817";"336";"932";"327";"83";"5";"-";"5";"59";"-";"277";"-";"-";"883";"3";"3";"126";"-";"-";"1";"1";"3"
"181";"157003";"157003";"20";"4";"2";"5023";"4336";"126";"13";"4197";"519";"484";"1378";"249";"59";"3";"-";"3";"59";"-";"149";"-";"-";"1159";"0";"11";"112";"-";"-";"7";"4";"1"
"181";"157004";"157004";"20";"4";"2";"5633";"4560";"230";"40";"4290";"953";"343";"1038";"317";"75";"7";"-";"4";"55";"-";"367";"-";"-";"993";"3";"10";"118";"-";"-";"2";"3";"2"
