type;area;v1;v2;v3;v4;v5;v6;v7;v8;zipy
Ejerlejligheder;1000 København K;26.643999;27.631001;30.466999;30.662001;28.413;29.549999;28.809;27.569;1000_11
Fritidshuse;1000 København K;0;0;0;0;0;0;0;0;1000_11
Parcel- og rækkehuse;1000 København K;0;0;0;0;0;0;0;0;1000_11
Ejerlejligheder;1000 København K;33.181;34.124001;35.509998;36.733002;36.622002;37.006001;39.779999;41.970001;1000_15
Fritidshuse;1000 København K;0;0;0;0;0;0;0;0;1000_15
Parcel- og rækkehuse;1000 København K;0;0;0;0;0;0;0;0;1000_15
Ejerlejligheder;1000 København K;22.806;21.503;22.631001;22.513;23.563;26.087999;26.488001;27.099001;1000_5
Fritidshuse;1000 København K;0;0;0;0;0;0;0;0;1000_5
Parcel- og rækkehuse;1000 København K;0;0;0;0;0;0;0;0;1000_5
Ejerlejligheder;1000 København K;36.125;37.844002;38.841999;36.740002;36.535;34.714001;33.976002;33.361;1000_7
Fritidshuse;1000 København K;0;0;0;0;0;0;0;0;1000_7
Parcel- og rækkehuse;1000 København K;0;0;0;0;0;0;0;0;1000_7
Ejerlejligheder;1500 København V;23.622999;24.788;25.445999;25.846001;25.766001;24.187;26.288;26.233999;1500_11
Fritidshuse;1500 København V;0;0;0;0;0;0;0;0;1500_11
Parcel- og rækkehuse;1500 København V;0;0;0;0;0;0;0;0;1500_11
Ejerlejligheder;1500 København V;30.406;32.140999;31.09;31.492001;33.219002;33.451;35.050999;37.021999;1500_15
Fritidshuse;1500 København V;0;0;0;0;0;0;0;0;1500_15
Parcel- og rækkehuse;1500 København V;0;0;0;0;0;0;0;0;1500_15
Ejerlejligheder;1500 København V;17.958;18.547001;18.386999;19.542;20.415001;21.556;22.594999;23.766001;1500_5
Fritidshuse;1500 København V;0;0;0;0;0;0;0;0;1500_5
Parcel- og rækkehuse;1500 København V;0;0;0;0;0;0;0;0;1500_5
Ejerlejligheder;1500 København V;30.93;33.164001;31.843;30.372;29.452999;28.740999;28.899;26.722;1500_7
Fritidshuse;1500 København V;0;0;0;0;0;0;0;0;1500_7
Parcel- og rækkehuse;1500 København V;0;0;0;0;0;0;0;0;1500_7
Ejerlejligheder;1800 Frederiksberg C;25.59;26.607;27.614;27.646;27.646999;28.988001;29.868999;27.290001;1800_11
Fritidshuse;1800 Frederiksberg C;0;0;0;0;0;0;0;0;1800_11
Parcel- og rækkehuse;1800 Frederiksberg C;0;0;0;0;0;0;0;0;1800_11
Ejerlejligheder;1800 Frederiksberg C;33.021;33.957001;34.255001;35.806;36.037998;36.686001;38.928001;41.164001;1800_15
Fritidshuse;1800 Frederiksberg C;0;0;0;0;0;0;0;0;1800_15
Parcel- og rækkehuse;1800 Frederiksberg C;0;0;0;0;31.065001;0;0;0;1800_15
Ejerlejligheder;1800 Frederiksberg C;17.766001;18.726999;18.361;19.145;20.136;21.016001;22.584;24.266001;1800_5
Fritidshuse;1800 Frederiksberg C;0;0;0;0;0;0;0;0;1800_5
Parcel- og rækkehuse;1800 Frederiksberg C;0;0;0;0;0;0;0;0;1800_5
Ejerlejligheder;1800 Frederiksberg C;32.972;34.27;34.084;32.771;32.403;30.795;30.884001;29.514999;1800_7
Fritidshuse;1800 Frederiksberg C;0;0;0;0;0;0;0;0;1800_7
Parcel- og rækkehuse;1800 Frederiksberg C;0;0;0;0;0;0;0;0;1800_7
Ejerlejligheder;2000 Frederiksberg;23.17;23.368;24.458;25.82;24.801001;26.181999;25.652;24.643999;2000_11
Fritidshuse;2000 Frederiksberg;0;0;0;0;0;0;0;0;2000_11
Parcel- og rækkehuse;2000 Frederiksberg;25.566;32.508999;33.459999;31.957001;35.140999;37.245998;38.408001;24.379999;2000_11
Ejerlejligheder;2000 Frederiksberg;28.17;28.871;29.915001;29.799;31.156;31.473;33.132;34.521;2000_15
Fritidshuse;2000 Frederiksberg;0;0;0;0;0;0;0;0;2000_15
Parcel- og rækkehuse;2000 Frederiksberg;30.433001;34.625999;37.922001;35.220001;38.82;38.240002;39.412998;42.382;2000_15
Ejerlejligheder;2000 Frederiksberg;17.908001;18.669001;18.337;18.826;19.684999;20.639;21.665001;23.264999;2000_5
Fritidshuse;2000 Frederiksberg;0;0;0;0;0;0;0;0;2000_5
Parcel- og rækkehuse;2000 Frederiksberg;18.125;17.358;20.559999;17.34;18.575001;22.247;25.59;26.492001;2000_5
Ejerlejligheder;2000 Frederiksberg;34.113998;34.813999;32.790001;31.219999;29.413;29.799;28.503;27.268999;2000_7
Fritidshuse;2000 Frederiksberg;0;0;0;0;0;0;0;0;2000_7
Parcel- og rækkehuse;2000 Frederiksberg;0;0;34.620998;29.657;31.802999;36.518002;30.993999;0;2000_7
Ejerlejligheder;2100 København Ø;23.856001;24.725;25.563;25.601;26.429001;26.066999;26.216999;24.826;2100_11
Fritidshuse;2100 København Ø;0;0;0;0;0;0;0;0;2100_11
Parcel- og rækkehuse;2100 København Ø;27.497999;26.226999;26.74;30.892;32.959999;32.200001;36.078999;37.624001;2100_11
