type;area;Q1_06;Q2_06;Q3_06;Q4_06;Q1_07;Q2_07;Q3_07;Q4_07
Parcel- og rækkehuse;1000 København K;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;1500 København V;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;1800 Frederiksberg C;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2000 Frederiksberg;0;0;34.621;29.657;31.803;36.518;30.994;0
Parcel- og rækkehuse;2100 København Ø;37.496;0;0;0;35.409;40.911;35.156;36.997
Parcel- og rækkehuse;2200 København N;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2300 København S;27.294;26.815;29.196;29.586;28.550;27.203;27.214;25.031
Parcel- og rækkehuse;2400 København NV;27.547;29.381;0;0;0;0;26.459;26.090
Parcel- og rækkehuse;2450 København SV;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2500 Valby;26.564;29.894;27.725;28.226;28.449;28.080;26.370;27.319
Parcel- og rækkehuse;2600 Glostrup;21.808;21.132;23.448;23.107;22.357;23.539;22.459;21.937
Parcel- og rækkehuse;2605 Brøndby;21.592;24.323;22.889;23.464;22.408;21.415;20.037;22.293
Parcel- og rækkehuse;2610 Rødovre;24.207;24.726;23.231;22.623;22.880;23.699;23.539;22.762
Parcel- og rækkehuse;2620 Albertslund;18.001;20.076;21.096;20.816;19.988;20.358;18.403;18.000
Parcel- og rækkehuse;2625 Vallensbæk;0;0;24.801;0;0;23.644;22.451;21.629
Parcel- og rækkehuse;2630 Taastrup;21.880;22.408;22.784;22.027;21.327;20.866;21.882;20.884
Parcel- og rækkehuse;2633 Returpost;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2635 Ishøj;20.693;21.252;21.517;20.207;21.913;20.811;21.119;20.152
Parcel- og rækkehuse;2640 Hedehusene;18.396;19.849;18.842;17.609;18.425;20.334;20.025;18.900
Parcel- og rækkehuse;2650 Hvidovre;23.355;23.962;24.295;22.998;23.086;24.026;22.306;22.690
Parcel- og rækkehuse;2660 Brøndby Strand;22.453;25.256;25.130;26.052;22.456;23.620;20.901;21.054
Parcel- og rækkehuse;2665 Vallensbæk Strand;24.034;24.818;25.257;0;0;23.469;23.814;24.318
Parcel- og rækkehuse;2670 Greve;22.266;22.442;22.270;23.563;21.730;21.437;21.907;20.004
Parcel- og rækkehuse;2680 Solrød Strand;21.500;24.804;27.406;25.900;25.734;25.499;23.077;22.557
Parcel- og rækkehuse;2690 Karlslunde;21.817;22.255;24.090;24.252;22.090;23.950;23.003;20.792
Parcel- og rækkehuse;2700 Brønshøj;27.946;26.635;25.807;28.022;26.226;25.947;25.882;24.242
Parcel- og rækkehuse;2720 Vanløse;25.107;28.171;27.501;27.383;25.044;27.493;26.238;25.864
Parcel- og rækkehuse;2730 Herlev;23.167;24.656;24.386;23.061;24.556;23.573;22.790;21.658
Parcel- og rækkehuse;2740 Skovlunde;23.298;23.341;23.280;22.664;24.550;23.520;23.326;21.445
Parcel- og rækkehuse;2750 Ballerup;21.268;23.046;24.858;20.402;22.692;24.529;23.095;22.472
Parcel- og rækkehuse;2760 Måløv;0;0;26.915;0;0;23.715;24.017;25.049
Parcel- og rækkehuse;2765 Smørum;22.151;25.863;23.088;24.313;25.541;22.208;21.100;21.724
Parcel- og rækkehuse;2770 Kastrup;24.824;26.406;25.251;24.585;23.277;24.093;23.695;23.842
Parcel- og rækkehuse;2791 Dragør;25.008;26.918;25.254;26.623;26.425;27.358;26.081;23.940
Parcel- og rækkehuse;2800 Kongens Lyngby;29.955;32.582;32.582;30.038;29.935;31.519;28.012;27.483
Parcel- og rækkehuse;2820 Gentofte;33.586;34.287;33.462;36.863;31.860;29.562;30.652;31.174
Parcel- og rækkehuse;2830 Virum;28.994;32.710;31.902;35.229;30.685;29.009;28.860;29.394
Parcel- og rækkehuse;2840 Holte;31.598;34.519;35.610;34.558;34.432;36.513;31.982;32.910
Parcel- og rækkehuse;2850 Nærum;27.681;33.809;0;0;0;0;0;0
Parcel- og rækkehuse;2860 Søborg;28.097;28.489;28.977;28.310;27.684;25.944;26.633;23.995
Parcel- og rækkehuse;2870 Dyssegård;27.646;31.823;29.168;0;0;29.331;32.717;27.596
Parcel- og rækkehuse;2880 Bagsværd;25.717;28.228;26.899;27.031;27.204;27.092;25.726;25.543
Parcel- og rækkehuse;2900 Hellerup;32.582;34.484;35.163;37.928;35.244;34.062;33.229;34.089
Parcel- og rækkehuse;2920 Charlottenlund;36.939;42.877;43.707;42.011;40.021;44.193;40.918;42.700
Parcel- og rækkehuse;2930 Klampenborg;45.166;48.789;0;0;0;0;0;0
Parcel- og rækkehuse;2942 Skodsborg;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2950 Vedbæk;36.435;37.119;39.558;0;0;34.843;33.862;34.862
Parcel- og rækkehuse;2960 Rungsted Kyst;30.482;36.792;39.118;45.419;37.582;38.494;37.725;46.112
Parcel- og rækkehuse;2970 Hørsholm;27.067;30.233;30.859;31.070;30.041;28.635;28.098;26.783
Parcel- og rækkehuse;2980 Kokkedal;23.129;22.450;24.249;23.464;23.005;21.104;21.301;22.783
Parcel- og rækkehuse;2990 Nivå;22.192;25.626;25.045;0;0;23.611;23.561;22.525
Parcel- og rækkehuse;3000 Helsingør;20.705;22.457;24.572;26.688;24.294;22.297;22.968;19.649
Parcel- og rækkehuse;3050 Humlebæk;29.516;37.827;37.508;30.271;0;0;27.536;26.269
Parcel- og rækkehuse;3060 Espergærde;23.530;28.711;28.821;28.567;25.963;26.809;26.363;23.392
Parcel- og rækkehuse;3070 Snekkersten;27.986;23.609;27.974;28.142;24.345;24.071;26.421;26.071
Parcel- og rækkehuse;3080 Tikøb;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3100 Hornbæk;19.929;27.451;33.598;0;0;25.094;25.935;26.180
Parcel- og rækkehuse;3120 Dronningmølle;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3140 Ålsgårde;22.103;21.729;22.409;22.938;25.148;30.726;22.416;23.165
Parcel- og rækkehuse;3150 Hellebæk;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3200 Helsinge;18.130;18.630;19.711;19.127;20.019;19.541;18.626;18.729
Parcel- og rækkehuse;3210 Vejby;13.555;17.406;18.147;0;0;15.736;18.897;18.485
Parcel- og rækkehuse;3220 Tisvildeleje;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3230 Græsted;16.208;19.273;18.640;17.153;18.649;17.900;16.690;16.554
Parcel- og rækkehuse;3250 Gilleleje;20.536;19.333;24.833;21.474;22.216;23.394;18.714;20.529
Parcel- og rækkehuse;3300 Frederiksværk;15.303;17.099;18.440;18.470;18.383;18.491;18.296;17.507
Parcel- og rækkehuse;3310 Ølsted;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3320 Skævinge;16.096;19.483;18.977;20.509;22.080;20.644;18.902;19.110
Parcel- og rækkehuse;3330 Gørløse;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3360 Liseleje;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3370 Melby;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3390 Hundested;14.437;15.267;16.946;16.368;17.689;17.940;16.411;15.790
Parcel- og rækkehuse;3400 Hillerød;21.169;22.299;23.455;24.795;23.406;23.277;23.014;22.615
Parcel- og rækkehuse;3450 Allerød;21.931;23.963;27.119;26.504;25.334;22.397;25.008;23.224
