type;area;Q2_03;Q3_03;Q4_03;Q1_04;Q2_04;Q3_04;Q4_04;Q1_05
Parcel- og rækkehuse;1000 København K;0;0;0;0;1;1;2;1
Parcel- og rækkehuse;1500 København V;0;0;0;0;0;0;1;1
Parcel- og rækkehuse;1800 Frederiksberg C;0;0;0;1;2;0;1;2
Parcel- og rækkehuse;2000 Frederiksberg;0;0;0;15;12;10;10;14
Parcel- og rækkehuse;2100 København Ø;0;0;0;10;12;5;10;6
Parcel- og rækkehuse;2200 København N;0;0;0;0;0;0;0;1
Parcel- og rækkehuse;2300 København S;0;0;0;40;58;30;33;42
Parcel- og rækkehuse;2400 København NV;0;0;0;8;12;1;9;9
Parcel- og rækkehuse;2450 København SV;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2500 Valby;0;0;0;25;49;9;25;19
Parcel- og rækkehuse;2600 Glostrup;0;0;0;29;35;21;40;33
Parcel- og rækkehuse;2605 Brøndby;0;0;0;25;27;17;14;19
Parcel- og rækkehuse;2610 Rødovre;0;0;0;50;72;39;48;47
Parcel- og rækkehuse;2620 Albertslund;0;0;0;33;29;23;19;23
Parcel- og rækkehuse;2625 Vallensbæk;0;0;0;16;9;6;13;8
Parcel- og rækkehuse;2630 Taastrup;0;0;0;45;44;37;42;59
Parcel- og rækkehuse;2633 Returpost;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2635 Ishøj;0;0;0;33;34;19;32;31
Parcel- og rækkehuse;2640 Hedehusene;0;0;0;19;26;24;19;40
Parcel- og rækkehuse;2650 Hvidovre;0;0;0;72;113;50;47;52
Parcel- og rækkehuse;2660 Brøndby Strand;0;0;0;13;19;13;9;20
Parcel- og rækkehuse;2665 Vallensbæk Strand;0;0;0;16;14;8;13;9
Parcel- og rækkehuse;2670 Greve;0;0;0;85;103;88;78;96
Parcel- og rækkehuse;2680 Solrød Strand;0;0;0;59;52;34;33;41
Parcel- og rækkehuse;2690 Karlslunde;0;0;0;16;15;33;27;24
Parcel- og rækkehuse;2700 Brønshøj;0;0;0;33;48;31;23;45
Parcel- og rækkehuse;2720 Vanløse;0;0;0;17;29;15;20;25
Parcel- og rækkehuse;2730 Herlev;0;0;0;37;63;34;38;45
Parcel- og rækkehuse;2740 Skovlunde;0;0;0;25;11;20;22;20
Parcel- og rækkehuse;2750 Ballerup;0;0;0;30;35;15;17;29
Parcel- og rækkehuse;2760 Måløv;0;0;0;9;13;8;5;8
Parcel- og rækkehuse;2765 Smørum;0;0;0;26;29;29;26;26
Parcel- og rækkehuse;2770 Kastrup;0;0;0;61;83;53;56;57
Parcel- og rækkehuse;2791 Dragør;0;0;0;23;35;23;27;39
Parcel- og rækkehuse;2800 Kongens Lyngby;0;0;0;66;70;38;29;67
Parcel- og rækkehuse;2820 Gentofte;0;0;0;31;46;22;34;40
Parcel- og rækkehuse;2830 Virum;0;0;0;46;65;34;36;53
Parcel- og rækkehuse;2840 Holte;0;0;0;51;58;36;26;47
Parcel- og rækkehuse;2850 Nærum;0;0;0;10;8;8;16;10
Parcel- og rækkehuse;2860 Søborg;0;0;0;38;42;23;28;29
Parcel- og rækkehuse;2870 Dyssegård;0;0;0;3;11;5;4;8
Parcel- og rækkehuse;2880 Bagsværd;0;0;0;26;33;22;17;33
Parcel- og rækkehuse;2900 Hellerup;0;0;0;38;41;22;30;26
Parcel- og rækkehuse;2920 Charlottenlund;0;0;0;43;39;32;28;43
Parcel- og rækkehuse;2930 Klampenborg;0;0;0;13;11;13;13;5
Parcel- og rækkehuse;2942 Skodsborg;0;0;0;1;4;6;0;4
Parcel- og rækkehuse;2950 Vedbæk;0;0;0;16;29;14;14;23
Parcel- og rækkehuse;2960 Rungsted Kyst;0;0;0;24;19;19;18;20
Parcel- og rækkehuse;2970 Hørsholm;0;0;0;41;51;52;32;45
Parcel- og rækkehuse;2980 Kokkedal;0;0;0;18;38;28;30;34
