type;area;Q4_05;Q4_06;Q4_07;
Parcel-/rækkehus;1000-1499 Kbh.K.;..;..;..;
Parcel-/rækkehus;1500-1799 Kbh.V.;..;..;..;2007K4
Parcel-/rækkehus;1800-1999 Frederiksberg C;..;..;..;
Parcel-/rækkehus;2000 Frederiksberg;30596;29657;..;
Parcel-/rækkehus;2100 København Ø;34444;44046;36997;
Parcel-/rækkehus;2150 Nordhavn;..;..;..;
Parcel-/rækkehus;2200 København N;..;..;..;
Parcel-/rækkehus;2300 København S;23389;29586;25031;
Parcel-/rækkehus;2400 København NV;23271;..;26090;
Parcel-/rækkehus;2450 København SV;..;..;..;
Parcel-/rækkehus;2500 Valby;25055;28226;27319;
Parcel-/rækkehus;2600 Glostrup;20581;23107;21937;
Parcel-/rækkehus;2605 Brøndby;19315;23464;22293;
Parcel-/rækkehus;2610 Rødovre;21858;22623;22762;
Parcel-/rækkehus;2620 Albertslund;17371;20816;18000;
Parcel-/rækkehus;2625 Vallensbæk;20374;..;21629;
Parcel-/rækkehus;2630 Taastrup;18682;22027;20884;
Parcel-/rækkehus;2635 Ishøj;18223;20207;20152;
Parcel-/rækkehus;2640 Hedehusene;16803;17609;18900;
Parcel-/rækkehus;2650 Hvidovre;20567;22998;22690;
Parcel-/rækkehus;2660 Brøndby Strand;21055;26052;21054;
Parcel-/rækkehus;2665 Vallensbæk Strand;22078;..;24318;
Parcel-/rækkehus;2670 Greve;19196;23563;20004;
Parcel-/rækkehus;2680 Solrød Strand;21160;25900;22557;
Parcel-/rækkehus;2690 Karlslunde;19868;24252;20792;
Parcel-/rækkehus;2700 Brønshøj;26852;28022;24242;
Parcel-/rækkehus;2720 Vanløse;25445;27383;25864;
Parcel-/rækkehus;2730 Herlev;21669;23061;21658;
Parcel-/rækkehus;2740 Skovlunde;21657;22664;21445;
Parcel-/rækkehus;2750 Ballerup;20627;20402;22472;
Parcel-/rækkehus;2760 Måløv;22427;..;25049;
Parcel-/rækkehus;2765 Smørum;21687;24313;21724;
Parcel-/rækkehus;2770 Kastrup;22301;24585;23842;
Parcel-/rækkehus;2791 Dragør;23071;26623;23940;
Parcel-/rækkehus;2800 Kgs.Lyngby;27837;30038;27483;
Parcel-/rækkehus;2820 Gentofte;27973;36863;31174;
Parcel-/rækkehus;2830 Virum;29101;35229;29394;
Parcel-/rækkehus;2840 Holte;28221;34558;32910;
Parcel-/rækkehus;2850 Nærum;30584;..;..;
Parcel-/rækkehus;2860 Søborg;25500;28310;23995;
Parcel-/rækkehus;2870 Dyssegård;29119;..;27596;
Parcel-/rækkehus;2880 Bagsværd;26600;27031;25543;
Parcel-/rækkehus;2900 Hellerup;32787;37928;34089;
Parcel-/rækkehus;2920 Charlottenlund;35556;42011;42700;
Parcel-/rækkehus;2930 Klampenborg;34148;..;37624;
Parcel-/rækkehus;2942 Skodsborg;..;..;..;
Parcel-/rækkehus;2950 Vedbæk;32285;..;34862;
Parcel-/rækkehus;2960 Rungsted Kyst;27644;45419;46112;
Parcel-/rækkehus;2970 Hørsholm;24625;31070;26783;
Parcel-/rækkehus;2980 Kokkedal;20938;23464;22783;
Parcel-/rækkehus;2990 Nivå;19524;..;22525;
Parcel-/rækkehus;3000 Helsingør;21311;26688;19649;
Parcel-/rækkehus;3050 Humlebæk;28666;30271;26269;
Parcel-/rækkehus;3060 Espergærde;21886;28567;23392;
Parcel-/rækkehus;3070 Snekkersten;28354;28142;26071;
Parcel-/rækkehus;3080 Tikøb;..;..;..;
Parcel-/rækkehus;3100 Hornbæk;23120;..;26180;
Parcel-/rækkehus;3120 Dronningmølle;..;..;..;
Parcel-/rækkehus;3140 Ålsgårde;25995;22938;23165;
Parcel-/rækkehus;3150 Hellebæk;..;..;..;
Parcel-/rækkehus;3200 Helsinge;16642;19127;18729;
Parcel-/rækkehus;3210 Vejby;14345;..;18485;
Parcel-/rækkehus;3220 Tisvildeleje;..;..;..;
Parcel-/rækkehus;3230 Græsted;14598;17153;16554;
Parcel-/rækkehus;3250 Gilleleje;16928;21474;20529;
Parcel-/rækkehus;3300 Frederiksværk;14222;18470;17507;
Parcel-/rækkehus;3310 Ølsted;13884;..;..;
Parcel-/rækkehus;3320 Skævinge;16049;20509;19110;
Parcel-/rækkehus;3330 Gørløse;18392;..;..;
Parcel-/rækkehus;3360 Liseleje;..;..;..;
Parcel-/rækkehus;3370 Melby;..;..;..;
Parcel-/rækkehus;3390 Hundested;14314;16368;15790;
Parcel-/rækkehus;3400 Hillerød;20235;24795;22615;
Parcel-/rækkehus;3450 Allerød;21786;26504;23224;
Parcel-/rækkehus;3460 Birkerød;25077;31573;28654;
Parcel-/rækkehus;3480 Fredensborg;21231;25195;23284;
Parcel-/rækkehus;3490 Kvistgård;19084;..;..;
Parcel-/rækkehus;3500 Værløse;22987;28006;26647;
Parcel-/rækkehus;3520 Farum;19238;26566;23056;
Parcel-/rækkehus;3540 Lynge;18430;..;21724;
Parcel-/rækkehus;3550 Slangerup;19174;24055;20828;
Parcel-/rækkehus;3600 Frederikssund;17628;22028;20848;
Parcel-/rækkehus;3630 Jægerspris;13061;15349;15866;
Parcel-/rækkehus;3650 Ølstykke;18043;22294;21062;
Parcel-/rækkehus;3660 Stenløse;18248;20848;18984;
Parcel-/rækkehus;3670 Veksø Sjælland;18834;..;..;
Parcel-/rækkehus;3700 Rønne;6661;7975;8946;
Parcel-/rækkehus;3720 Aakirkeby;4771;5179;5543;
Parcel-/rækkehus;3730 Nexø;4642;5929;7682;
Parcel-/rækkehus;3740 Svaneke;6146;..;..;
Parcel-/rækkehus;3751 Østermarie;4775;4302;..;
Parcel-/rækkehus;3760 Gudhjem;7287;6364;..;
Parcel-/rækkehus;3770 Allinge;4924;6425;6652;
Parcel-/rækkehus;3782 Klemensker;..;4746;4831;
Parcel-/rækkehus;3790 Hasle;5866;7209;6672;
Parcel-/rækkehus;4000 Roskilde;20440;24849;22089;
Parcel-/rækkehus;4030 Tune;18899;20726;19792;
Parcel-/rækkehus;4040 Jyllinge;20097;..;21235;
Parcel-/rækkehus;4050 Skibby;11697;14384;16372;
Parcel-/rækkehus;4060 Kirke Såby;12223;16904;..;
Parcel-/rækkehus;4070 Kirke Hyllinge;13762;17879;17698;
Parcel-/rækkehus;4100 Ringsted;12165;14797;15254;
Parcel-/rækkehus;4130 Viby Sjælland;14839;18997;18572;
Parcel-/rækkehus;4140 Borup;14684;17614;18754;
Parcel-/rækkehus;4160 Herlufmagle;10209;11972;12491;
Parcel-/rækkehus;4171 Glumsø;11192;11279;9615;
Parcel-/rækkehus;4173 Fjenneslev;..;12674;..;
Parcel-/rækkehus;4174 Jystrup Midtsj;..;..;..;
Parcel-/rækkehus;4180 Sorø;12405;15719;16465;
Parcel-/rækkehus;4190 Munke Bjergby;..;..;..;
Parcel-/rækkehus;4200 Slagelse;12151;14031;13248;
Parcel-/rækkehus;4220 Korsør;10158;10944;11970;
Parcel-/rækkehus;4230 Skælskør;9658;9765;10147;
Parcel-/rækkehus;4241 Vemmelev;9358;11336;13073;
Parcel-/rækkehus;4242 Boeslunde;..;..;..;
Parcel-/rækkehus;4243 Rude;..;..;..;
Parcel-/rækkehus;4250 Fuglebjerg;5970;12009;11750;
Parcel-/rækkehus;4261 Dalmose;6282;6513;9631;
Parcel-/rækkehus;4262 Sandved;..;10048;..;
Parcel-/rækkehus;4270 Høng;9713;11202;10787;
Parcel-/rækkehus;4281 Gørlev;8850;8847;10110;
Parcel-/rækkehus;4291 Ruds Vedby;9329;7979;10755;
Parcel-/rækkehus;4293 Dianalund;9332;10882;10655;
Parcel-/rækkehus;4295 Stenlille;7979;12095;11669;
Parcel-/rækkehus;4296 Nyrup;..;..;..;
Parcel-/rækkehus;4300 Holbæk;13728;17356;17134;
Parcel-/rækkehus;4320 Lejre;16904;18751;17479;
Parcel-/rækkehus;4330 Hvalsø;9026;16021;18071;
Parcel-/rækkehus;4340 Tølløse;12599;15769;15077;
Parcel-/rækkehus;4350 Ugerløse;..;13087;..;
Parcel-/rækkehus;4360 Kirke Eskilstrup;..;..;..;
Parcel-/rækkehus;4370 Store Merløse;..;11176;..;
Parcel-/rækkehus;4390 Vipperød;11741;13972;..;
Parcel-/rækkehus;4400 Kalundborg;10042;11317;11620;
Parcel-/rækkehus;4420 Regstrup;11809;12473;13444;
Parcel-/rækkehus;4440 Mørkøv;8810;10794;11182;
Parcel-/rækkehus;4450 Jyderup;8419;10698;11339;
Parcel-/rækkehus;4460 Snertinge;8556;8903;..;
Parcel-/rækkehus;4470 Svebølle;8889;9524;10101;
Parcel-/rækkehus;4480 Store Fuglede;6367;..;..;
Parcel-/rækkehus;4490 Jerslev Sjælland;8048;9093;7935;
Parcel-/rækkehus;4500 Nykøbing Sj;9909;12157;10937;
Parcel-/rækkehus;4520 Svinninge;8547;11101;12363;
Parcel-/rækkehus;4532 Gislinge;..;..;14676;
Parcel-/rækkehus;4534 Hørve;9361;10762;..;
Parcel-/rækkehus;4540 Fårevejle;9293;10329;11287;
Parcel-/rækkehus;4550 Asnæs;9541;12395;11927;
Parcel-/rækkehus;4560 Vig;6571;9233;10603;
Parcel-/rækkehus;4571 Grevinge;8670;..;10448;
Parcel-/rækkehus;4572 Nørre Asmindrup;..;..;..;
Parcel-/rækkehus;4573 Højby;6667;..;..;
Parcel-/rækkehus;4581 Rørvig;..;..;..;
Parcel-/rækkehus;4583 Sjællands Odde;10590;10452;..;
Parcel-/rækkehus;4591 Føllenslev;..;7500;11209;
Parcel-/rækkehus;4592 Sejerø;..;..;..;
Parcel-/rækkehus;4593 Eskebjerg;..;..;..;
Parcel-/rækkehus;4600 Køge;16835;19623;18828;
Parcel-/rækkehus;4621 Gadstrup;15794;20905;..;
Parcel-/rækkehus;4622 Havdrup;16319;22478;18155;
Parcel-/rækkehus;4623 Lille Skensved;13579;..;15826;
Parcel-/rækkehus;4632 Bjæverskov;14056;18174;16528;
Parcel-/rækkehus;4640 Faxe;10008;10257;11752;
Parcel-/rækkehus;4652 Hårlev;13080;13102;13985;
Parcel-/rækkehus;4653 Karise;11315;13893;13922;
Parcel-/rækkehus;4654 Faxe Ladeplads;12025;12694;14766;
Parcel-/rækkehus;4660 Store Heddinge;9084;12192;12514;
Parcel-/rækkehus;4671 Strøby;..;..;..;
Parcel-/rækkehus;4672 Klippinge;10024;..;12587;
Parcel-/rækkehus;4673 Rødvig Stevns;..;..;..;
Parcel-/rækkehus;4681 Herfølge;15688;17960;18092;
Parcel-/rækkehus;4682 Tureby;10585;..;..;
Parcel-/rækkehus;4683 Rønnede;9941;11383;11545;
Parcel-/rækkehus;4684 Holmegaard;10490;13073;14088;
Parcel-/rækkehus;4690 Haslev;11411;13794;15103;
Parcel-/rækkehus;4700 Næstved;12376;13577;14446;
Parcel-/rækkehus;4720 Præstø;8955;11582;12731;
Parcel-/rækkehus;4733 Tappernøje;8993;11301;8370;
Parcel-/rækkehus;4735 Mern;4284;12851;10060;
Parcel-/rækkehus;4736 Karrebæksminde;12915;..;..;
Parcel-/rækkehus;4750 Lundby;7593;9740;10115;
Parcel-/rækkehus;4760 Vordingborg;10194;11212;11701;
