type;area;Q3_09;Q3_10;Q3_11
Parcel-/rækkehus;1000-1499 Kbh.K.;..;..;..
Parcel-/rækkehus;1500-1799 Kbh.V.;..;..;..
Parcel-/rækkehus;1800-1999 Frederiksberg C;..;..;..
Parcel-/rækkehus;2000 Frederiksberg;27848;31957;24380
Parcel-/rækkehus;2100 København Ø;30529;30892;37624
Parcel-/rækkehus;2150 Nordhavn;..;..;..
Parcel-/rækkehus;2200 København N;..;..;..
Parcel-/rækkehus;2300 København S;21910;24130;23618
Parcel-/rækkehus;2400 København NV;22656;23246;22933
Parcel-/rækkehus;2450 København SV;..;..;..
Parcel-/rækkehus;2500 Valby;21699;25997;23869
Parcel-/rækkehus;2600 Glostrup;16853;18703;17539
Parcel-/rækkehus;2605 Brøndby;16199;18845;18055
Parcel-/rækkehus;2610 Rødovre;18091;19087;18359
Parcel-/rækkehus;2620 Albertslund;15171;14905;15007
Parcel-/rækkehus;2625 Vallensbæk;18410;17944;17012
Parcel-/rækkehus;2630 Taastrup;16335;17864;17182
Parcel-/rækkehus;2635 Ishøj;15789;16471;14671
Parcel-/rækkehus;2640 Hedehusene;14722;15427;14408
Parcel-/rækkehus;2650 Hvidovre;17874;19367;17555
Parcel-/rækkehus;2660 Brøndby Strand;19356;19120;16274
Parcel-/rækkehus;2665 Vallensbæk Strand;16878;20006;18722
Parcel-/rækkehus;2670 Greve;15663;17481;16779
Parcel-/rækkehus;2680 Solrød Strand;18297;20504;18548
Parcel-/rækkehus;2690 Karlslunde;16110;17449;16556
Parcel-/rækkehus;2700 Brønshøj;20590;22418;21050
Parcel-/rækkehus;2720 Vanløse;21081;23390;26489
Parcel-/rækkehus;2730 Herlev;17708;19358;19838
Parcel-/rækkehus;2740 Skovlunde;17596;18673;18806
Parcel-/rækkehus;2750 Ballerup;16930;18394;18329
Parcel-/rækkehus;2760 Måløv;18373;20986;..
Parcel-/rækkehus;2765 Smørum;17596;19155;19639
Parcel-/rækkehus;2770 Kastrup;18122;19485;19296
Parcel-/rækkehus;2791 Dragør;19450;21111;20589
Parcel-/rækkehus;2800 Kgs.Lyngby;21376;26100;23225
Parcel-/rækkehus;2820 Gentofte;23731;29202;27446
Parcel-/rækkehus;2830 Virum;23985;25829;25077
Parcel-/rækkehus;2840 Holte;25891;27937;26000
Parcel-/rækkehus;2850 Nærum;22733;24839;22686
Parcel-/rækkehus;2860 Søborg;20194;21952;22679
Parcel-/rækkehus;2870 Dyssegård;25166;25349;27903
Parcel-/rækkehus;2880 Bagsværd;21422;21096;22818
Parcel-/rækkehus;2900 Hellerup;27194;34982;27512
Parcel-/rækkehus;2920 Charlottenlund;32182;34032;31895
Parcel-/rækkehus;2930 Klampenborg;33855;39560;34463
Parcel-/rækkehus;2942 Skodsborg;..;..;..
Parcel-/rækkehus;2950 Vedbæk;22509;28605;23613
Parcel-/rækkehus;2960 Rungsted Kyst;35097;32599;33257
Parcel-/rækkehus;2970 Hørsholm;20097;22498;21553
Parcel-/rækkehus;2980 Kokkedal;14754;17532;15444
Parcel-/rækkehus;2990 Nivå;16792;17996;17992
Parcel-/rækkehus;3000 Helsingør;15708;18533;15659
Parcel-/rækkehus;3050 Humlebæk;18276;24588;19094
Parcel-/rækkehus;3060 Espergærde;21228;20566;19627
Parcel-/rækkehus;3070 Snekkersten;..;18508;26119
Parcel-/rækkehus;3080 Tikøb;..;..;..
Parcel-/rækkehus;3100 Hornbæk;..;22718;25922
Parcel-/rækkehus;3120 Dronningmølle;..;..;..
Parcel-/rækkehus;3140 Ålsgårde;15467;19731;16961
Parcel-/rækkehus;3150 Hellebæk;..;..;..
Parcel-/rækkehus;3200 Helsinge;12606;13796;11011
Parcel-/rækkehus;3210 Vejby;..;..;..
Parcel-/rækkehus;3220 Tisvildeleje;..;..;..
Parcel-/rækkehus;3230 Græsted;12496;12192;11177
Parcel-/rækkehus;3250 Gilleleje;17371;15545;15078
Parcel-/rækkehus;3300 Frederiksværk;11297;11149;11138
Parcel-/rækkehus;3310 Ølsted;12710;8553;..
Parcel-/rækkehus;3320 Skævinge;12178;15053;12050
Parcel-/rækkehus;3330 Gørløse;..;..;..
Parcel-/rækkehus;3360 Liseleje;..;..;..
Parcel-/rækkehus;3370 Melby;..;..;..
Parcel-/rækkehus;3390 Hundested;10396;10809;9757
Parcel-/rækkehus;3400 Hillerød;17754;18361;17405
Parcel-/rækkehus;3450 Allerød;18267;21920;18639
Parcel-/rækkehus;3460 Birkerød;22179;23677;24601
Parcel-/rækkehus;3480 Fredensborg;18929;18212;17807
Parcel-/rækkehus;3490 Kvistgård;..;..;..
Parcel-/rækkehus;3500 Værløse;20930;22451;23879
Parcel-/rækkehus;3520 Farum;18391;20575;19802
Parcel-/rækkehus;3540 Lynge;18343;17458;17400
Parcel-/rækkehus;3550 Slangerup;11633;15497;14814
Parcel-/rækkehus;3600 Frederikssund;15168;15457;14160
Parcel-/rækkehus;3630 Jægerspris;..;10977;12408
Parcel-/rækkehus;3650 Ølstykke;15822;16602;16525
Parcel-/rækkehus;3660 Stenløse;15027;18339;14897
Parcel-/rækkehus;3670 Veksø Sjælland;17407;..;..
Parcel-/rækkehus;3700 Rønne;8245;7753;7816
Parcel-/rækkehus;3720 Aakirkeby;5411;4878;3457
Parcel-/rækkehus;3730 Nexø;6308;5748;5434
Parcel-/rækkehus;3740 Svaneke;8226;8472;7636
Parcel-/rækkehus;3751 Østermarie;4182;..;..
Parcel-/rækkehus;3760 Gudhjem;..;3574;..
Parcel-/rækkehus;3770 Allinge;7709;5080;4442
Parcel-/rækkehus;3782 Klemensker;..;..;4320
Parcel-/rækkehus;3790 Hasle;6262;..;5433
Parcel-/rækkehus;4000 Roskilde;17093;18357;17325
Parcel-/rækkehus;4030 Tune;13979;17939;15827
Parcel-/rækkehus;4040 Jyllinge;15930;17528;14493
Parcel-/rækkehus;4050 Skibby;..;10804;8935
Parcel-/rækkehus;4060 Kirke Såby;12364;9940;8931
Parcel-/rækkehus;4070 Kirke Hyllinge;12398;12247;10125
Parcel-/rækkehus;4100 Ringsted;12156;11904;11414
Parcel-/rækkehus;4130 Viby Sjælland;15314;12623;14624
Parcel-/rækkehus;4140 Borup;14353;14962;10377
Parcel-/rækkehus;4160 Herlufmagle;8594;..;..
Parcel-/rækkehus;4171 Glumsø;..;..;..
Parcel-/rækkehus;4173 Fjenneslev;..;..;8170
Parcel-/rækkehus;4174 Jystrup Midtsj;..;..;..
Parcel-/rækkehus;4180 Sorø;12399;11620;12372
Parcel-/rækkehus;4190 Munke Bjergby;..;..;..
Parcel-/rækkehus;4200 Slagelse;11234;11457;9947
Parcel-/rækkehus;4220 Korsør;9251;9706;7614
