"type";"area";"Q2_13";"Q2_14";"Q2_15"
"Parcel- og rækkehuse";"1000 København K";0;0;0
"Parcel- og rækkehuse";"1500 København V";0;0;0
"Parcel- og rækkehuse";"1800 Frederiksberg C";0;0;0
"Parcel- og rækkehuse";"2000 Frederiksberg";34,947;35,220;39,791
"Parcel- og rækkehuse";"2100 København Ø";35,887;42,676;37,627
"Parcel- og rækkehuse";"2200 København N";0;0;0
"Parcel- og rækkehuse";"2300 København S";24,287;26,762;31,013
"Parcel- og rækkehuse";"2400 København NV";22,524;25,618;31,285
"Parcel- og rækkehuse";"2450 København SV";0;0;0
"Parcel- og rækkehuse";"2500 Valby";23,882;26,487;30,516
"Parcel- og rækkehuse";"2600 Glostrup";17,451;17,993;19,027
"Parcel- og rækkehuse";"2605 Brøndby";16,203;17,766;18,756
"Parcel- og rækkehuse";"2610 Rødovre";19,635;20,883;22,510
"Parcel- og rækkehuse";"2620 Albertslund";16,008;16,124;17,123
"Parcel- og rækkehuse";"2625 Vallensbæk";18,761;19,607;20,604
"Parcel- og rækkehuse";"2630 Taastrup";15,929;16,589;17,936
"Parcel- og rækkehuse";"2633 Returpost";0;0;0
"Parcel- og rækkehuse";"2635 Ishøj";14,179;15,161;18,005
"Parcel- og rækkehuse";"2640 Hedehusene";14,734;15,099;15,244
"Parcel- og rækkehuse";"2650 Hvidovre";18,158;20,049;22,685
"Parcel- og rækkehuse";"2660 Brøndby Strand";16,682;18,310;18,797
"Parcel- og rækkehuse";"2665 Vallensbæk Strand";18,114;19,758;21,593
"Parcel- og rækkehuse";"2670 Greve";16,143;16,852;17,845
"Parcel- og rækkehuse";"2680 Solrød Strand";18,243;18,561;18,522
"Parcel- og rækkehuse";"2690 Karlslunde";15,697;17,231;18,324
"Parcel- og rækkehuse";"2700 Brønshøj";24,016;24,802;28,447
"Parcel- og rækkehuse";"2720 Vanløse";24,853;27,602;30,659
"Parcel- og rækkehuse";"2730 Herlev";17,744;19,173;21,787
"Parcel- og rækkehuse";"2740 Skovlunde";17,983;18,270;20,812
"Parcel- og rækkehuse";"2750 Ballerup";18,095;18,031;20,459
"Parcel- og rækkehuse";"2760 Måløv";0;0;0
"Parcel- og rækkehuse";"2765 Smørum";17,310;18,046;20,795
"Parcel- og rækkehuse";"2770 Kastrup";19,364;21,310;24,055
"Parcel- og rækkehuse";"2791 Dragør";22,776;22,423;24,011
"Parcel- og rækkehuse";"2800 Kongens Lyngby";26,165;27,139;32,776
"Parcel- og rækkehuse";"2820 Gentofte";29,363;30,079;34,494
"Parcel- og rækkehuse";"2830 Virum";26,610;28,069;31,937
"Parcel- og rækkehuse";"2840 Holte";26,266;27,624;27,607
"Parcel- og rækkehuse";"2850 Nærum";25,294;23,795;0
"Parcel- og rækkehuse";"2860 Søborg";22,439;22,540;24,919
"Parcel- og rækkehuse";"2870 Dyssegård";27,020;30,703;32,390
"Parcel- og rækkehuse";"2880 Bagsværd";22,575;22,831;25,676
"Parcel- og rækkehuse";"2900 Hellerup";32,516;33,745;36,176
"Parcel- og rækkehuse";"2920 Charlottenlund";36,795;39,501;38,896
"Parcel- og rækkehuse";"2930 Klampenborg";0;39,527;45,168
"Parcel- og rækkehuse";"2942 Skodsborg";0;0;0
"Parcel- og rækkehuse";"2950 Vedbæk";25,902;28,248;31,400
"Parcel- og rækkehuse";"2960 Rungsted Kyst";27,725;27,236;28,716
"Parcel- og rækkehuse";"2970 Hørsholm";21,290;23,083;23,757
"Parcel- og rækkehuse";"2980 Kokkedal";16,017;16,284;17,283
"Parcel- og rækkehuse";"2990 Nivå";16,703;17,192;18,658
"Parcel- og rækkehuse";"3000 Helsingør";14,458;15,542;17,024
"Parcel- og rækkehuse";"3050 Humlebæk";18,973;21,295;31,089
"Parcel- og rækkehuse";"3060 Espergærde";21,048;18,419;21,454
"Parcel- og rækkehuse";"3070 Snekkersten";15,248;19,744;19,407
"Parcel- og rækkehuse";"3080 Tikøb";0;0;0
"Parcel- og rækkehuse";"3100 Hornbæk";17,263;20,651;19,331
"Parcel- og rækkehuse";"3120 Dronningmølle";0;0;0
"Parcel- og rækkehuse";"3140 Ålsgårde";16,131;15,819;13,990
"Parcel- og rækkehuse";"3150 Hellebæk";0;0;0
"Parcel- og rækkehuse";"3200 Helsinge";10,891;12,140;13,504
"Parcel- og rækkehuse";"3210 Vejby";0;0;0
"Parcel- og rækkehuse";"3220 Tisvildeleje";0;0;0
"Parcel- og rækkehuse";"3230 Græsted";8,535;8,545;9,700
"Parcel- og rækkehuse";"3250 Gilleleje";13,573;12,117;15,853
"Parcel- og rækkehuse";"3300 Frederiksværk";9,516;9,240;9,412
"Parcel- og rækkehuse";"3310 Ølsted";0;8,049;0
"Parcel- og rækkehuse";"3320 Skævinge";13,773;15,536;13,001
"Parcel- og rækkehuse";"3330 Gørløse";0;0;0
"Parcel- og rækkehuse";"3360 Liseleje";0;8,466;0
"Parcel- og rækkehuse";"3370 Melby";0;0;0
"Parcel- og rækkehuse";"3390 Hundested";11,268;8,917;9,489
"Parcel- og rækkehuse";"3400 Hillerød";16,231;16,662;19,182
"Parcel- og rækkehuse";"3450 Allerød";18,355;20,391;20,019
"Parcel- og rækkehuse";"3460 Birkerød";22,750;22,793;26,469
"Parcel- og rækkehuse";"3480 Fredensborg";16,356;17,351;16,672
"Parcel- og rækkehuse";"3490 Kvistgård";0;0;0
"Parcel- og rækkehuse";"3500 Værløse";22,739;24,323;27,498
"Parcel- og rækkehuse";"3520 Farum";19,834;20,392;22,031
"Parcel- og rækkehuse";"3540 Lynge";15,964;17,287;16,385
"Parcel- og rækkehuse";"3550 Slangerup";13,085;13,470;13,898
"Parcel- og rækkehuse";"3600 Frederikssund";13,602;14,033;15,082
"Parcel- og rækkehuse";"3630 Jægerspris";10,844;9,584;10,644
"Parcel- og rækkehuse";"3650 Ølstykke";14,440;15,118;16,542
"Parcel- og rækkehuse";"3660 Stenløse";14,836;15,163;16,790
"Parcel- og rækkehuse";"3670 Veksø Sjælland";0;19,151;0
"Parcel- og rækkehuse";"3700 Rønne";6,297;6,216;7,353
"Parcel- og rækkehuse";"3720 Aakirkeby";0;0;0
"Parcel- og rækkehuse";"3730 Nexø";0;5,240;4,483
"Parcel- og rækkehuse";"3740 Svaneke";8,154;6,623;0
"Parcel- og rækkehuse";"3751 Østermarie";0;0;0
"Parcel- og rækkehuse";"3760 Gudhjem";0;0;0
"Parcel- og rækkehuse";"3770 Allinge";0;4,424;5,971
"Parcel- og rækkehuse";"3782 Klemensker";0;0;0
"Parcel- og rækkehuse";"3790 Hasle";0;4,730;0
"Parcel- og rækkehuse";"4000 Roskilde";18,362;18,654;20,432
"Parcel- og rækkehuse";"4030 Tune";16,131;15,968;15,074
"Parcel- og rækkehuse";"4040 Jyllinge";17,904;16,006;16,849
"Parcel- og rækkehuse";"4050 Skibby";9,474;8,937;9,133
"Parcel- og rækkehuse";"4060 Kirke Såby";8,546;9,480;0
"Parcel- og rækkehuse";"4070 Kirke Hyllinge";10,588;10,476;11,257
"Parcel- og rækkehuse";"4100 Ringsted";9,879;10,657;12,126
"Parcel- og rækkehuse";"4105 Ringsted";0;0;0
"Parcel- og rækkehuse";"4130 Viby Sjælland";11,753;11,031;13,137
"Parcel- og rækkehuse";"4140 Borup";13,683;12,509;14,118
"Parcel- og rækkehuse";"4160 Herlufmagle";0;5,357;0
"Parcel- og rækkehuse";"4171 Glumsø";0;0;0
