type;area;Q1_03;Q1_04;Q1_05
Parcel-/rækkehus;1000-1499 Kbh.K.;0,5;0;1
Parcel-/rækkehus;1500-1799 Kbh.V.;0,5;0;1
Parcel-/rækkehus;1800-1999 Frederiksberg C;1,5;1;2
Parcel-/rækkehus;2000 Frederiksberg;14,5;15;14
Parcel-/rækkehus;2100 København Ø;8;10;6
Parcel-/rækkehus;2150 Nordhavn;..;..;..
Parcel-/rækkehus;2200 København N;1;..;1
Parcel-/rækkehus;2300 København S;41;40;42
Parcel-/rækkehus;2400 København NV;8,5;8;9
Parcel-/rækkehus;2450 København SV;0;..;0
Parcel-/rækkehus;2500 Valby;22;25;19
Parcel-/rækkehus;2600 Glostrup;31;29;33
Parcel-/rækkehus;2605 Brøndby;22;25;19
Parcel-/rækkehus;2610 Rødovre;48,5;50;47
Parcel-/rækkehus;2620 Albertslund;28;33;23
Parcel-/rækkehus;2625 Vallensbæk;12;16;8
Parcel-/rækkehus;2630 Taastrup;52;45;59
Parcel-/rækkehus;2635 Ishøj;32;33;31
Parcel-/rækkehus;2640 Hedehusene;29,5;19;40
Parcel-/rækkehus;2650 Hvidovre;62;72;52
Parcel-/rækkehus;2660 Brøndby Strand;16,5;13;20
Parcel-/rækkehus;2665 Vallensbæk Strand;12,5;16;9
Parcel-/rækkehus;2670 Greve;90,5;85;96
Parcel-/rækkehus;2680 Solrød Strand;50;59;41
Parcel-/rækkehus;2690 Karlslunde;20;16;24
Parcel-/rækkehus;2700 Brønshøj;39;33;45
Parcel-/rækkehus;2720 Vanløse;21;17;25
Parcel-/rækkehus;2730 Herlev;41;37;45
Parcel-/rækkehus;2740 Skovlunde;22,5;25;20
Parcel-/rækkehus;2750 Ballerup;29,5;30;29
Parcel-/rækkehus;2760 Måløv;8,5;9;8
Parcel-/rækkehus;2765 Smørum;26;26;26
Parcel-/rækkehus;2770 Kastrup;59;61;57
Parcel-/rækkehus;2791 Dragør;31;23;39
Parcel-/rækkehus;2800 Kgs.Lyngby;66,5;66;67
Parcel-/rækkehus;2820 Gentofte;35,5;31;40
Parcel-/rækkehus;2830 Virum;49,5;46;53
Parcel-/rækkehus;2840 Holte;49;51;47
Parcel-/rækkehus;2850 Nærum;10;10;10
Parcel-/rækkehus;2860 Søborg;33,5;38;29
Parcel-/rækkehus;2870 Dyssegård;5,5;3;8
Parcel-/rækkehus;2880 Bagsværd;29,5;26;33
Parcel-/rækkehus;2900 Hellerup;32;38;26
Parcel-/rækkehus;2920 Charlottenlund;43;43;43
Parcel-/rækkehus;2930 Klampenborg;9;13;5
Parcel-/rækkehus;2942 Skodsborg;2,5;1;4
Parcel-/rækkehus;2950 Vedbæk;19,5;16;23
