type;area;Q4_05;Q4_06;Q4_07;;
Parcel-/rækkehus;1000-1499 Kbh.K.;1;2;0;;
Parcel-/rækkehus;1500-1799 Kbh.V.;2;0;1;;
Parcel-/rækkehus;1800-1999 Frederiksberg C;1;2;0;;
Parcel-/rækkehus;2000 Frederiksberg;10;6;2;;
Parcel-/rækkehus;2100 København Ø;9;5;5;;
Parcel-/rækkehus;2150 Nordhavn;..;..;..;;
Parcel-/rækkehus;2200 København N;..;..;1;;
Parcel-/rækkehus;2300 København S;34;24;39;;
Parcel-/rækkehus;2400 København NV;6;3;15;;
Parcel-/rækkehus;2450 København SV;1;..;0;;
Parcel-/rækkehus;2500 Valby;15;21;22;;
Parcel-/rækkehus;2600 Glostrup;26;24;28;;
Parcel-/rækkehus;2605 Brøndby;13;13;20;;
Parcel-/rækkehus;2610 Rødovre;29;34;47;;
Parcel-/rækkehus;2620 Albertslund;23;16;28;;
Parcel-/rækkehus;2625 Vallensbæk;10;2;14;;
Parcel-/rækkehus;2630 Taastrup;26;19;30;;
Parcel-/rækkehus;2635 Ishøj;24;9;22;;
Parcel-/rækkehus;2640 Hedehusene;24;9;23;;
Parcel-/rækkehus;2650 Hvidovre;61;45;59;;
Parcel-/rækkehus;2660 Brøndby Strand;25;16;15;;
Parcel-/rækkehus;2665 Vallensbæk Strand;13;3;10;;
Parcel-/rækkehus;2670 Greve;68;47;50;;
Parcel-/rækkehus;2680 Solrød Strand;40;22;18;;
Parcel-/rækkehus;2690 Karlslunde;29;13;22;;
Parcel-/rækkehus;2700 Brønshøj;24;21;30;;
Parcel-/rækkehus;2720 Vanløse;26;18;19;;
Parcel-/rækkehus;2730 Herlev;26;25;43;;
Parcel-/rækkehus;2740 Skovlunde;21;16;17;;
Parcel-/rækkehus;2750 Ballerup;31;13;16;;
Parcel-/rækkehus;2760 Måløv;7;3;8;;
Parcel-/rækkehus;2765 Smørum;15;8;29;;
Parcel-/rækkehus;2770 Kastrup;50;34;49;;
Parcel-/rækkehus;2791 Dragør;22;14;26;;
Parcel-/rækkehus;2800 Kgs.Lyngby;36;32;41;;
Parcel-/rækkehus;2820 Gentofte;31;15;33;;
Parcel-/rækkehus;2830 Virum;34;11;40;;
Parcel-/rækkehus;2840 Holte;28;25;24;;
Parcel-/rækkehus;2850 Nærum;5;3;4;;
Parcel-/rækkehus;2860 Søborg;19;17;25;;
Parcel-/rækkehus;2870 Dyssegård;9;4;7;;
Parcel-/rækkehus;2880 Bagsværd;20;19;15;;
Parcel-/rækkehus;2900 Hellerup;31;22;20;;
Parcel-/rækkehus;2920 Charlottenlund;25;13;16;;
Parcel-/rækkehus;2930 Klampenborg;18;4;6;;
Parcel-/rækkehus;2942 Skodsborg;0;2;0;;
Parcel-/rækkehus;2950 Vedbæk;14;3;18;;
Parcel-/rækkehus;2960 Rungsted Kyst;19;8;8;;
Parcel-/rækkehus;2970 Hørsholm;39;20;37;;
Parcel-/rækkehus;2980 Kokkedal;33;8;13;;
Parcel-/rækkehus;2990 Nivå;12;3;13;;
Parcel-/rækkehus;3000 Helsingør;26;23;23;;
Parcel-/rækkehus;3050 Humlebæk;17;8;16;;
Parcel-/rækkehus;3060 Espergærde;26;10;21;;
Parcel-/rækkehus;3070 Snekkersten;6;8;11;;
Parcel-/rækkehus;3080 Tikøb;2;1;1;;
Parcel-/rækkehus;3100 Hornbæk;7;4;7;;
Parcel-/rækkehus;3120 Dronningmølle;4;2;2;;
Parcel-/rækkehus;3140 Ålsgårde;10;9;13;;
Parcel-/rækkehus;3150 Hellebæk;0;0;1;;
Parcel-/rækkehus;3200 Helsinge;40;23;24;;
Parcel-/rækkehus;3210 Vejby;7;2;5;;
Parcel-/rækkehus;3220 Tisvildeleje;0;0;1;;
Parcel-/rækkehus;3230 Græsted;32;19;10;;
Parcel-/rækkehus;3250 Gilleleje;23;13;14;;
Parcel-/rækkehus;3300 Frederiksværk;33;37;26;;
Parcel-/rækkehus;3310 Ølsted;7;2;2;;
Parcel-/rækkehus;3320 Skævinge;13;20;10;;
Parcel-/rækkehus;3330 Gørløse;8;1;2;;
Parcel-/rækkehus;3360 Liseleje;3;2;1;;
Parcel-/rækkehus;3370 Melby;1;3;2;;
Parcel-/rækkehus;3390 Hundested;22;11;25;;
Parcel-/rækkehus;3400 Hillerød;41;35;46;;
Parcel-/rækkehus;3450 Allerød;42;18;33;;
Parcel-/rækkehus;3460 Birkerød;29;19;26;;
Parcel-/rækkehus;3480 Fredensborg;33;8;16;;
Parcel-/rækkehus;3490 Kvistgård;5;4;2;;
Parcel-/rækkehus;3500 Værløse;24;14;33;;
Parcel-/rækkehus;3520 Farum;26;17;15;;
Parcel-/rækkehus;3540 Lynge;14;3;11;;
Parcel-/rækkehus;3550 Slangerup;21;6;11;;
Parcel-/rækkehus;3600 Frederikssund;46;18;28;;
Parcel-/rækkehus;3630 Jægerspris;17;11;14;;
Parcel-/rækkehus;3650 Ølstykke;20;13;30;;
Parcel-/rækkehus;3660 Stenløse;18;12;17;;
Parcel-/rækkehus;3670 Veksø Sjælland;6;2;2;;
Parcel-/rækkehus;3700 Rønne;78;74;72;;
Parcel-/rækkehus;3720 Aakirkeby;24;13;18;;
Parcel-/rækkehus;3730 Nexø;24;11;29;;
Parcel-/rækkehus;3740 Svaneke;8;4;4;;
Parcel-/rækkehus;3751 Østermarie;5;8;4;;
Parcel-/rækkehus;3760 Gudhjem;7;5;4;;
Parcel-/rækkehus;3770 Allinge;7;13;9;;
Parcel-/rækkehus;3782 Klemensker;2;5;5;;
Parcel-/rækkehus;3790 Hasle;12;10;15;;
Parcel-/rækkehus;4000 Roskilde;76;49;76;;
Parcel-/rækkehus;4030 Tune;20;12;9;;
Parcel-/rækkehus;4040 Jyllinge;28;4;19;;
Parcel-/rækkehus;4050 Skibby;14;7;19;;
Parcel-/rækkehus;4060 Kirke Såby;10;11;4;;
Parcel-/rækkehus;4070 Kirke Hyllinge;27;20;12;;
Parcel-/rækkehus;4100 Ringsted;50;49;57;;
Parcel-/rækkehus;4130 Viby Sjælland;19;6;14;;
Parcel-/rækkehus;4140 Borup;8;7;17;;
Parcel-/rækkehus;4160 Herlufmagle;21;9;15;;
Parcel-/rækkehus;4171 Glumsø;13;8;6;;
Parcel-/rækkehus;4173 Fjenneslev;1;7;4;;
Parcel-/rækkehus;4174 Jystrup Midtsj;3;2;0;;
Parcel-/rækkehus;4180 Sorø;26;18;34;;
Parcel-/rækkehus;4190 Munke Bjergby;0;1;2;;
Parcel-/rækkehus;4200 Slagelse;94;69;63;;
Parcel-/rækkehus;4220 Korsør;38;26;26;;
Parcel-/rækkehus;4230 Skælskør;13;17;23;;
Parcel-/rækkehus;4241 Vemmelev;8;7;12;;
Parcel-/rækkehus;4242 Boeslunde;2;0;1;;
Parcel-/rækkehus;4243 Rude;1;2;1;;
Parcel-/rækkehus;4250 Fuglebjerg;14;8;13;;
Parcel-/rækkehus;4261 Dalmose;8;6;8;;
Parcel-/rækkehus;4262 Sandved;3;5;2;;
Parcel-/rækkehus;4270 Høng;21;29;17;;
Parcel-/rækkehus;4281 Gørlev;15;13;18;;
Parcel-/rækkehus;4291 Ruds Vedby;8;8;7;;
Parcel-/rækkehus;4293 Dianalund;17;11;16;;
Parcel-/rækkehus;4295 Stenlille;19;8;5;;
Parcel-/rækkehus;4296 Nyrup;4;1;4;;
Parcel-/rækkehus;4300 Holbæk;54;48;63;;
Parcel-/rækkehus;4320 Lejre;17;6;10;;
Parcel-/rækkehus;4330 Hvalsø;17;5;11;;
Parcel-/rækkehus;4340 Tølløse;21;17;12;;
Parcel-/rækkehus;4350 Ugerløse;3;5;2;;
Parcel-/rækkehus;4360 Kirke Eskilstrup;4;2;4;;
Parcel-/rækkehus;4370 Store Merløse;4;5;2;;
Parcel-/rækkehus;4390 Vipperød;7;6;3;;
Parcel-/rækkehus;4400 Kalundborg;70;56;49;;
Parcel-/rækkehus;4420 Regstrup;19;9;11;;
Parcel-/rækkehus;4440 Mørkøv;10;15;13;;
Parcel-/rækkehus;4450 Jyderup;29;20;9;;
Parcel-/rækkehus;4460 Snertinge;6;12;3;;
Parcel-/rækkehus;4470 Svebølle;16;10;5;;
Parcel-/rækkehus;4480 Store Fuglede;7;0;1;;
Parcel-/rækkehus;4490 Jerslev Sjælland;12;8;11;;
Parcel-/rækkehus;4500 Nykøbing Sj;31;21;26;;
Parcel-/rækkehus;4520 Svinninge;10;17;17;;
Parcel-/rækkehus;4532 Gislinge;2;2;5;;
Parcel-/rækkehus;4534 Hørve;10;9;4;;
Parcel-/rækkehus;4540 Fårevejle;16;7;10;;
Parcel-/rækkehus;4550 Asnæs;13;11;10;;
Parcel-/rækkehus;4560 Vig;9;10;8;;
Parcel-/rækkehus;4571 Grevinge;6;3;6;;
Parcel-/rækkehus;4572 Nørre Asmindrup;4;4;4;;
Parcel-/rækkehus;4573 Højby;13;4;2;;
Parcel-/rækkehus;4581 Rørvig;3;2;2;;
Parcel-/rækkehus;4583 Sjællands Odde;8;5;2;;
Parcel-/rækkehus;4591 Føllenslev;2;8;8;;
Parcel-/rækkehus;4592 Sejerø;..;0;0;;
Parcel-/rækkehus;4593 Eskebjerg;0;3;2;;
Parcel-/rækkehus;4600 Køge;64;38;45;;
Parcel-/rækkehus;4621 Gadstrup;14;7;3;;
Parcel-/rækkehus;4622 Havdrup;20;7;13;;
Parcel-/rækkehus;4623 Lille Skensved;12;4;6;;
Parcel-/rækkehus;4632 Bjæverskov;15;8;14;;
Parcel-/rækkehus;4640 Faxe;23;13;12;;
Parcel-/rækkehus;4652 Hårlev;16;9;7;;
Parcel-/rækkehus;4653 Karise;7;8;10;;
Parcel-/rækkehus;4654 Faxe Ladeplads;17;5;5;;
Parcel-/rækkehus;4660 Store Heddinge;21;5;13;;
Parcel-/rækkehus;4671 Strøby;1;1;4;;
Parcel-/rækkehus;4672 Klippinge;6;3;6;;
Parcel-/rækkehus;4673 Rødvig Stevns;4;3;2;;
Parcel-/rækkehus;4681 Herfølge;8;5;10;;
Parcel-/rækkehus;4682 Tureby;5;2;2;;
Parcel-/rækkehus;4683 Rønnede;9;7;10;;
Parcel-/rækkehus;4684 Holmegaard;24;19;20;;
Parcel-/rækkehus;4690 Haslev;54;42;28;;
Parcel-/rækkehus;4700 Næstved;124;122;102;;
Parcel-/rækkehus;4720 Præstø;21;20;22;;
Parcel-/rækkehus;4733 Tappernøje;15;11;8;;
Parcel-/rækkehus;4735 Mern;11;7;8;;
Parcel-/rækkehus;4736 Karrebæksminde;7;3;2;;
Parcel-/rækkehus;4750 Lundby;10;12;11;;
Parcel-/rækkehus;4760 Vordingborg;47;35;30;;
Parcel-/rækkehus;4771 Kalvehave;7;7;2;;
Parcel-/rækkehus;4772 Langebæk;3;0;0;;
Parcel-/rækkehus;4773 Stensved;8;9;5;;
Parcel-/rækkehus;4780 Stege;37;23;14;;
Parcel-/rækkehus;4791 Borre;11;2;3;;
Parcel-/rækkehus;4792 Askeby;3;2;2;;
Parcel-/rækkehus;4793 Bogø By;6;4;0;;
Parcel-/rækkehus;4800 Nykøbing F;57;50;53;;
Parcel-/rækkehus;4840 Nørre Alslev;23;21;19;;
Parcel-/rækkehus;4850 Stubbekøbing;12;18;17;;
Parcel-/rækkehus;4862 Guldborg;3;4;5;;
Parcel-/rækkehus;4863 Eskilstrup;9;10;4;;
Parcel-/rækkehus;4871 Horbelev;5;6;9;;
Parcel-/rækkehus;4872 Idestrup;5;6;4;;
Parcel-/rækkehus;4873 Væggerløse;4;4;9;;
Parcel-/rækkehus;4874 Gedser;6;9;3;;
Parcel-/rækkehus;4880 Nysted;6;11;6;;
Parcel-/rækkehus;4891 Toreby L;5;4;5;;
Parcel-/rækkehus;4892 Kettinge;10;6;6;;
Parcel-/rækkehus;4894 Øster Ulslev;4;2;5;;
Parcel-/rækkehus;4895 Errindlev;3;3;3;;
Parcel-/rækkehus;4900 Nakskov;48;46;49;;
Parcel-/rækkehus;4912 Harpelunde;6;1;1;;
Parcel-/rækkehus;4913 Horslunde;13;10;3;;
Parcel-/rækkehus;4920 Søllested;15;14;10;;
Parcel-/rækkehus;4930 Maribo;29;26;20;;
Parcel-/rækkehus;4941 Bandholm;4;2;2;;
Parcel-/rækkehus;4943 Torrig L;3;1;2;;
Parcel-/rækkehus;4944 Fejø;3;3;3;;
Parcel-/rækkehus;4951 Nørreballe;4;3;2;;
Parcel-/rækkehus;4952 Stokkemarke;6;1;7;;
Parcel-/rækkehus;4953 Vesterborg;3;2;2;;
Parcel-/rækkehus;4960 Holeby;9;10;14;;
Parcel-/rækkehus;4970 Rødby;26;14;19;;
Parcel-/rækkehus;4983 Dannemare;3;5;5;;
Parcel-/rækkehus;4990 Sakskøbing;19;16;20;;
Parcel-/rækkehus;5000 Odense C;24;24;36;;
Parcel-/rækkehus;5200 Odense V;10;10;4;;
Parcel-/rækkehus;5210 Odense NV;35;40;38;;
Parcel-/rækkehus;5220 Odense SØ;20;26;24;;
Parcel-/rækkehus;5230 Odense M;30;26;19;;
Parcel-/rækkehus;5240 Odense NØ;16;8;9;;
