"type";"area";"Q2_13";"Q2_14";"Q2_15"
"Parcel- og rækkehuse";"1000 København K";3;1;0
"Parcel- og rækkehuse";"1500 København V";1;2;1
"Parcel- og rækkehuse";"1800 Frederiksberg C";2;1;2
"Parcel- og rækkehuse";"2000 Frederiksberg";13;20;14
"Parcel- og rækkehuse";"2100 København Ø";11;10;10
"Parcel- og rækkehuse";"2200 København N";0;0;0
"Parcel- og rækkehuse";"2300 København S";45;51;46
"Parcel- og rækkehuse";"2400 København NV";11;12;11
"Parcel- og rækkehuse";"2450 København SV";0;0;1
"Parcel- og rækkehuse";"2500 Valby";29;45;50
"Parcel- og rækkehuse";"2600 Glostrup";42;28;52
"Parcel- og rækkehuse";"2605 Brøndby";31;31;34
"Parcel- og rækkehuse";"2610 Rødovre";51;66;81
"Parcel- og rækkehuse";"2620 Albertslund";16;19;39
"Parcel- og rækkehuse";"2625 Vallensbæk";16;15;15
"Parcel- og rækkehuse";"2630 Taastrup";55;57;69
"Parcel- og rækkehuse";"2633 Returpost";0;0;0
"Parcel- og rækkehuse";"2635 Ishøj";25;27;29
"Parcel- og rækkehuse";"2640 Hedehusene";24;23;26
"Parcel- og rækkehuse";"2650 Hvidovre";72;98;105
"Parcel- og rækkehuse";"2660 Brøndby Strand";13;18;24
"Parcel- og rækkehuse";"2665 Vallensbæk Strand";13;24;31
"Parcel- og rækkehuse";"2670 Greve";54;71;108
"Parcel- og rækkehuse";"2680 Solrød Strand";39;37;52
"Parcel- og rækkehuse";"2690 Karlslunde";15;18;49
"Parcel- og rækkehuse";"2700 Brønshøj";40;50;51
"Parcel- og rækkehuse";"2720 Vanløse";33;19;27
"Parcel- og rækkehuse";"2730 Herlev";37;45;57
"Parcel- og rækkehuse";"2740 Skovlunde";18;22;36
"Parcel- og rækkehuse";"2750 Ballerup";28;26;37
"Parcel- og rækkehuse";"2760 Måløv";7;3;8
"Parcel- og rækkehuse";"2765 Smørum";12;33;37
"Parcel- og rækkehuse";"2770 Kastrup";76;80;106
"Parcel- og rækkehuse";"2791 Dragør";47;60;65
"Parcel- og rækkehuse";"2800 Kongens Lyngby";73;41;60
"Parcel- og rækkehuse";"2820 Gentofte";38;44;50
"Parcel- og rækkehuse";"2830 Virum";61;61;53
"Parcel- og rækkehuse";"2840 Holte";39;40;39
"Parcel- og rækkehuse";"2850 Nærum";9;5;15
"Parcel- og rækkehuse";"2860 Søborg";37;28;57
"Parcel- og rækkehuse";"2870 Dyssegård";15;13;9
"Parcel- og rækkehuse";"2880 Bagsværd";22;30;44
"Parcel- og rækkehuse";"2900 Hellerup";31;26;51
"Parcel- og rækkehuse";"2920 Charlottenlund";33;36;46
"Parcel- og rækkehuse";"2930 Klampenborg";8;16;13
"Parcel- og rækkehuse";"2942 Skodsborg";2;3;1
"Parcel- og rækkehuse";"2950 Vedbæk";22;20;29
"Parcel- og rækkehuse";"2960 Rungsted Kyst";16;24;20
"Parcel- og rækkehuse";"2970 Hørsholm";47;50;65
"Parcel- og rækkehuse";"2980 Kokkedal";11;17;36
"Parcel- og rækkehuse";"2990 Nivå";14;19;21
"Parcel- og rækkehuse";"3000 Helsingør";31;24;38
"Parcel- og rækkehuse";"3050 Humlebæk";17;17;16
"Parcel- og rækkehuse";"3060 Espergærde";21;27;38
"Parcel- og rækkehuse";"3070 Snekkersten";8;5;6
"Parcel- og rækkehuse";"3080 Tikøb";4;2;2
"Parcel- og rækkehuse";"3100 Hornbæk";8;12;16
"Parcel- og rækkehuse";"3120 Dronningmølle";4;2;6
"Parcel- og rækkehuse";"3140 Ålsgårde";9;18;24
"Parcel- og rækkehuse";"3150 Hellebæk";1;1;3
"Parcel- og rækkehuse";"3200 Helsinge";25;31;41
"Parcel- og rækkehuse";"3210 Vejby";3;3;3
"Parcel- og rækkehuse";"3220 Tisvildeleje";5;0;5
"Parcel- og rækkehuse";"3230 Græsted";14;13;22
"Parcel- og rækkehuse";"3250 Gilleleje";16;10;30
"Parcel- og rækkehuse";"3300 Frederiksværk";37;19;46
"Parcel- og rækkehuse";"3310 Ølsted";1;5;2
"Parcel- og rækkehuse";"3320 Skævinge";10;8;14
"Parcel- og rækkehuse";"3330 Gørløse";6;3;3
"Parcel- og rækkehuse";"3360 Liseleje";1;7;5
"Parcel- og rækkehuse";"3370 Melby";1;1;1
"Parcel- og rækkehuse";"3390 Hundested";13;19;36
"Parcel- og rækkehuse";"3400 Hillerød";57;57;86
"Parcel- og rækkehuse";"3450 Allerød";48;43;52
"Parcel- og rækkehuse";"3460 Birkerød";31;51;51
"Parcel- og rækkehuse";"3480 Fredensborg";29;25;31
"Parcel- og rækkehuse";"3490 Kvistgård";4;3;2
