id,b,se,pb,ub95,lb95,ub90,lb90
0,36.200974,.12926638,0,36.454334,35.947613,36.412971,35.988976
2,36.27103,.11067991,0,36.487965,36.054096,36.452545,36.089516
4,36.341091,.093507886,0,36.524368,36.157814,36.494446,36.187737
6,36.411148,.078681938,0,36.565365,36.256931,36.540188,36.282108
8,36.481205,.067759924,0,36.614014,36.348396,36.592331,36.370079
10,36.551266,.062812455,0,36.674377,36.428154,36.654278,36.448254
12,36.621323,.065213807,0,36.749142,36.493504,36.728271,36.514374
14,36.69138,.074254386,0,36.836918,36.545841,36.813156,36.569603
16,36.76144,.087909192,0,36.933743,36.589138,36.905613,36.617268
18,36.831497,.10438284,0,37.036087,36.626907,37.002686,36.660309
20,36.901554,.12254372,0,37.141739,36.661369,37.102528,36.700581
22,36.971615,.14174481,0,37.249435,36.693794,37.204075,36.739155
24,37.041672,.16161576,0,37.35844,36.724903,37.306721,36.776623
26,37.111729,.18193723,0,37.468327,36.755131,37.410107,36.813351
28,37.181789,.20257367,0,37.578835,36.784744,37.514011,36.849567
30,37.251846,.22343785,0,37.689785,36.813908,37.618286,36.885406
32,37.321907,.24447145,0,37.801071,36.842743,37.722839,36.920975
34,37.391964,.26563424,0,37.912605,36.871323,37.827602,36.956326
36,37.462021,.2868976,0,38.024342,36.8997,37.932533,36.991508
38,37.532082,.30824077,0,38.136234,36.927929,38.037598,37.026566
40,37.602139,.3296482,0,38.248249,36.956028,38.142761,37.061516
42,37.672195,.35110816,0,38.360367,36.984024,38.248013,37.096378
44,37.742256,.37261158,0,38.472576,37.011936,38.35334,37.131172
46,37.812313,.39415133,0,38.58485,37.039776,38.458721,37.165905
48,37.88237,.41572177,0,38.697186,37.067554,38.564156,37.200584
50,37.952431,.43731835,0,38.809574,37.095287,38.669632,37.235229
0,36.200974,.12926638,1,36.454334,35.947613,36.412971,35.988976
-2,36.008778,.10127222,1,36.207272,35.810284,36.174866,35.84269
-4,35.816586,.082617305,1,35.978516,35.654655,35.95208,35.681091
-6,35.62439,.080115326,1,35.781414,35.467365,35.755779,35.493
-8,35.432198,.095050514,1,35.618496,35.245899,35.588081,35.276314
-10,35.240002,.1211364,1,35.477428,35.002575,35.438663,35.04134
-12,35.04781,.15276368,1,35.347225,34.748394,35.298344,34.797276
-14,34.855614,.18714365,1,35.222416,34.488811,35.162529,34.548698
-16,34.663422,.22300681,1,35.100513,34.22633,35.029152,34.297691
-18,34.471226,.25973952,1,34.980316,33.962135,34.897198,34.045254
-20,34.27903,.29701936,1,34.861187,33.696873,34.76614,33.79192
-22,34.086838,.33466351,1,34.742779,33.430897,34.635685,33.537991
-24,33.894642,.37256157,1,34.624863,33.164421,34.505642,33.283642
-26,33.70245,.41064322,1,34.507309,32.897591,34.375904,33.028996
-28,33.510254,.44886178,1,34.390022,32.630486,34.246387,32.77412
-30,33.318062,.487185,1,34.272945,32.363178,34.117046,32.519077
-32,33.125866,.52559,1,34.156021,32.095711,33.987835,32.263897
-34,32.93367,.56406003,1,34.039227,31.828112,33.85873,32.00861
-36,32.741478,.60258269,1,33.922539,31.560415,33.729713,31.753242
-38,32.549282,.64114851,1,33.805935,31.292631,33.600765,31.497799
-40,32.35709,.67975008,1,33.6894,31.02478,33.471882,31.2423
-42,32.164894,.7183817,1,33.572922,30.756866,33.34304,30.986748
-44,31.9727,.75703871,1,33.456497,30.488905,33.214245,30.731157
-46,31.780506,.79571742,1,33.340111,30.2209,33.085484,30.475529
-48,31.588312,.83441484,1,33.223766,29.95286,32.956753,30.219872
-50,31.396118,.87312847,1,33.107449,29.684786,32.828049,29.964188
