id,b,se,vola,ub95,lb95,ub90,lb90
-50,34.628662,.62000483,0,35.843872,33.413452,35.64547,33.611855
-50,29.098064,1.1602656,1,31.372185,26.823944,31.0009,27.195229
-48,34.695038,.59879279,0,35.868671,33.521404,35.677059,33.713017
-48,29.310064,1.1300489,1,31.52496,27.095169,31.163345,27.456783
-46,34.761417,.57762975,0,35.89357,33.629265,35.708729,33.814106
-46,29.522066,1.1001632,1,31.678387,27.365746,31.326334,27.717798
-44,34.827793,.55652136,0,35.918575,33.737011,35.74049,33.915096
-44,29.734066,1.070636,1,31.832512,27.63562,31.489908,27.978224
-42,34.894173,.535474,0,35.943703,33.844643,35.77235,34.015995
-42,29.946068,1.0414981,1,31.987404,27.904732,31.654125,28.23801
-40,34.960548,.51449531,0,35.96896,33.952137,35.804321,34.116776
-40,30.158068,1.0127828,1,32.143124,28.173014,31.819031,28.497105
-38,35.026924,.49359393,0,35.99437,34.059479,35.836418,34.21743
-38,30.370068,.98452729,1,32.29974,28.440393,31.984692,28.755444
-36,35.093304,.47278014,0,36.019951,34.166656,35.868664,34.317944
-36,30.582069,.95677221,1,32.457344,28.706797,32.151176,29.012962
-34,35.159679,.45206606,0,36.045731,34.273628,35.90107,34.418289
-34,30.794069,.92956233,1,32.616013,28.972128,32.31855,29.269587
-32,35.226059,.43146601,0,36.071732,34.380386,35.933662,34.518456
-32,31.006069,.90294707,1,32.775845,29.236294,32.486904,29.525236
-30,35.292435,.41099721,0,36.097988,34.486881,35.966469,34.618401
-30,31.218071,.87698048,1,32.936954,29.499189,32.656319,29.779823
-28,35.358814,.39068019,0,36.124546,34.593082,35.999531,34.718098
-28,31.430071,.85172188,1,33.099445,29.760696,32.826897,30.033247
-26,35.42519,.37054002,0,36.151447,34.698933,36.032875,34.817505
-26,31.642073,.82723618,1,33.263454,30.020689,32.998741,30.285406
-24,35.491566,.3506071,0,36.178757,34.804375,36.066563,34.916569
-24,31.854073,.80359405,1,33.429115,30.279028,33.171967,30.536179
-22,35.557945,.33091891,0,36.206547,34.909344,36.100651,35.01524
