id,b,se,pb,vola,ub95,lb95,ub90,lb90
0,36.252476,.22026072,0,0,36.684185,35.820766,36.613705,35.891247
0,35.729992,.75761008,0,1,37.214909,34.245075,36.972473,34.487511
2,36.316479,.19857569,0,0,36.705688,35.927269,36.642143,35.990814
2,35.821815,.73564678,0,1,37.263683,34.379948,37.028275,34.615356
4,36.380482,.18049353,0,0,36.734249,36.026714,36.676491,36.084473
4,35.913635,.71608543,0,1,37.317162,34.510109,37.088017,34.739254
6,36.444485,.16718738,0,0,36.772171,36.116798,36.718674,36.170296
6,36.005459,.69912767,0,1,37.375748,34.63517,37.152027,34.858891
8,36.508488,.15985435,0,0,36.821804,36.195171,36.770649,36.246326
8,36.097282,.68496704,0,1,37.439819,34.754745,37.220627,34.973938
10,36.572491,.15932137,0,0,36.884762,36.26022,36.833778,36.311203
10,36.189106,.67377985,0,1,37.509716,34.868496,37.294106,35.084106
12,36.636494,.16565409,0,0,36.961174,36.311813,36.908165,36.364822
12,36.280926,.66571593,0,1,37.585728,34.976124,37.3727,35.189152
14,36.700497,.17812173,0,0,37.049614,36.351379,36.992615,36.408379
14,36.372749,.6608898,0,1,37.668095,35.077404,37.456608,35.288891
16,36.764503,.19555438,0,0,37.147789,36.381218,37.085213,36.443794
16,36.464573,.65937239,0,1,37.756943,35.172203,37.545944,35.383202
18,36.828506,.2167574,0,0,37.253349,36.403664,37.18399,36.473022
18,36.556396,.66118658,0,1,37.852322,35.260471,37.640743,35.47205
20,36.892509,.24073663,0,0,37.364353,36.420666,37.287319,36.4977
20,36.648216,.66630507,0,1,37.954174,35.342258,37.740955,35.555477
22,36.956512,.26674438,0,0,37.479332,36.433693,37.393974,36.519051
22,36.74004,.67465276,0,1,38.062359,35.417721,37.84647,35.63361
24,37.020515,.29424328,0,0,37.597233,36.443798,37.503075,36.537956
24,36.831863,.68611175,0,1,38.176643,35.487083,37.957088,35.706638
26,37.084518,.32285249,0,0,37.717308,36.451729,37.613998,36.555038
26,36.923687,.70052934,0,1,38.296726,35.550648,38.072556,35.774818
28,37.148521,.35230166,0,0,37.839031,36.458012,37.726295,36.570747
28,37.015511,.7177273,0,1,38.422256,35.608765,38.192585,35.838436
30,37.212524,.38239673,0,0,37.962021,36.463028,37.839657,36.585392
30,37.10733,.73751116,0,1,38.552853,35.661808,38.316849,35.897812
32,37.276527,.41299656,0,0,38.086002,36.467052,37.953842,36.599213
32,37.199154,.7596789,0,1,38.688126,35.710182,38.445026,35.953281
