id,b,se,pb,ub95,lb95,ub90,lb90
0,36.268158,.10027045,0,36.464687,36.071629,36.432602,36.103714
2,36.270824,.08371187,0,36.434898,36.10675,36.408112,36.133537
4,36.273487,.068366706,0,36.407486,36.139488,36.385609,36.161366
6,36.27615,.055255346,0,36.384449,36.16785,36.366768,36.185532
8,36.278816,.046315402,0,36.369595,36.188038,36.354774,36.202858
10,36.281479,.044157628,0,36.368027,36.194931,36.353897,36.209061
12,36.284142,.049673859,0,36.381504,36.186779,36.365608,36.202675
14,36.286808,.060810402,0,36.405998,36.167618,36.386536,36.18708
16,36.289471,.075107485,0,36.43668,36.142262,36.412647,36.166294
18,36.292137,.091088854,0,36.470673,36.113602,36.441525,36.14275
20,36.2948,.10800945,0,36.506496,36.083103,36.471935,36.117664
22,36.297462,.12548992,0,36.543423,36.051502,36.503265,36.09166
24,36.300129,.14332557,0,36.581047,36.019211,36.535183,36.065075
26,36.302792,.16139866,0,36.619133,35.98645,36.567486,36.038097
28,36.305454,.17963757,0,36.657543,35.953365,36.60006,36.010849
30,36.308121,.19799647,0,36.696194,35.920048,36.632835,35.983406
32,36.310783,.21644482,0,36.735016,35.886551,36.665752,35.955814
34,36.31345,.23496157,0,36.773975,35.852924,36.698788,35.928112
36,36.316113,.25353172,0,36.813034,35.819191,36.731903,35.900322
38,36.318775,.27214435,0,36.852177,35.785374,36.765091,35.872459
40,36.321442,.2907913,0,36.891392,35.751492,36.79834,35.844543
42,36.324104,.30946633,0,36.930656,35.717552,36.831631,35.816578
44,36.326767,.32816473,0,36.969971,35.683563,36.864956,35.788578
46,36.329433,.34688261,0,37.009323,35.649544,36.898319,35.760548
48,36.332096,.36561707,0,37.048706,35.615486,36.931709,35.732483
50,36.334763,.38436565,0,37.08812,35.581406,36.965122,35.704403
0,36.268158,.10027045,1,36.464687,36.071629,36.432602,36.103714
-2,36.187092,.083315454,1,36.350391,36.023792,36.32373,36.050453
-4,36.106026,.072408304,1,36.247948,35.964104,36.224773,35.987278
-6,36.024956,.070417717,1,36.162975,35.886936,36.140442,35.90947
-8,35.94389,.078029126,1,36.096828,35.790951,36.071857,35.815922
-10,35.862823,.092911936,1,36.04493,35.680717,36.015198,35.710449
-12,35.781754,.11220922,1,36.001682,35.561825,35.965778,35.597729
-14,35.700687,.13402756,1,35.963383,35.437992,35.920494,35.480881
-16,35.619621,.15732151,1,35.927971,35.311272,35.877628,35.361614
-18,35.538551,.18152389,1,35.894337,35.182766,35.83625,35.240852
-20,35.457485,.20631526,1,35.861862,35.053108,35.795841,35.119129
-22,35.376419,.23150647,1,35.830173,34.922665,35.756088,34.99675
-24,35.295353,.25697997,1,35.799034,34.791672,35.716801,34.873905
-26,35.214283,.28265941,1,35.768295,34.660271,35.677845,34.750721
-28,35.133217,.30849344,1,35.737865,34.528568,35.639145,34.627289
-30,35.052151,.33444616,1,35.707664,34.396637,35.600643,34.503658
-32,34.971081,.36049199,1,35.677647,34.264515,35.562286,34.379875
-34,34.890015,.38661209,1,35.647774,34.132256,35.524059,34.25597
-36,34.808949,.41279235,1,35.618023,33.999874,35.485928,34.131969
-38,34.727879,.43902206,1,35.588364,33.867393,35.447876,34.007881
-40,34.646812,.46529278,1,35.558784,33.73484,35.409893,33.883732
-42,34.565746,.49159801,1,35.529278,33.602215,35.371967,33.759525
-44,34.484676,.51793242,1,35.499825,33.469528,35.334087,33.635265
-46,34.40361,.54429185,1,35.470421,33.3368,35.296249,33.510971
-48,34.322544,.57067275,1,35.441063,33.204025,35.258446,33.386642
-50,34.241478,.59707236,1,35.411739,33.071217,35.220676,33.26228
