id,b,se,vola,ub95,lb95,ub90,lb90
-50,36.178898,.50371879,0,37.166187,35.191608,37.004997,35.352798
-50,33.471958,.82661033,1,35.092113,31.851803,34.827599,32.116318
-48,36.17897,.48644611,0,37.132404,35.225536,36.976742,35.381199
-48,33.561806,.80704761,1,35.14362,31.979992,34.885365,32.238247
-46,36.179039,.46922496,0,37.098721,35.259357,36.948566,35.409512
-46,33.651653,.78788149,1,35.1959,32.107407,34.943779,32.359528
-44,36.179111,.45206115,0,37.065151,35.293072,36.92049,35.437733
-44,33.741501,.76914161,1,35.24902,32.233982,35.002892,32.48011
-42,36.179184,.43496153,0,37.031708,35.32666,36.892521,35.465847
-42,33.831345,.75085992,1,35.303032,32.359657,35.062756,32.599934
-40,36.179256,.41793397,0,36.998405,35.360107,36.86467,35.493843
-40,33.921192,.73307073,1,35.358009,32.484375,35.123428,32.718956
-38,36.179329,.40098763,0,36.965263,35.393394,36.836948,35.521709
-38,34.01104,.71581066,1,35.414028,32.608051,35.184971,32.837109
-36,36.179398,.38413325,0,36.932301,35.426495,36.809376,35.549419
-36,34.100887,.69911897,1,35.471161,32.730614,35.247444,32.95433
-34,36.17947,.36738351,0,36.89954,35.4594,36.781979,35.576962
-34,34.190735,.68303728,1,35.529488,32.851982,35.310917,33.070553
-32,36.179543,.35075337,0,36.86702,35.492065,36.75478,35.604305
-32,34.280579,.66760975,1,35.589092,32.972065,35.375458,33.185699
-30,36.179615,.33426073,0,36.834766,35.524464,36.727802,35.631428
-30,34.370426,.6528827,1,35.650078,33.090775,35.441154,33.299698
-28,36.179688,.31792697,0,36.802826,35.556549,36.701088,35.658287
-28,34.460274,.63890457,1,35.712528,33.208019,35.508076,33.412472
-26,36.17976,.3017779,0,36.771244,35.588276,36.674675,35.684845
-26,34.550121,.62572557,1,35.776543,33.3237,35.576313,33.52393
-24,36.179829,.28584477,0,36.740086,35.619572,36.648613,35.711044
-24,34.639969,.61339724,1,35.842228,33.43771,35.645939,33.633999
-22,36.179901,.27016583,0,36.709427,35.650375,36.622974,35.736828
-22,34.729813,.60197181,1,35.909676,33.54995,35.717045,33.74258
-20,36.179974,.25478804,0,36.679359,35.680588,36.597824,35.762123
-20,34.81966,.59150153,1,35.979004,33.660316,35.789722,33.849598
-18,36.180046,.23976928,0,36.649994,35.710098,36.573269,35.786823
-18,34.909508,.5820381,1,36.050301,33.768715,35.864052,33.954964
-16,36.180119,.22518146,0,36.621475,35.738762,36.549416,35.810822
-16,34.999355,.57363129,1,36.123672,33.875038,35.940109,34.058601
-14,36.180187,.2111139,0,36.593971,35.766403,36.526413,35.833961
-14,35.089203,.56632811,1,36.199207,33.979198,36.017982,34.160423
-12,36.18026,.19767772,0,36.567707,35.792812,36.504452,35.856068
-12,35.179047,.56017178,1,36.276985,34.081108,36.097729,34.260365
-10,36.180332,.18501051,0,36.542953,35.817711,36.483749,35.876915
-10,35.268894,.5552004,1,36.357086,34.180702,36.179424,34.358364
-8,36.180405,.17328101,0,36.520035,35.840775,36.464584,35.896225
-8,35.358742,.55144608,1,36.439575,34.277908,36.263115,34.454369
-6,36.180477,.16269216,0,36.499355,35.861599,36.447292,35.913662
-6,35.448589,.54893374,1,36.524498,34.372681,36.348839,34.54834
-4,36.18055,.15348023,0,36.481369,35.87973,36.432259,35.928841
-4,35.538437,.54768056,1,36.611889,34.464985,36.436634,34.64024
-2,36.180618,.14590624,0,36.466595,35.894642,36.419903,35.941334
-2,35.628281,.5476951,1,36.701763,34.554798,36.526501,34.730061
0,36.180691,.14023584,0,36.455551,35.90583,36.410679,35.950703
0,35.718128,.54897726,1,36.794125,34.642132,36.61845,34.817806
2,36.180763,.13670613,0,36.448708,35.912819,36.404961,35.956566
2,35.807976,.5515182,1,36.88895,34.727001,36.712467,34.903484
4,36.180836,.13548449,0,36.446384,35.915287,36.40303,35.958641
4,35.897823,.55530071,1,36.986214,34.809433,36.808517,34.987129
6,36.180908,.13663284,0,36.448708,35.913109,36.404987,35.956829
6,35.987671,.56029952,1,37.085857,34.889484,36.906563,35.068779
8,36.180977,.14009295,0,36.455559,35.906395,36.410728,35.951225
8,36.077518,.5664826,1,37.187824,34.967213,37.00655,35.148487
10,36.181049,.1457002,0,36.466621,35.895477,36.419998,35.942101
10,36.167362,.57381153,1,37.292034,35.04269,37.108414,35.226311
12,36.181122,.15321903,0,36.48143,35.880814,36.4324,35.929844
12,36.25721,.58224308,1,37.398407,35.116013,37.21209,35.30233
14,36.181194,.16238412,0,36.499466,35.862923,36.447506,35.914883
14,36.347057,.59173012,1,37.506847,35.187267,37.317493,35.376621
16,36.181267,.17293392,0,36.520218,35.842316,36.464878,35.897655
16,36.436905,.6022228,1,37.61726,35.25655,37.424549,35.449261
18,36.181335,.18463124,0,36.543213,35.819458,36.484131,35.87854
18,36.526752,.61366951,1,37.729546,35.323959,37.533169,35.520336
20,36.181408,.19727203,0,36.568062,35.794754,36.504932,35.857883
20,36.616596,.62601793,1,37.84359,35.389603,37.643265,35.589928
22,36.18148,.21068656,0,36.594425,35.768536,36.527008,35.835953
22,36.706444,.63921577,1,37.959305,35.453583,37.754757,35.658131
24,36.181553,.22473632,0,36.622036,35.74107,36.550121,35.812984
24,36.796291,.65321159,1,38.076588,35.515995,37.867558,35.725025
26,36.181625,.23930943,0,36.650673,35.712578,36.574093,35.789158
26,36.886139,.66795522,1,38.195332,35.576946,37.981586,35.790691
28,36.181698,.25431594,0,36.680157,35.683239,36.598778,35.764618
28,36.975986,.68339825,1,38.315449,35.636524,38.09676,35.855213
30,36.181767,.26968354,0,36.710346,35.653187,36.624046,35.739487
30,37.06583,.6994943,1,38.43684,35.69482,38.213001,35.918659
32,36.181839,.2853539,0,36.741131,35.622547,36.649818,35.71386
32,37.155678,.71619952,1,38.559429,35.751926,38.330246,35.98111
34,36.181911,.30127972,0,36.772419,35.591404,36.67601,35.687813
34,37.245525,.73347211,1,38.683132,35.807919,38.448421,36.042629
36,36.181984,.31742263,0,36.804131,35.559837,36.702557,35.661411
36,37.335373,.75127298,1,38.807869,35.862877,38.567459,36.103287
38,36.182056,.33375105,0,36.836208,35.527905,36.729408,35.634705
38,37.42522,.76956552,1,38.933567,35.916874,38.687309,36.163132
40,36.182125,.3502391,0,36.868595,35.495655,36.756516,35.607735
40,37.515064,.78831547,1,39.060162,35.969967,38.807903,36.222225
42,36.182198,.36686525,0,36.901253,35.463142,36.783855,35.58054
42,37.604912,.807491,1,39.187595,36.022228,38.929195,36.280628
44,36.18227,.3836115,0,36.934147,35.430393,36.811394,35.553146
44,37.694759,.82706249,1,39.315804,36.073715,39.051144,36.338375
46,36.182343,.40046284,0,36.967251,35.397434,36.8391,35.525585
46,37.784607,.84700251,1,39.444733,36.124481,39.173691,36.395523
48,36.182415,.4174065,0,37.00053,35.3643,36.866962,35.497868
48,37.874454,.86728555,1,39.574333,36.174576,39.296803,36.452106
50,36.182484,.4344317,0,37.03397,35.330997,36.894951,35.470016
50,37.964302,.88788819,1,39.704563,36.224041,39.420437,36.508167
