id,b,se,pb,vola,ub95,lb95,ub90,lb90
0,36.476582,.16829225,0,0,36.806435,36.146729,36.752583,36.200581
0,35.695011,.60267514,0,1,36.876255,34.513767,36.683399,34.706623
2,36.426071,.15377878,0,0,36.727478,36.124664,36.678268,36.173874
2,35.81308,.59569186,0,1,36.980637,34.645523,36.790016,34.836143
4,36.375565,.14316107,0,0,36.656158,36.094971,36.610348,36.140781
4,35.931149,.59108943,0,1,37.089684,34.772614,36.900536,34.961761
6,36.325054,.13734564,0,0,36.59425,36.055859,36.550301,36.099808
6,36.049217,.58892375,0,1,37.203506,34.894928,37.015053,35.083382
8,36.274548,.13694564,0,0,36.542961,36.006134,36.499138,36.049957
8,36.16729,.58922166,0,1,37.322163,35.012417,37.133614,35.200966
10,36.224041,.14200684,0,0,36.502373,35.945709,36.456932,35.99115
10,36.285358,.59197944,0,1,37.445637,35.12508,37.256207,35.31451
12,36.173531,.15198463,0,0,36.47142,35.875641,36.422787,35.924274
12,36.403427,.59716308,0,1,37.573868,35.232986,37.382774,35.42408
14,36.123024,.16599478,0,0,36.448372,35.797676,36.395256,35.850792
14,36.521496,.6047101,0,1,37.706726,35.336266,37.513222,35.52977
16,36.072514,.18311405,0,0,36.431416,35.713612,36.372822,35.772205
16,36.639565,.61453348,0,1,37.844051,35.435078,37.6474,35.631729
18,36.022007,.20255567,0,0,36.419018,35.624996,36.354198,35.689816
18,36.757633,.62652612,0,1,37.985626,35.52964,37.785137,35.730129
20,35.9715,.22371498,0,0,36.409981,35.53302,36.338394,35.604607
20,36.875702,.64056629,0,1,38.13121,35.620193,37.926231,35.825172
22,35.92099,.24614941,0,0,36.403442,35.438538,36.324677,35.517303
22,36.993771,.65652251,0,1,38.280556,35.706985,38.070469,35.917072
24,35.870483,.26954079,0,0,36.398785,35.342182,36.312531,35.428436
24,37.111839,.67425889,0,1,38.433388,35.790291,38.217625,36.006054
26,35.819973,.29366046,0,0,36.395546,35.2444,36.301575,35.338371
26,37.229912,.6936388,0,1,38.589443,35.87038,38.367481,36.092342
28,35.769466,.31834301,0,0,36.393417,35.145515,36.29155,35.247383
28,37.34798,.71452856,0,1,38.748455,35.947506,38.519806,36.176155
30,35.71896,.34346706,0,0,36.392155,35.045765,36.282246,35.155674
30,37.466049,.73679972,0,1,38.910175,36.021923,38.6744,36.257698
32,35.668449,.36894244,0,0,36.391575,34.945324,36.273514,35.063385
32,37.584118,.76033092,0,1,39.074368,36.093868,38.831062,36.337173
34,35.617943,.39470112,0,0,36.391556,34.84433,36.265251,34.970634
34,37.702187,.78500891,0,1,39.240803,36.16357,38.989601,36.414772
